,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
0,2024-08-04,746844,Strikeout,strikeout,True,691026,657006,Masyn Winn,Justin Steele,0,4ced17c3-537e-48c1-8e8e-30acdb27ddb8,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
1,2024-08-04,746844,Groundout,field_out,True,575929,657006,Willson Contreras,Justin Steele,0,c9347eae-facc-4ed2-821b-6921bf51441d,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
2,2024-08-04,746844,Strikeout,strikeout,True,502671,657006,Paul Goldschmidt,Justin Steele,0,d3999d04-0e60-48b9-ae4a-76bd0901f219,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
3,2024-08-04,746844,Groundout,field_out,True,663538,571945,Nico Hoerner,Miles Mikolas,0,ccf7641c-2834-4a97-b169-e1ceae021792,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.09,0.2,2.24,-1.19,-1.85,-3.0,93.1,85.6,92.4,85.5,76.3,0.284,0.463,0.173,0.31,0.517,0.153,0.225,0.344,0.111,0.362,0.672,0.168,0.267,0.55,0.232,0.004,0.23,68.4,0.25,0.438,0.255,,,,,,,,,,,,,,,
4,2024-08-04,746844,Groundout,field_out,True,683737,571945,Michael Busch,Miles Mikolas,0,c9f8003b-35dc-4e79-94bb-9aa6009709e1,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.09,0.2,2.24,-1.19,-1.85,-3.0,93.1,85.6,92.4,85.5,76.3,0.284,0.463,0.173,0.31,0.517,0.153,0.225,0.344,0.111,0.362,0.672,0.168,0.267,0.55,0.232,0.004,0.23,68.4,0.25,0.438,0.255,,,,,,,,,,,,,,,
5,2024-08-04,746844,Single,single,False,673548,571945,Seiya Suzuki,Miles Mikolas,0,46628ce1-d625-4cb0-9296-806345f595df,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.09,0.2,2.24,-1.19,-1.85,-3.0,93.1,85.6,92.4,85.5,76.3,0.284,0.463,0.173,0.31,0.517,0.153,0.225,0.344,0.111,0.362,0.672,0.168,0.267,0.55,0.232,0.004,0.23,68.4,0.25,0.438,0.255,,,,,,,,,,,,,,,
6,2024-08-04,746844,Groundout,field_out,True,641355,571945,Cody Bellinger,Miles Mikolas,0,ee1e95c0-503f-473c-9095-25a5dd8fd0e9,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.09,0.2,2.24,-1.19,-1.85,-3.0,93.1,85.6,92.4,85.5,76.3,0.284,0.463,0.173,0.31,0.517,0.153,0.225,0.344,0.111,0.362,0.672,0.168,0.267,0.55,0.232,0.004,0.23,68.4,0.25,0.438,0.255,,,,,,,,,,,,,,,
7,2024-08-04,746844,Double,double,False,571448,657006,Nolan Arenado,Justin Steele,0,407dde8d-208d-4252-bfe4-20dd8f572934,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
8,2024-08-04,746844,Lineout,field_out,True,502054,657006,Tommy Pham,Justin Steele,0,088033e4-4eb0-45ee-8314-1599e16971f5,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
9,2024-08-04,746844,Fielders Choice Out,fielders_choice_out,True,676475,657006,Alec Burleson,Justin Steele,1,d84c2a0d-34a2-43b9-9879-50a2cd37b63d,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
10,2024-08-04,746844,Flyout,field_out,True,680977,657006,Brendan Donovan,Justin Steele,0,32c8349c-7f76-4369-9601-1bfe08a5c4bf,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,0.053,0.596,0.297,0.022,0.032,0.35,2.29,1.79,2.93,0.23,91.6,86.4,91.7,83.2,79.9,0.257,0.406,0.221,0.157,0.239,0.285,0.227,0.273,0.176,0.235,0.235,0.154,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
