,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,CH%,wFC/C,wSI/C,wKC/C,wCH/C,vFC,vCH,vSI,vKC,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff
0,2024-04-21,744866,Strikeout,strikeout,True,514888,680730,Jose Altuve,Mitchell Parker,0,ba93fd2d-19bd-4171-87e1-8ebb331688b3,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-21,744866,Strikeout,strikeout,True,670541,680730,Yordan Alvarez,Mitchell Parker,0,f373488a-75de-41c0-8e00-61599e2e80e0,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-21,744866,Groundout,field_out,True,663656,680730,Kyle Tucker,Mitchell Parker,0,d54cb579-a442-448e-a7ec-22cec7cb702c,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-21,744866,Single,single,False,682928,686613,CJ Abrams,Hunter Brown,0,f36c326f-9299-437a-9455-c83c502286a9,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
4,2024-04-21,744866,Single,single,False,608385,686613,Jesse Winker,Hunter Brown,1,e162c916-b368-428e-a42a-79ca08c818a9,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
5,2024-04-21,744866,Walk,walk,False,657041,686613,Lane Thomas,Hunter Brown,1,22016944-2d1e-41f6-9d54-c8c20d165c9e,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
6,2024-04-21,744866,Single,single,False,671277,686613,Luis García Jr.,Hunter Brown,1,d24ecbfe-b829-49ef-bcd3-3f6be8af1299,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
7,2024-04-21,744866,Groundout,field_out,True,608841,686613,Joey Meneses,Hunter Brown,0,0d9ac1ce-3b4d-4e8b-926a-c24bbd3b0797,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
8,2024-04-21,744866,Strikeout,strikeout,True,656180,686613,Riley Adams,Hunter Brown,0,c278ce27-0fe2-4ae9-9acd-14fe943558a4,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
9,2024-04-21,744866,Groundout,field_out,True,545121,686613,Ildemaro Vargas,Hunter Brown,0,c4b3fe1b-cc5a-4daa-8de7-3e6275067c63,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,114.0,105.0,107.0,,,,0.376,,0.071,,-0.55,,1.74,,95.7,,89.0,,0.272,0.483,0.287,0.28,0.5,0.281,,,,0.192,0.192,0.25,88.0,102.0,105.0,90.0,100.0,98.0,130.0,99.0,106.0,95.0,107.0,105.0,0.134,0.157,0.127,0.134,0.16,0.46,-1.93,1.13,92.3,88.4,95.5,82.4,0.236,0.375,0.185,0.268,0.304,0.172,0.208,0.271,0.327
