,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,KN%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,wKN/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-15,745206,Groundout,field_out,True,543760,669923,Marcus Semien,George Kirby,0,04902d93-e169-4279-9137-c1491e5a621f,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.62,3.48,179.0,106.0,106.0,107.0,0.785,8.5,1.11,8.65,1.11,1.0,0.294,0.348,0.18,0.285,0.444,73.9,102.0,107.0,101.0,106.0,108.0,108.0,112.0,105.0,111.0,114.0,110.0,114.0,97.0,99.0,93.0,108.0,99.0,107.0,0.235,0.338,0.004,0.103,0.237,0.083,0.0,0.26,0.79,-1.82,1.5,1.26,-2.25,-3.5,96.0,92.3,85.9,96.0,87.2,83.3,0.228,0.473,0.293,0.268,0.361,0.113,0.226,0.322,0.265,0.243,0.4,0.279,0.333,0.444,0.295,,,,,,,,,,,,,,,,,,,,,
1,2024-09-15,745206,Flyout,field_out,True,669701,669923,Josh Smith,George Kirby,0,06accac8-3f7a-4238-9203-e0e0f5ee07ba,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.62,3.48,179.0,106.0,106.0,107.0,0.785,8.5,1.11,8.65,1.11,1.0,0.294,0.348,0.18,0.285,0.444,73.9,102.0,107.0,101.0,106.0,108.0,108.0,112.0,105.0,111.0,114.0,110.0,114.0,97.0,99.0,93.0,108.0,99.0,107.0,0.235,0.338,0.004,0.103,0.237,0.083,0.0,0.26,0.79,-1.82,1.5,1.26,-2.25,-3.5,96.0,92.3,85.9,96.0,87.2,83.3,0.228,0.473,0.293,0.268,0.361,0.113,0.226,0.322,0.265,0.243,0.4,0.279,0.333,0.444,0.295,,,,,,,,,,,,,,,,,,,,,
2,2024-09-15,745206,Groundout,field_out,True,694671,669923,Wyatt Langford,George Kirby,0,8bfe96e0-219a-41d9-9b3f-2217e1bbbb57,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.62,3.48,179.0,106.0,106.0,107.0,0.785,8.5,1.11,8.65,1.11,1.0,0.294,0.348,0.18,0.285,0.444,73.9,102.0,107.0,101.0,106.0,108.0,108.0,112.0,105.0,111.0,114.0,110.0,114.0,97.0,99.0,93.0,108.0,99.0,107.0,0.235,0.338,0.004,0.103,0.237,0.083,0.0,0.26,0.79,-1.82,1.5,1.26,-2.25,-3.5,96.0,92.3,85.9,96.0,87.2,83.3,0.228,0.473,0.293,0.268,0.361,0.113,0.226,0.322,0.265,0.243,0.4,0.279,0.333,0.444,0.295,,,,,,,,,,,,,,,,,,,,,
3,2024-09-15,745206,Single,single,False,645302,571760,Victor Robles,Andrew Heaney,0,f474fce0-52f5-4af9-8370-e14bd2938993,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.89,4.3,150.1,101.0,80.0,98.0,0.754,9.1,2.39,8.5,1.2,0.74,0.251,0.405,0.14,0.294,0.424,,77.0,101.0,98.0,34.0,83.0,74.0,80.0,100.0,102.0,,,,20.0,51.0,51.0,,,,0.015,0.505,0.001,,0.278,,,0.29,-19.11,,-4.51,-0.09,,,91.5,86.6,,92.2,82.4,,0.222,0.402,0.217,0.455,0.455,0.125,0.253,0.371,0.376,,,,0.444,1.111,0.2,84.0,101.0,94.0,123.0,106.0,104.0,0.034,0.167,-3.18,0.91,83.7,75.5,0.227,0.352,0.248,,,,,,
4,2024-09-15,745206,Grounded Into DP,grounded_into_double_play,True,677594,571760,Julio Rodríguez,Andrew Heaney,1,713fa44e-d54e-47b2-b9df-d8cb753ff70c,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.89,4.3,150.1,101.0,80.0,98.0,0.754,9.1,2.39,8.5,1.2,0.74,0.251,0.405,0.14,0.294,0.424,,77.0,101.0,98.0,34.0,83.0,74.0,80.0,100.0,102.0,,,,20.0,51.0,51.0,,,,0.015,0.505,0.001,,0.278,,,0.29,-19.11,,-4.51,-0.09,,,91.5,86.6,,92.2,82.4,,0.222,0.402,0.217,0.455,0.455,0.125,0.253,0.371,0.376,,,,0.444,1.111,0.2,84.0,101.0,94.0,123.0,106.0,104.0,0.034,0.167,-3.18,0.91,83.7,75.5,0.227,0.352,0.248,,,,,,
5,2024-09-15,745206,Single,single,False,457759,571760,Justin Turner,Andrew Heaney,0,802301d4-08fb-46e0-8dee-3c75312aa77c,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.89,4.3,150.1,101.0,80.0,98.0,0.754,9.1,2.39,8.5,1.2,0.74,0.251,0.405,0.14,0.294,0.424,,77.0,101.0,98.0,34.0,83.0,74.0,80.0,100.0,102.0,,,,20.0,51.0,51.0,,,,0.015,0.505,0.001,,0.278,,,0.29,-19.11,,-4.51,-0.09,,,91.5,86.6,,92.2,82.4,,0.222,0.402,0.217,0.455,0.455,0.125,0.253,0.371,0.376,,,,0.444,1.111,0.2,84.0,101.0,94.0,123.0,106.0,104.0,0.034,0.167,-3.18,0.91,83.7,75.5,0.227,0.352,0.248,,,,,,
6,2024-09-15,745206,Walk,walk,False,668227,571760,Randy Arozarena,Andrew Heaney,1,d5fc16fe-d3b6-4e93-9f52-790f88ecfc6c,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.89,4.3,150.1,101.0,80.0,98.0,0.754,9.1,2.39,8.5,1.2,0.74,0.251,0.405,0.14,0.294,0.424,,77.0,101.0,98.0,34.0,83.0,74.0,80.0,100.0,102.0,,,,20.0,51.0,51.0,,,,0.015,0.505,0.001,,0.278,,,0.29,-19.11,,-4.51,-0.09,,,91.5,86.6,,92.2,82.4,,0.222,0.402,0.217,0.455,0.455,0.125,0.253,0.371,0.376,,,,0.444,1.111,0.2,84.0,101.0,94.0,123.0,106.0,104.0,0.034,0.167,-3.18,0.91,83.7,75.5,0.227,0.352,0.248,,,,,,
7,2024-09-15,745206,Home Run,home_run,False,641598,571760,Mitch Garver,Andrew Heaney,1,148b884f-5f0f-4517-87fd-1131fdaa1bbe,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.89,4.3,150.1,101.0,80.0,98.0,0.754,9.1,2.39,8.5,1.2,0.74,0.251,0.405,0.14,0.294,0.424,,77.0,101.0,98.0,34.0,83.0,74.0,80.0,100.0,102.0,,,,20.0,51.0,51.0,,,,0.015,0.505,0.001,,0.278,,,0.29,-19.11,,-4.51,-0.09,,,91.5,86.6,,92.2,82.4,,0.222,0.402,0.217,0.455,0.455,0.125,0.253,0.371,0.376,,,,0.444,1.111,0.2,84.0,101.0,94.0,123.0,106.0,104.0,0.034,0.167,-3.18,0.91,83.7,75.5,0.227,0.352,0.248,,,,,,
8,2024-09-15,745206,Pop Out,field_out,True,664238,571760,Dylan Moore,Andrew Heaney,0,e6b489b1-5d47-40d7-84a0-2e67e5fd9995,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.89,4.3,150.1,101.0,80.0,98.0,0.754,9.1,2.39,8.5,1.2,0.74,0.251,0.405,0.14,0.294,0.424,,77.0,101.0,98.0,34.0,83.0,74.0,80.0,100.0,102.0,,,,20.0,51.0,51.0,,,,0.015,0.505,0.001,,0.278,,,0.29,-19.11,,-4.51,-0.09,,,91.5,86.6,,92.2,82.4,,0.222,0.402,0.217,0.455,0.455,0.125,0.253,0.371,0.376,,,,0.444,1.111,0.2,84.0,101.0,94.0,123.0,106.0,104.0,0.034,0.167,-3.18,0.91,83.7,75.5,0.227,0.352,0.248,,,,,,
9,2024-09-15,745206,Groundout,field_out,True,663993,669923,Nathaniel Lowe,George Kirby,0,dff12892-0d61-49ab-831e-0d48bd09003b,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.62,3.48,179.0,106.0,106.0,107.0,0.785,8.5,1.11,8.65,1.11,1.0,0.294,0.348,0.18,0.285,0.444,73.9,102.0,107.0,101.0,106.0,108.0,108.0,112.0,105.0,111.0,114.0,110.0,114.0,97.0,99.0,93.0,108.0,99.0,107.0,0.235,0.338,0.004,0.103,0.237,0.083,0.0,0.26,0.79,-1.82,1.5,1.26,-2.25,-3.5,96.0,92.3,85.9,96.0,87.2,83.3,0.228,0.473,0.293,0.268,0.361,0.113,0.226,0.322,0.265,0.243,0.4,0.279,0.333,0.444,0.295,,,,,,,,,,,,,,,,,,,,,
