,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
54,2024-07-21,745230,Strikeout,strikeout,True,643289,676092,Mauricio Dubón,Collin Snider,1,f7e4b492-94cc-4ba2-8485-48da5579b847,676092.0,collinsnider,Snider,Right,Collin Snider,SEA,1.26,2.98,14.1,103.0,102.0,101.0,0.738,8.79,1.88,6.91,0.0,1.18,0.297,0.405,0.324,0.189,0.422,,,,90.0,97.0,91.0,50.0,117.0,91.0,115.0,104.0,114.0,0.103,0.245,0.407,,1.65,9.56,1.35,,94.0,,94.7,82.3,0.154,0.231,0.5,0.0,0.0,0.077,,,,0.238,0.286,0.227,,,,,,,,,,106.0,104.0,96.0,0.245,1.81,90.2,0.333,0.333,0.269
55,2024-07-21,745230,Groundout,field_out,True,514888,666619,Jose Altuve,Gregory Santos,0,09bf9cc4-cfe7-4836-9f7e-06c6be119e73,666619.0,gregorysantos,Santos,Right,Gregory Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
56,2024-07-21,745230,Single,single,False,641487,661527,J.P. Crawford,Seth Martinez,0,e04c98a0-6877-4bf6-8a4c-0dbc4d5cdcf4,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.21,44.2,101.0,96.0,98.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,46.0,99.0,90.0,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,0.212,0.306,0.327,0.155,1.96,2.47,0.1,-0.56,90.9,84.9,89.8,79.2,0.213,0.298,0.191,0.179,0.256,0.13,0.259,0.37,0.292,0.191,0.426,0.337,,,,,,,,,,,,,,,,,,
57,2024-07-21,745230,Strikeout,strikeout,True,645302,661527,Victor Robles,Seth Martinez,0,23419631-77ea-40b4-a3e1-17a2a984c349,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.21,44.2,101.0,96.0,98.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,46.0,99.0,90.0,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,0.212,0.306,0.327,0.155,1.96,2.47,0.1,-0.56,90.9,84.9,89.8,79.2,0.213,0.298,0.191,0.179,0.256,0.13,0.259,0.37,0.292,0.191,0.426,0.337,,,,,,,,,,,,,,,,,,
58,2024-07-21,745230,Grounded Into DP,grounded_into_double_play,True,664034,661527,Ty France,Seth Martinez,1,21deee0f-373f-4636-baa1-2c6f589efd64,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.21,44.2,101.0,96.0,98.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,46.0,99.0,90.0,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,0.212,0.306,0.327,0.155,1.96,2.47,0.1,-0.56,90.9,84.9,89.8,79.2,0.213,0.298,0.191,0.179,0.256,0.13,0.259,0.37,0.292,0.191,0.426,0.337,,,,,,,,,,,,,,,,,,
59,2024-07-21,745230,Groundout,field_out,True,608324,666619,Alex Bregman,Gregory Santos,0,4e4a5bb5-72cf-430a-a491-3fd11b201ac3,666619.0,gregorysantos,Santos,Right,Gregory Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
60,2024-07-21,745230,Double,double,False,670541,666619,Yordan Alvarez,Gregory Santos,0,14ca81b6-0d22-4b6a-8e9d-4efd542e0dd4,666619.0,gregorysantos,Santos,Right,Gregory Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
61,2024-07-21,745230,Groundout,field_out,True,673237,666619,Yainer Diaz,Gregory Santos,1,f68d1424-3dae-4546-bc4d-cea757348373,666619.0,gregorysantos,Santos,Right,Gregory Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
62,2024-07-21,745230,Single,single,False,676801,666619,Chas McCormick,Gregory Santos,1,6986a4e7-0ee4-4ee8-aece-ebce3610d4e7,666619.0,gregorysantos,Santos,Right,Gregory Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
63,2024-07-21,745230,Flyout,field_out,True,665161,666619,Jeremy Peña,Gregory Santos,0,16424fb0-dfc7-4a2d-8228-1bf51dc71a7b,666619.0,gregorysantos,Santos,Right,Gregory Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
64,2024-07-21,745230,Flyout,field_out,True,663728,681869,Cal Raleigh,Shawn Dubin,0,1913aa1d-0df7-4c61-8607-28ffce088fbe,681869.0,shawndubin,Dubin,Right,Shawn Dubin,HOU,5.23,4.3,31.0,92.0,117.0,94.0,0.777,9.29,4.65,10.16,0.58,1.43,0.228,0.38,0.152,0.38,0.418,126.0,99.0,104.0,104.0,90.0,90.0,,,,152.0,87.0,99.0,,0.431,0.111,0.146,0.77,,-0.42,-3.28,94.8,88.2,,83.0,0.208,0.25,0.191,,,,0.368,0.789,0.316,0.231,0.308,0.36,115.0,91.0,96.0,0.155,-0.63,81.2,0.292,0.333,0.333,121.0,91.0,87.0,0.157,-2.45,88.7,0.471,0.647,0.209
65,2024-07-21,745230,Groundout,field_out,True,593871,681869,Jorge Polanco,Shawn Dubin,0,de9543f1-dba8-4db9-a25a-861cc7dea460,681869.0,shawndubin,Dubin,Right,Shawn Dubin,HOU,5.23,4.3,31.0,92.0,117.0,94.0,0.777,9.29,4.65,10.16,0.58,1.43,0.228,0.38,0.152,0.38,0.418,126.0,99.0,104.0,104.0,90.0,90.0,,,,152.0,87.0,99.0,,0.431,0.111,0.146,0.77,,-0.42,-3.28,94.8,88.2,,83.0,0.208,0.25,0.191,,,,0.368,0.789,0.316,0.231,0.308,0.36,115.0,91.0,96.0,0.155,-0.63,81.2,0.292,0.333,0.333,121.0,91.0,87.0,0.157,-2.45,88.7,0.471,0.647,0.209
66,2024-07-21,745230,Groundout,field_out,True,668942,681869,Josh Rojas,Shawn Dubin,0,da8e67f5-c205-4786-bd08-6ff6431fd5e7,681869.0,shawndubin,Dubin,Right,Shawn Dubin,HOU,5.23,4.3,31.0,92.0,117.0,94.0,0.777,9.29,4.65,10.16,0.58,1.43,0.228,0.38,0.152,0.38,0.418,126.0,99.0,104.0,104.0,90.0,90.0,,,,152.0,87.0,99.0,,0.431,0.111,0.146,0.77,,-0.42,-3.28,94.8,88.2,,83.0,0.208,0.25,0.191,,,,0.368,0.789,0.316,0.231,0.308,0.36,115.0,91.0,96.0,0.155,-0.63,81.2,0.292,0.333,0.333,121.0,91.0,87.0,0.157,-2.45,88.7,0.471,0.647,0.209
67,2024-07-21,745230,Strikeout,strikeout,True,676694,662253,Jake Meyers,Andrés Muñoz,0,10a4e492-02e8-4711-8eb6-790f04eea243,662253.0,andresmunoz,"Muñoz, A",Right,Andrés Muñoz,SEA,1.41,2.68,38.1,95.0,116.0,99.0,0.646,10.8,4.23,5.17,0.47,1.96,0.326,0.314,0.198,0.267,0.323,,,,95.0,96.0,94.0,107.0,90.0,93.0,134.0,98.0,106.0,0.239,0.276,0.485,,1.8,1.38,1.77,,98.4,,97.5,87.6,0.167,0.278,0.203,0.185,0.185,0.438,,,,0.159,0.217,0.437,,,,,,,,,,,,,,,,,,
68,2024-07-21,745230,Strikeout,strikeout,True,663550,662253,Trey Cabbage,Andrés Muñoz,0,06b5c803-462c-4b57-91ef-975c0c2a0b32,662253.0,andresmunoz,"Muñoz, A",Right,Andrés Muñoz,SEA,1.41,2.68,38.1,95.0,116.0,99.0,0.646,10.8,4.23,5.17,0.47,1.96,0.326,0.314,0.198,0.267,0.323,,,,95.0,96.0,94.0,107.0,90.0,93.0,134.0,98.0,106.0,0.239,0.276,0.485,,1.8,1.38,1.77,,98.4,,97.5,87.6,0.167,0.278,0.203,0.185,0.185,0.438,,,,0.159,0.217,0.437,,,,,,,,,,,,,,,,,,
69,2024-07-21,745230,Strikeout,strikeout,True,694388,662253,Joey Loperfido,Andrés Muñoz,0,a34a2346-321e-47bb-b0e1-055aa97f6c47,662253.0,andresmunoz,"Muñoz, A",Right,Andrés Muñoz,SEA,1.41,2.68,38.1,95.0,116.0,99.0,0.646,10.8,4.23,5.17,0.47,1.96,0.326,0.314,0.198,0.267,0.323,,,,95.0,96.0,94.0,107.0,90.0,93.0,134.0,98.0,106.0,0.239,0.276,0.485,,1.8,1.38,1.77,,98.4,,97.5,87.6,0.167,0.278,0.203,0.185,0.185,0.438,,,,0.159,0.217,0.437,,,,,,,,,,,,,,,,,,
