,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
15,2024-06-01,746870,Flyout,field_out,True,682829,657006,Elly De La Cruz,Justin Steele,1,b9b08b43-c617-411f-9edb-e4f97c62bea2,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,0.05,0.598,0.298,0.027,0.027,0.43,2.99,1.39,3.31,3.98,91.7,86.6,92.0,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.188,0.25,0.2,0.133,0.133,0.111,0.0,0.0,0.214,,,,,,,,,,,,,,,,,,
16,2024-06-01,746870,Walk,walk,False,663538,668881,Nico Hoerner,Hunter Greene,0,8a00f6fe-e964-4d86-add5-0179c4b99de6,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
17,2024-06-01,746870,Walk,walk,False,621020,668881,Dansby Swanson,Hunter Greene,1,5ed6b48b-8340-4613-9daa-e671ecfab560,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
18,2024-06-01,746870,Strikeout,strikeout,True,691718,668881,Pete Crow-Armstrong,Hunter Greene,0,fba91438-350a-4a26-b47e-9484860be4a7,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
19,2024-06-01,746870,Walk,walk,False,665804,668881,Miguel Amaya,Hunter Greene,1,e558d1fb-86d1-4260-899c-48666b015577,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
20,2024-06-01,746870,Strikeout,strikeout,True,643565,668881,Mike Tauchman,Hunter Greene,0,c9c66e18-d043-4394-8fd8-be917decbfcf,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
21,2024-06-01,746870,Home Run,home_run,False,673548,668881,Seiya Suzuki,Hunter Greene,1,1b35ff6d-a378-42e2-ba60-03b61b7d99f0,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
22,2024-06-01,746870,Strikeout,strikeout,True,641355,668881,Cody Bellinger,Hunter Greene,0,45002078-6836-423b-bb4b-7f363af68830,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,,,,,,,0.25,1.0,0.125,118.0,91.0,104.0,0.083,-0.91,86.8,0.267,0.433,0.309,,,,,,,,,
23,2024-06-01,746870,Strikeout,strikeout,True,600869,657006,Jeimer Candelario,Justin Steele,0,a4f8b41d-17a2-49ce-9b2a-ba74a19422c2,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,0.05,0.598,0.298,0.027,0.027,0.43,2.99,1.39,3.31,3.98,91.7,86.6,92.0,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.188,0.25,0.2,0.133,0.133,0.111,0.0,0.0,0.214,,,,,,,,,,,,,,,,,,
24,2024-06-01,746870,Single,single,False,668715,657006,Spencer Steer,Justin Steele,0,5d7ad4fe-6bf6-4391-9c71-c14d6262aae1,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,0.05,0.598,0.298,0.027,0.027,0.43,2.99,1.39,3.31,3.98,91.7,86.6,92.0,83.2,79.8,0.255,0.401,0.206,0.171,0.279,0.299,0.188,0.25,0.2,0.133,0.133,0.111,0.0,0.0,0.214,,,,,,,,,,,,,,,,,,
