,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-10-01,775333,Single,single,False,671739,650633,Michael Harris II,Michael King,0,7f37dce5-e7e9-456d-afa5-42611b5d585a,650633.0,michaelking,"King, M",Right,Michael King,SDP,2.95,3.54,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,0.234,0.246,-0.15,0.68,-0.19,1.61,93.7,86.7,92.9,82.9,0.207,0.286,0.362,0.2,0.376,0.185,0.265,0.402,0.261,0.206,0.304,0.345,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
1,2024-10-01,775333,Strikeout,strikeout,True,645277,650633,Ozzie Albies,Michael King,0,6eed58c9-d798-4e0d-93ad-c3d80e9e3f14,650633.0,michaelking,"King, M",Right,Michael King,SDP,2.95,3.54,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,0.234,0.246,-0.15,0.68,-0.19,1.61,93.7,86.7,92.9,82.9,0.207,0.286,0.362,0.2,0.376,0.185,0.265,0.402,0.261,0.206,0.304,0.345,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
2,2024-10-01,775333,Strikeout,strikeout,True,542303,650633,Marcell Ozuna,Michael King,0,7a33ac7b-b01a-467e-9ed1-5d9fe68c4b72,650633.0,michaelking,"King, M",Right,Michael King,SDP,2.95,3.54,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,0.234,0.246,-0.15,0.68,-0.19,1.61,93.7,86.7,92.9,82.9,0.207,0.286,0.362,0.2,0.376,0.185,0.265,0.402,0.261,0.206,0.304,0.345,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
3,2024-10-01,775333,Single,single,False,621566,650633,Matt Olson,Michael King,1,3992b05d-d603-4e50-841c-5c104d85f665,650633.0,michaelking,"King, M",Right,Michael King,SDP,2.95,3.54,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,0.234,0.246,-0.15,0.68,-0.19,1.61,93.7,86.7,92.9,82.9,0.207,0.286,0.362,0.2,0.376,0.185,0.265,0.402,0.261,0.206,0.304,0.345,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
4,2024-10-01,775333,Strikeout,strikeout,True,624585,650633,Jorge Soler,Michael King,0,c2119e11-b952-4d23-84e3-41a4e5a9f046,650633.0,michaelking,"King, M",Right,Michael King,SDP,2.95,3.54,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,0.234,0.246,-0.15,0.68,-0.19,1.61,93.7,86.7,92.9,82.9,0.207,0.286,0.362,0.2,0.376,0.185,0.265,0.402,0.261,0.206,0.304,0.345,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
5,2024-10-01,775333,Single,single,False,650333,700363,Luis Arraez,AJ Smith-Shawver,0,64c0b4a8-db6a-4a23-94b1-04cd7debe866,700363.0,ajsmithshawver,Smith-Shawver,Right,AJ Smith-Shawver,ATL,0.0,2.77,4.1,99.0,99.0,96.0,0.786,8.31,4.15,6.23,0.0,0.43,0.583,0.333,0.167,0.25,0.437,105.0,90.0,99.0,102.0,107.0,99.0,,,,,,,,0.54,,0.253,4.48,,,-1.99,96.2,86.0,,,0.25,0.25,0.375,,,,0.111,0.111,0.154,,,,,,,85.0,91.0,85.0,0.207,-2.09,76.5,0.333,0.333,0.222,,,,,,,,,
6,2024-10-01,775333,Home Run,home_run,False,665487,700363,Fernando Tatis Jr.,AJ Smith-Shawver,1,5d3e0e9f-d22c-4f86-9f43-d6823b667dcf,700363.0,ajsmithshawver,Smith-Shawver,Right,AJ Smith-Shawver,ATL,0.0,2.77,4.1,99.0,99.0,96.0,0.786,8.31,4.15,6.23,0.0,0.43,0.583,0.333,0.167,0.25,0.437,105.0,90.0,99.0,102.0,107.0,99.0,,,,,,,,0.54,,0.253,4.48,,,-1.99,96.2,86.0,,,0.25,0.25,0.375,,,,0.111,0.111,0.154,,,,,,,85.0,91.0,85.0,0.207,-2.09,76.5,0.333,0.333,0.222,,,,,,,,,
7,2024-10-01,775333,Strikeout,strikeout,True,595777,700363,Jurickson Profar,AJ Smith-Shawver,0,5c34afab-0d6c-4426-8eb2-d7518159caf7,700363.0,ajsmithshawver,Smith-Shawver,Right,AJ Smith-Shawver,ATL,0.0,2.77,4.1,99.0,99.0,96.0,0.786,8.31,4.15,6.23,0.0,0.43,0.583,0.333,0.167,0.25,0.437,105.0,90.0,99.0,102.0,107.0,99.0,,,,,,,,0.54,,0.253,4.48,,,-1.99,96.2,86.0,,,0.25,0.25,0.375,,,,0.111,0.111,0.154,,,,,,,85.0,91.0,85.0,0.207,-2.09,76.5,0.333,0.333,0.222,,,,,,,,,
8,2024-10-01,775333,Groundout,field_out,True,592518,700363,Manny Machado,AJ Smith-Shawver,0,6360d13c-8066-4491-9918-84d27e3cea7d,700363.0,ajsmithshawver,Smith-Shawver,Right,AJ Smith-Shawver,ATL,0.0,2.77,4.1,99.0,99.0,96.0,0.786,8.31,4.15,6.23,0.0,0.43,0.583,0.333,0.167,0.25,0.437,105.0,90.0,99.0,102.0,107.0,99.0,,,,,,,,0.54,,0.253,4.48,,,-1.99,96.2,86.0,,,0.25,0.25,0.375,,,,0.111,0.111,0.154,,,,,,,85.0,91.0,85.0,0.207,-2.09,76.5,0.333,0.333,0.222,,,,,,,,,
9,2024-10-01,775333,Single,single,False,701538,700363,Jackson Merrill,AJ Smith-Shawver,0,0c5a4102-b982-4d86-93f0-c490f3dc3598,700363.0,ajsmithshawver,Smith-Shawver,Right,AJ Smith-Shawver,ATL,0.0,2.77,4.1,99.0,99.0,96.0,0.786,8.31,4.15,6.23,0.0,0.43,0.583,0.333,0.167,0.25,0.437,105.0,90.0,99.0,102.0,107.0,99.0,,,,,,,,0.54,,0.253,4.48,,,-1.99,96.2,86.0,,,0.25,0.25,0.375,,,,0.111,0.111,0.154,,,,,,,85.0,91.0,85.0,0.207,-2.09,76.5,0.333,0.333,0.222,,,,,,,,,
