,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wCU/C,vFA,vFC,vFS,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
0,2024-09-21,745038,Groundout,field_out,True,543807,671737,George Springer,Taj Bradley,0,1da410f1-c5cc-4b92-a421-8d1487fce662,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.3,4.2,132.0,98.0,116.0,104.0,0.748,10.02,3.14,8.11,1.5,1.04,0.244,0.392,0.1,0.386,0.426,100.0,91.0,93.0,129.0,96.0,102.0,91.0,100.0,99.0,122.0,101.0,113.0,0.415,0.221,0.272,0.092,-0.02,0.86,0.24,-1.48,96.3,90.8,90.8,79.1,0.266,0.503,0.212,0.22,0.329,0.325,0.217,0.377,0.325,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-21,745038,Pop Out,field_out,True,664770,671737,Nathan Lukes,Taj Bradley,0,a26771bc-cf8c-4934-a762-239e7a0138a4,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.3,4.2,132.0,98.0,116.0,104.0,0.748,10.02,3.14,8.11,1.5,1.04,0.244,0.392,0.1,0.386,0.426,100.0,91.0,93.0,129.0,96.0,102.0,91.0,100.0,99.0,122.0,101.0,113.0,0.415,0.221,0.272,0.092,-0.02,0.86,0.24,-1.48,96.3,90.8,90.8,79.1,0.266,0.503,0.212,0.22,0.329,0.325,0.217,0.377,0.325,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-21,745038,Single,single,False,665489,671737,Vladimir Guerrero Jr.,Taj Bradley,0,590177f9-66b3-4bc2-8f70-71c4d77c8450,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.3,4.2,132.0,98.0,116.0,104.0,0.748,10.02,3.14,8.11,1.5,1.04,0.244,0.392,0.1,0.386,0.426,100.0,91.0,93.0,129.0,96.0,102.0,91.0,100.0,99.0,122.0,101.0,113.0,0.415,0.221,0.272,0.092,-0.02,0.86,0.24,-1.48,96.3,90.8,90.8,79.1,0.266,0.503,0.212,0.22,0.329,0.325,0.217,0.377,0.325,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-21,745038,Single,single,False,687462,671737,Spencer Horwitz,Taj Bradley,1,fa5965bc-40bd-486a-a366-70292a6fc1f2,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.3,4.2,132.0,98.0,116.0,104.0,0.748,10.02,3.14,8.11,1.5,1.04,0.244,0.392,0.1,0.386,0.426,100.0,91.0,93.0,129.0,96.0,102.0,91.0,100.0,99.0,122.0,101.0,113.0,0.415,0.221,0.272,0.092,-0.02,0.86,0.24,-1.48,96.3,90.8,90.8,79.1,0.266,0.503,0.212,0.22,0.329,0.325,0.217,0.377,0.325,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-21,745038,Flyout,field_out,True,672386,671737,Alejandro Kirk,Taj Bradley,0,92b59095-359d-4be3-acb0-f71a7afb834d,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.3,4.2,132.0,98.0,116.0,104.0,0.748,10.02,3.14,8.11,1.5,1.04,0.244,0.392,0.1,0.386,0.426,100.0,91.0,93.0,129.0,96.0,102.0,91.0,100.0,99.0,122.0,101.0,113.0,0.415,0.221,0.272,0.092,-0.02,0.86,0.24,-1.48,96.3,90.8,90.8,79.1,0.266,0.503,0.212,0.22,0.329,0.325,0.217,0.377,0.325,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-21,745038,Flyout,field_out,True,650490,684320,Yandy Díaz,Yariel Rodríguez,0,3f03faa6-4f34-44a3-b8fa-d7763901f78d,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.41,4.09,81.2,97.0,97.0,97.0,0.764,8.82,4.19,7.71,1.21,0.89,0.253,0.4,0.182,0.271,0.393,97.0,93.0,97.0,86.0,93.0,88.0,,,,84.0,103.0,103.0,0.412,,0.099,0.101,0.01,,-1.22,-3.33,93.9,,88.9,78.2,0.25,0.435,0.218,0.2,0.314,0.219,,,,0.389,0.833,0.26,85.0,94.0,93.0,119.0,103.0,110.0,0.104,0.284,3.06,0.53,93.4,84.6,0.218,0.368,0.34,0.154,0.154,0.119,,,,,,,,,,,,,,,,,,
6,2024-09-21,745038,Single,single,False,664040,684320,Brandon Lowe,Yariel Rodríguez,0,9db5e6b9-6e0c-4bf8-a20d-c572d6a8e073,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.41,4.09,81.2,97.0,97.0,97.0,0.764,8.82,4.19,7.71,1.21,0.89,0.253,0.4,0.182,0.271,0.393,97.0,93.0,97.0,86.0,93.0,88.0,,,,84.0,103.0,103.0,0.412,,0.099,0.101,0.01,,-1.22,-3.33,93.9,,88.9,78.2,0.25,0.435,0.218,0.2,0.314,0.219,,,,0.389,0.833,0.26,85.0,94.0,93.0,119.0,103.0,110.0,0.104,0.284,3.06,0.53,93.4,84.6,0.218,0.368,0.34,0.154,0.154,0.119,,,,,,,,,,,,,,,,,,
7,2024-09-21,745038,Strikeout,strikeout,True,691406,684320,Junior Caminero,Yariel Rodríguez,0,d51c2a39-eea7-4753-a558-334c47012046,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.41,4.09,81.2,97.0,97.0,97.0,0.764,8.82,4.19,7.71,1.21,0.89,0.253,0.4,0.182,0.271,0.393,97.0,93.0,97.0,86.0,93.0,88.0,,,,84.0,103.0,103.0,0.412,,0.099,0.101,0.01,,-1.22,-3.33,93.9,,88.9,78.2,0.25,0.435,0.218,0.2,0.314,0.219,,,,0.389,0.833,0.26,85.0,94.0,93.0,119.0,103.0,110.0,0.104,0.284,3.06,0.53,93.4,84.6,0.218,0.368,0.34,0.154,0.154,0.119,,,,,,,,,,,,,,,,,,
8,2024-09-21,745038,Caught Stealing 2B,caught_stealing_2b,True,666018,684320,Jonathan Aranda,Yariel Rodríguez,0,4c556d40-6f81-4721-93b6-7828f89b0734,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.41,4.09,81.2,97.0,97.0,97.0,0.764,8.82,4.19,7.71,1.21,0.89,0.253,0.4,0.182,0.271,0.393,97.0,93.0,97.0,86.0,93.0,88.0,,,,84.0,103.0,103.0,0.412,,0.099,0.101,0.01,,-1.22,-3.33,93.9,,88.9,78.2,0.25,0.435,0.218,0.2,0.314,0.219,,,,0.389,0.833,0.26,85.0,94.0,93.0,119.0,103.0,110.0,0.104,0.284,3.06,0.53,93.4,84.6,0.218,0.368,0.34,0.154,0.154,0.119,,,,,,,,,,,,,,,,,,
9,2024-09-21,745038,Walk,walk,False,680718,671737,Addison Barger,Taj Bradley,0,2efcbfed-404b-4b55-b8ee-49962f7e280d,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.3,4.2,132.0,98.0,116.0,104.0,0.748,10.02,3.14,8.11,1.5,1.04,0.244,0.392,0.1,0.386,0.426,100.0,91.0,93.0,129.0,96.0,102.0,91.0,100.0,99.0,122.0,101.0,113.0,0.415,0.221,0.272,0.092,-0.02,0.86,0.24,-1.48,96.3,90.8,90.8,79.1,0.266,0.503,0.212,0.22,0.329,0.325,0.217,0.377,0.325,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
