,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff
28,2024-05-06,745182,Groundout,field_out,True,502671,640455,Paul Goldschmidt,Sean Manaea,0,076227fb-9996-4d0b-b535-5b4aacf0b38e,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.229,0.344,0.19,0.143,0.429,0.328,0.242,0.273,0.178,0.227,0.295,0.213,0.316,0.456,0.258,,,
29,2024-05-06,745182,Pop Out,field_out,True,571448,640455,Nolan Arenado,Sean Manaea,0,dee64d6c-01d5-4fdd-a243-f12b93755d15,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.229,0.344,0.19,0.143,0.429,0.328,0.242,0.273,0.178,0.227,0.295,0.213,0.316,0.456,0.258,,,
30,2024-05-06,745182,Groundout,field_out,True,666185,640455,Dylan Carlson,Sean Manaea,0,d149d570-a2fe-4b4a-a4be-0c13cb25639c,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.229,0.344,0.19,0.143,0.429,0.328,0.242,0.273,0.178,0.227,0.295,0.213,0.316,0.456,0.258,,,
31,2024-05-06,745182,Single,single,False,621512,502043,Tomás Nido,Kyle Gibson,0,c3c428cc-210e-4b88-a5c6-6c55bf3f989b,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,105.0,105.0,106.0,80.0,85.0,80.0,84.0,101.0,96.0,104.0,102.0,105.0,94.0,94.0,89.0,0.279,0.127,0.205,0.221,0.082,0.086,-2.35,0.34,0.83,0.35,-1.85,1.85,91.5,88.9,84.8,90.7,80.6,78.5,0.252,0.409,0.108,0.222,0.306,0.454,0.322,0.441,0.211,0.293,0.683,0.076,0.167,0.194,0.342,0.304,0.739,0.493
32,2024-05-06,745182,Single,single,False,607043,502043,Brandon Nimmo,Kyle Gibson,1,9c598bb9-b40a-41a2-90fb-1f00ec76f342,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,105.0,105.0,106.0,80.0,85.0,80.0,84.0,101.0,96.0,104.0,102.0,105.0,94.0,94.0,89.0,0.279,0.127,0.205,0.221,0.082,0.086,-2.35,0.34,0.83,0.35,-1.85,1.85,91.5,88.9,84.8,90.7,80.6,78.5,0.252,0.409,0.108,0.222,0.306,0.454,0.322,0.441,0.211,0.293,0.683,0.076,0.167,0.194,0.342,0.304,0.739,0.493
33,2024-05-06,745182,Groundout,field_out,True,516782,502043,Starling Marte,Kyle Gibson,1,605dfc94-da15-41b0-a170-6d183cb7aae1,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,105.0,105.0,106.0,80.0,85.0,80.0,84.0,101.0,96.0,104.0,102.0,105.0,94.0,94.0,89.0,0.279,0.127,0.205,0.221,0.082,0.086,-2.35,0.34,0.83,0.35,-1.85,1.85,91.5,88.9,84.8,90.7,80.6,78.5,0.252,0.409,0.108,0.222,0.306,0.454,0.322,0.441,0.211,0.293,0.683,0.076,0.167,0.194,0.342,0.304,0.739,0.493
34,2024-05-06,745182,Sac Fly,sac_fly,True,596019,502043,Francisco Lindor,Kyle Gibson,1,03f564c5-5728-43f1-bfbb-ce9d1ca338e8,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,105.0,105.0,106.0,80.0,85.0,80.0,84.0,101.0,96.0,104.0,102.0,105.0,94.0,94.0,89.0,0.279,0.127,0.205,0.221,0.082,0.086,-2.35,0.34,0.83,0.35,-1.85,1.85,91.5,88.9,84.8,90.7,80.6,78.5,0.252,0.409,0.108,0.222,0.306,0.454,0.322,0.441,0.211,0.293,0.683,0.076,0.167,0.194,0.342,0.304,0.739,0.493
35,2024-05-06,745182,Groundout,field_out,True,621466,502043,DJ Stewart,Kyle Gibson,0,6e8766d6-7f8a-4d0f-88d4-de18c1e402a7,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,105.0,105.0,106.0,80.0,85.0,80.0,84.0,101.0,96.0,104.0,102.0,105.0,94.0,94.0,89.0,0.279,0.127,0.205,0.221,0.082,0.086,-2.35,0.34,0.83,0.35,-1.85,1.85,91.5,88.9,84.8,90.7,80.6,78.5,0.252,0.409,0.108,0.222,0.306,0.454,0.322,0.441,0.211,0.293,0.683,0.076,0.167,0.194,0.342,0.304,0.739,0.493
36,2024-05-06,745182,Pop Out,field_out,True,671056,640455,Iván Herrera,Sean Manaea,0,4d55a42c-b5a6-4ebf-9985-8184dde17074,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.229,0.344,0.19,0.143,0.429,0.328,0.242,0.273,0.178,0.227,0.295,0.213,0.316,0.456,0.258,,,
37,2024-05-06,745182,Flyout,field_out,True,680977,640455,Brendan Donovan,Sean Manaea,0,a9291e76-0aef-4031-90e3-4e011829fd45,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.229,0.344,0.19,0.143,0.429,0.328,0.242,0.273,0.178,0.227,0.295,0.213,0.316,0.456,0.258,,,
