,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff
0,2024-03-31,745035,Groundout,field_out,True,664023,592351,Ian Happ,Jon Gray,0,54b3ebda-9810-456d-9585-c5b23285ed3e,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-03-31,745035,Single,single,False,673548,592351,Seiya Suzuki,Jon Gray,0,e248eb7c-c554-4847-8131-fce6b27e1d21,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-03-31,745035,Walk,walk,False,641355,592351,Cody Bellinger,Jon Gray,1,44c57272-2f40-49fe-8820-7af7732a4c12,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-31,745035,Home Run,home_run,False,666624,592351,Christopher Morel,Jon Gray,1,28b22254-5bed-4e7b-808b-05185da28832,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-03-31,745035,Strikeout,strikeout,True,621020,592351,Dansby Swanson,Jon Gray,0,a42b9e11-f3e5-4d93-8bea-73c8bb1df4e9,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-03-31,745035,Strikeout,strikeout,True,683737,592351,Michael Busch,Jon Gray,0,67050b30-368d-4dc8-8a59-daeb3cad3e4d,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-03-31,745035,Lineout,field_out,True,543760,696136,Marcus Semien,Jordan Wicks,0,32016586-8d55-4b13-a115-a4195794a3b4,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,0.461,0.081,0.062,0.262,0.11,-3.7,-3.75,1.62,92.9,82.5,83.2,78.7,0.259,0.397,0.176,0.4,0.6,0.333,0.176,0.294,0.506,0.667,1.0,0.222,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,-19.26,-1.19,90.6,92.2,0.357,0.429,0.182,,,,,,,,,,,,
7,2024-03-31,745035,Walk,walk,False,694671,696136,Wyatt Langford,Jordan Wicks,0,c0b8104f-800e-45e3-876b-dda307adcf77,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,0.461,0.081,0.062,0.262,0.11,-3.7,-3.75,1.62,92.9,82.5,83.2,78.7,0.259,0.397,0.176,0.4,0.6,0.333,0.176,0.294,0.506,0.667,1.0,0.222,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,-19.26,-1.19,90.6,92.2,0.357,0.429,0.182,,,,,,,,,,,,
8,2024-03-31,745035,Forceout,force_out,True,673962,696136,Josh Jung,Jordan Wicks,1,02187549-1123-40a9-b1bb-20c181d16c9a,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,0.461,0.081,0.062,0.262,0.11,-3.7,-3.75,1.62,92.9,82.5,83.2,78.7,0.259,0.397,0.176,0.4,0.6,0.333,0.176,0.294,0.506,0.667,1.0,0.222,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,-19.26,-1.19,90.6,92.2,0.357,0.429,0.182,,,,,,,,,,,,
9,2024-03-31,745035,Strikeout,strikeout,True,666969,696136,Adolis García,Jordan Wicks,0,381f70e6-d8ff-495e-8ecb-2629249502ad,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,0.461,0.081,0.062,0.262,0.11,-3.7,-3.75,1.62,92.9,82.5,83.2,78.7,0.259,0.397,0.176,0.4,0.6,0.333,0.176,0.294,0.506,0.667,1.0,0.222,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,-19.26,-1.19,90.6,92.2,0.357,0.429,0.182,,,,,,,,,,,,
