,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-13,745676,Double,double,False,682928,671212,CJ Abrams,Joe Boyle,0,bae0e14b-ae48-4449-9580-1cba03c6cb1d,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.16,4.79,27.2,88.0,110.0,92.0,0.757,9.43,7.48,8.13,0.98,0.87,0.263,0.25,0.171,0.263,0.38,110.0,75.0,87.0,95.0,84.0,84.0,128.0,106.0,117.0,0.575,0.36,0.065,-0.8,0.13,0.58,96.6,86.7,80.4,0.268,0.411,0.216,0.25,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-13,745676,Walk,walk,False,657041,671212,Lane Thomas,Joe Boyle,0,674bfd3d-9372-4db1-a3d4-e4849f092f55,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.16,4.79,27.2,88.0,110.0,92.0,0.757,9.43,7.48,8.13,0.98,0.87,0.263,0.25,0.171,0.263,0.38,110.0,75.0,87.0,95.0,84.0,84.0,128.0,106.0,117.0,0.575,0.36,0.065,-0.8,0.13,0.58,96.6,86.7,80.4,0.268,0.411,0.216,0.25,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-13,745676,Grounded Into DP,grounded_into_double_play,True,608385,671212,Jesse Winker,Joe Boyle,1,a6345309-ec89-44de-bff4-e2f120ca6e9f,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.16,4.79,27.2,88.0,110.0,92.0,0.757,9.43,7.48,8.13,0.98,0.87,0.263,0.25,0.171,0.263,0.38,110.0,75.0,87.0,95.0,84.0,84.0,128.0,106.0,117.0,0.575,0.36,0.065,-0.8,0.13,0.58,96.6,86.7,80.4,0.268,0.411,0.216,0.25,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-13,745676,Strikeout,strikeout,True,608336,671212,Joey Gallo,Joe Boyle,1,a8115280-cb69-4248-abf8-36b227823901,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.16,4.79,27.2,88.0,110.0,92.0,0.757,9.43,7.48,8.13,0.98,0.87,0.263,0.25,0.171,0.263,0.38,110.0,75.0,87.0,95.0,84.0,84.0,128.0,106.0,117.0,0.575,0.36,0.065,-0.8,0.13,0.58,96.6,86.7,80.4,0.268,0.411,0.216,0.25,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-13,745676,Single,single,False,647351,669022,Abraham Toro,MacKenzie Gore,0,fbfd236e-560c-48ae-8d9d-6a61ed656d39,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.21,-0.7,0.66,96.4,91.0,83.3,0.284,0.408,0.239,0.429,0.714,0.25,94.0,89.0,93.0,0.092,-1.82,85.9,0.217,0.265,0.356,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-04-13,745676,Strikeout,strikeout,True,680869,669022,Zack Gelof,MacKenzie Gore,0,0fc9f903-752b-418c-8e2f-9e91cb226de7,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.21,-0.7,0.66,96.4,91.0,83.3,0.284,0.408,0.239,0.429,0.714,0.25,94.0,89.0,93.0,0.092,-1.82,85.9,0.217,0.265,0.356,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-04-13,745676,Strikeout,strikeout,True,605204,669022,J.D. Davis,MacKenzie Gore,1,60866b38-f7ee-47ad-877c-11bcef655c20,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.21,-0.7,0.66,96.4,91.0,83.3,0.284,0.408,0.239,0.429,0.714,0.25,94.0,89.0,93.0,0.092,-1.82,85.9,0.217,0.265,0.356,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-04-13,745676,Walk,walk,False,663527,669022,Tyler Nevin,MacKenzie Gore,0,1174cd1b-0d5a-4217-ba26-fc2b3ee586c4,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.21,-0.7,0.66,96.4,91.0,83.3,0.284,0.408,0.239,0.429,0.714,0.25,94.0,89.0,93.0,0.092,-1.82,85.9,0.217,0.265,0.356,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-13,745676,Strikeout,strikeout,True,669127,669022,Shea Langeliers,MacKenzie Gore,0,6b04913b-1210-4c5d-8a98-5f03e00d23f8,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.21,-0.7,0.66,96.4,91.0,83.3,0.284,0.408,0.239,0.429,0.714,0.25,94.0,89.0,93.0,0.092,-1.82,85.9,0.217,0.265,0.356,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-13,745676,Flyout,field_out,True,592696,671212,Eddie Rosario,Joe Boyle,0,4eeed293-d6d0-4392-a237-a4a6f593627f,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.16,4.79,27.2,88.0,110.0,92.0,0.757,9.43,7.48,8.13,0.98,0.87,0.263,0.25,0.171,0.263,0.38,110.0,75.0,87.0,95.0,84.0,84.0,128.0,106.0,117.0,0.575,0.36,0.065,-0.8,0.13,0.58,96.6,86.7,80.4,0.268,0.411,0.216,0.25,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
