,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FS%,wFS/C,vFS
34,2024-08-26,745458,Lineout,field_out,True,642133,592791,Rowdy Tellez,Jameson Taillon,0,1d7845d1-ba83-4523-88d4-64ed9e78bd96,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
35,2024-08-26,745458,Flyout,field_out,True,650559,592791,Bryan De La Cruz,Jameson Taillon,0,95d490c9-e247-4fc5-a44a-973c60b49e87,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
36,2024-08-26,745458,Groundout,field_out,True,641355,593334,Cody Bellinger,Domingo Germán,0,b71316e6-de00-4cf2-82b1-7c8cdef2f563,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
37,2024-08-26,745458,Flyout,field_out,True,670623,593334,Isaac Paredes,Domingo Germán,0,24886092-69e1-4f69-9706-99270df0f292,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
38,2024-08-26,745458,Groundout,field_out,True,663538,593334,Nico Hoerner,Domingo Germán,0,d10c960e-1645-4a94-bb91-263bb4281f4f,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
39,2024-08-26,745458,Groundout,field_out,True,518735,592791,Yasmani Grandal,Jameson Taillon,0,f27244a5-6681-4cb0-8dc6-a2fa8d4acea5,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
40,2024-08-26,745458,Single,single,False,669707,592791,Jared Triolo,Jameson Taillon,0,01865ad5-300f-453d-b77e-d76297fa0180,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
41,2024-08-26,745458,Groundout,field_out,True,678225,592791,Ji Hwan Bae,Jameson Taillon,1,3a9dcdb2-37d6-4805-a047-fb6952df92eb,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
42,2024-08-26,745458,Groundout,field_out,True,643396,592791,Isiah Kiner-Falefa,Jameson Taillon,1,56f0d135-e3ae-4c45-b974-1ee217e6b366,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
43,2024-08-26,745458,Walk,walk,False,621020,593334,Dansby Swanson,Domingo Germán,0,4d430655-2251-4bef-b044-4a17f148205b,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,6.14,5.24,14.2,95.0,93.0,94.0,0.829,6.75,6.75,6.75,1.23,0.59,0.167,0.476,0.19,0.262,0.389,121.0,102.0,105.0,101.0,99.0,99.0,67.0,89.0,86.0,52.0,93.0,84.0,,,,,,,0.023,0.431,,,0.321,0.225,-2.15,,22.12,,0.87,1.02,90.7,,84.1,90.3,,81.7,0.238,0.524,0.077,0.0,0.0,0.2,,,,,,,,,,0.211,0.263,0.186,0.2,0.2,0.281,,,
