,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
63,2024-05-30,745898,Single,single,False,686469,643377,Vinnie Pasquantino,Griffin Jax,0,d2620906-5afa-46ef-abf5-7a111fd3ce39,643377.0,griffinjax,Jax,Right,Griffin Jax,MIN,1.91,2.48,42.1,104.0,136.0,116.0,0.649,12.33,2.55,5.95,0.43,1.48,0.268,0.433,0.227,0.299,0.424,107.0,103.0,113.0,152.0,119.0,124.0,121.0,106.0,110.0,168.0,99.0,123.0,0.286,0.384,0.075,0.16,3.82,0.27,0.64,-0.19,97.0,92.3,89.2,86.9,0.114,0.182,0.293,0.185,0.333,0.483,0.236,0.327,0.422,0.167,0.333,0.32,0.2,0.267,0.219,93.0,108.0,106.0,0.095,2.06,96.6,,,,,,,,,,,,,,,,,,
64,2024-05-30,745898,Strikeout,strikeout,True,521692,643377,Salvador Perez,Griffin Jax,0,e582ebde-2b87-4fda-b298-070381bc6761,643377.0,griffinjax,Jax,Right,Griffin Jax,MIN,1.91,2.48,42.1,104.0,136.0,116.0,0.649,12.33,2.55,5.95,0.43,1.48,0.268,0.433,0.227,0.299,0.424,107.0,103.0,113.0,152.0,119.0,124.0,121.0,106.0,110.0,168.0,99.0,123.0,0.286,0.384,0.075,0.16,3.82,0.27,0.64,-0.19,97.0,92.3,89.2,86.9,0.114,0.182,0.293,0.185,0.333,0.483,0.236,0.327,0.422,0.167,0.333,0.32,0.2,0.267,0.219,93.0,108.0,106.0,0.095,2.06,96.6,,,,,,,,,,,,,,,,,,
65,2024-05-30,745898,Strikeout,strikeout,True,676369,643377,Nelson Velázquez,Griffin Jax,0,36167082-74b8-4057-b63d-e7c9f2c08165,643377.0,griffinjax,Jax,Right,Griffin Jax,MIN,1.91,2.48,42.1,104.0,136.0,116.0,0.649,12.33,2.55,5.95,0.43,1.48,0.268,0.433,0.227,0.299,0.424,107.0,103.0,113.0,152.0,119.0,124.0,121.0,106.0,110.0,168.0,99.0,123.0,0.286,0.384,0.075,0.16,3.82,0.27,0.64,-0.19,97.0,92.3,89.2,86.9,0.114,0.182,0.293,0.185,0.333,0.483,0.236,0.327,0.422,0.167,0.333,0.32,0.2,0.267,0.219,93.0,108.0,106.0,0.095,2.06,96.6,,,,,,,,,,,,,,,,,,
66,2024-05-30,745898,Lineout,field_out,True,679845,643377,Nick Loftin,Griffin Jax,0,731679ea-d177-409e-aad5-df9a237ba855,643377.0,griffinjax,Jax,Right,Griffin Jax,MIN,1.91,2.48,42.1,104.0,136.0,116.0,0.649,12.33,2.55,5.95,0.43,1.48,0.268,0.433,0.227,0.299,0.424,107.0,103.0,113.0,152.0,119.0,124.0,121.0,106.0,110.0,168.0,99.0,123.0,0.286,0.384,0.075,0.16,3.82,0.27,0.64,-0.19,97.0,92.3,89.2,86.9,0.114,0.182,0.293,0.185,0.333,0.483,0.236,0.327,0.422,0.167,0.333,0.32,0.2,0.267,0.219,93.0,108.0,106.0,0.095,2.06,96.6,,,,,,,,,,,,,,,,,,
67,2024-05-30,745898,Flyout,field_out,True,467793,623433,Carlos Santana,Nick Anderson,0,2a3a2923-c049-48b3-9c54-58bb2e3f4d20,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,113.0,102.0,105.0,61.0,96.0,87.0,,,,0.223,,0.455,0.052,-4.03,,0.15,-0.82,94.7,87.9,,81.7,0.4,0.8,0.19,,,,,,,0.204,0.352,0.286,0.245,0.429,0.191,70.0,102.0,95.0,0.269,0.61,94.8,,,,,,,,,,,,,,,,,,
68,2024-05-30,745898,Single,single,False,543877,623433,Christian Vázquez,Nick Anderson,0,bcb74ac2-7d7d-490f-9182-352b46cb07b7,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,113.0,102.0,105.0,61.0,96.0,87.0,,,,0.223,,0.455,0.052,-4.03,,0.15,-0.82,94.7,87.9,,81.7,0.4,0.8,0.19,,,,,,,0.204,0.352,0.286,0.245,0.429,0.191,70.0,102.0,95.0,0.269,0.61,94.8,,,,,,,,,,,,,,,,,,
69,2024-05-30,745898,Pop Out,field_out,True,622534,623433,Manuel Margot,Nick Anderson,0,09a291b9-0c3d-488d-937c-39d4bd5d6b08,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,113.0,102.0,105.0,61.0,96.0,87.0,,,,0.223,,0.455,0.052,-4.03,,0.15,-0.82,94.7,87.9,,81.7,0.4,0.8,0.19,,,,,,,0.204,0.352,0.286,0.245,0.429,0.191,70.0,102.0,95.0,0.269,0.61,94.8,,,,,,,,,,,,,,,,,,
70,2024-05-30,745898,Caught Stealing 2B,caught_stealing_2b,True,621043,623433,Carlos Correa,Nick Anderson,0,88db6c5a-e48b-4004-bc44-e316809db022,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,113.0,102.0,105.0,61.0,96.0,87.0,,,,0.223,,0.455,0.052,-4.03,,0.15,-0.82,94.7,87.9,,81.7,0.4,0.8,0.19,,,,,,,0.204,0.352,0.286,0.245,0.429,0.191,70.0,102.0,95.0,0.269,0.61,94.8,,,,,,,,,,,,,,,,,,
71,2024-05-30,745898,Lineout,field_out,True,669004,661395,MJ Melendez,Jhoan Duran,0,1c3701d7-a629-4f1e-8512-13f4d8329f37,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,2.93,3.05,30.2,96.0,129.0,96.0,0.735,8.51,2.93,5.87,1.17,2.42,0.266,0.443,0.291,0.215,0.453,,,,133.0,101.0,106.0,119.0,96.0,90.0,,,,0.421,,0.275,,0.17,,-0.76,,100.4,,,86.3,0.265,0.324,0.374,,,,,,,0.16,0.4,0.34,,,,,,,,,,,,,,,,,,,0.149,0.319,0.183,140.0,92.0,96.0,0.305,3.23,96.9
72,2024-05-30,745898,Walk,walk,False,624428,661395,Adam Frazier,Jhoan Duran,0,917f85b9-1fd2-49d5-a50a-cbc4fdeffbab,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,2.93,3.05,30.2,96.0,129.0,96.0,0.735,8.51,2.93,5.87,1.17,2.42,0.266,0.443,0.291,0.215,0.453,,,,133.0,101.0,106.0,119.0,96.0,90.0,,,,0.421,,0.275,,0.17,,-0.76,,100.4,,,86.3,0.265,0.324,0.374,,,,,,,0.16,0.4,0.34,,,,,,,,,,,,,,,,,,,0.149,0.319,0.183,140.0,92.0,96.0,0.305,3.23,96.9
73,2024-05-30,745898,Field Error,field_error,False,664728,661395,Kyle Isbel,Jhoan Duran,1,03536b5e-8555-4bb1-85ac-4c4e1d892b25,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,2.93,3.05,30.2,96.0,129.0,96.0,0.735,8.51,2.93,5.87,1.17,2.42,0.266,0.443,0.291,0.215,0.453,,,,133.0,101.0,106.0,119.0,96.0,90.0,,,,0.421,,0.275,,0.17,,-0.76,,100.4,,,86.3,0.265,0.324,0.374,,,,,,,0.16,0.4,0.34,,,,,,,,,,,,,,,,,,,0.149,0.319,0.183,140.0,92.0,96.0,0.305,3.23,96.9
74,2024-05-30,745898,Forceout,force_out,True,672580,661395,Maikel Garcia,Jhoan Duran,1,105c7b4c-1cff-4673-ad4e-1ee54b606e0f,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,2.93,3.05,30.2,96.0,129.0,96.0,0.735,8.51,2.93,5.87,1.17,2.42,0.266,0.443,0.291,0.215,0.453,,,,133.0,101.0,106.0,119.0,96.0,90.0,,,,0.421,,0.275,,0.17,,-0.76,,100.4,,,86.3,0.265,0.324,0.374,,,,,,,0.16,0.4,0.34,,,,,,,,,,,,,,,,,,,0.149,0.319,0.183,140.0,92.0,96.0,0.305,3.23,96.9
75,2024-05-30,745898,Single,single,False,677951,661395,Bobby Witt Jr.,Jhoan Duran,1,7aadc0a7-d67a-43cb-940b-a1050333aaf4,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,2.93,3.05,30.2,96.0,129.0,96.0,0.735,8.51,2.93,5.87,1.17,2.42,0.266,0.443,0.291,0.215,0.453,,,,133.0,101.0,106.0,119.0,96.0,90.0,,,,0.421,,0.275,,0.17,,-0.76,,100.4,,,86.3,0.265,0.324,0.374,,,,,,,0.16,0.4,0.34,,,,,,,,,,,,,,,,,,,0.149,0.319,0.183,140.0,92.0,96.0,0.305,3.23,96.9
76,2024-05-30,745898,Groundout,field_out,True,686469,661395,Vinnie Pasquantino,Jhoan Duran,0,6b43c7a2-c124-474e-8a48-4a21be67931b,661395.0,jhoanduran,"Duran, J",Right,Jhoan Duran,MIN,2.93,3.05,30.2,96.0,129.0,96.0,0.735,8.51,2.93,5.87,1.17,2.42,0.266,0.443,0.291,0.215,0.453,,,,133.0,101.0,106.0,119.0,96.0,90.0,,,,0.421,,0.275,,0.17,,-0.76,,100.4,,,86.3,0.265,0.324,0.374,,,,,,,0.16,0.4,0.34,,,,,,,,,,,,,,,,,,,0.149,0.319,0.183,140.0,92.0,96.0,0.305,3.23,96.9
