,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
12,2024-05-24,745905,Strikeout,strikeout,True,694497,641927,Evan Carter,Bailey Ober,0,e0a3b064-f53d-462b-b7e5-205389bb004f,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
13,2024-05-24,745905,Groundout,field_out,True,608671,641927,Travis Jankowski,Bailey Ober,0,02e1a245-eef4-4d76-8287-150a51059daa,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
14,2024-05-24,745905,Single,single,False,543760,641927,Marcus Semien,Bailey Ober,0,eae47ea7-c0df-4ff6-99e7-421c9c001018,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
15,2024-05-24,745905,Walk,walk,False,608369,641927,Corey Seager,Bailey Ober,1,dc86f8b5-299d-4c55-a3cb-cc9d120eb1f7,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
16,2024-05-24,745905,Hit By Pitch,hit_by_pitch,False,669701,641927,Josh Smith,Bailey Ober,1,022dad7b-1d15-4ae4-b1e2-077bd7648b5f,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
17,2024-05-24,745905,Groundout,field_out,True,666969,641927,Adolis García,Bailey Ober,0,349776f4-e97f-4c18-a5e9-fe180957a23c,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,85.0,107.0,103.0,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,1.95,4.25,1.52,91.9,86.5,83.4,80.5,76.0,0.307,0.606,0.247,0.173,0.337,0.37,0.256,0.43,0.224,0.098,0.196,0.319,,,,,,,,,,,,,,,,,,,,,
18,2024-05-24,745905,Strikeout,strikeout,True,666135,570632,Alex Kirilloff,José Ureña,0,b9261362-f77e-4f76-aef9-8561c4043b58,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
19,2024-05-24,745905,Single,single,False,669304,570632,Jose Miranda,José Ureña,0,09b4cf29-201b-4a27-a4a3-38ef3e5deafe,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
20,2024-05-24,745905,Single,single,False,650489,570632,Willi Castro,José Ureña,1,86d2a8b1-a603-4544-886f-473bd70cdc97,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
21,2024-05-24,745905,Double,double,False,543877,570632,Christian Vázquez,José Ureña,1,fdf64d0c-91c3-41cb-8dd6-7c05355e237b,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,,,,87.0,97.0,93.0,87.0,99.0,98.0,,,,0.067,,0.365,,0.174,-2.63,,-0.1,,-0.43,96.2,,88.7,86.7,,0.429,1.0,0.229,0.238,0.548,0.336,,,,0.226,0.333,0.363,93.0,99.0,97.0,0.394,1.6,95.9,0.234,0.298,0.101,,,,,,,,,,,,
