,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-07-26,745315,Flyout,field_out,True,678662,690986,Ezequiel Tovar,Kyle Harrison,0,4b84d91c-9d30-4405-b5e7-febe4377a681,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.69,4.62,97.2,98.0,90.0,92.0,0.799,8.29,3.04,8.48,0.92,1.05,0.277,0.34,0.149,0.348,0.428,73.0,95.0,89.0,86.0,93.0,93.0,97.0,100.0,92.0,93.0,107.0,97.0,0.605,0.004,0.197,0.195,0.92,-11.76,-0.26,-2.08,92.7,85.3,88.2,81.2,0.227,0.358,0.221,0.295,0.455,0.222,0.277,0.447,0.308,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-26,745315,Strikeout,strikeout,True,686668,690986,Brenton Doyle,Kyle Harrison,0,ca16ce8b-6cfd-4b63-8d47-3e5a907a6eed,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.69,4.62,97.2,98.0,90.0,92.0,0.799,8.29,3.04,8.48,0.92,1.05,0.277,0.34,0.149,0.348,0.428,73.0,95.0,89.0,86.0,93.0,93.0,97.0,100.0,92.0,93.0,107.0,97.0,0.605,0.004,0.197,0.195,0.92,-11.76,-0.26,-2.08,92.7,85.3,88.2,81.2,0.227,0.358,0.221,0.295,0.455,0.222,0.277,0.447,0.308,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-26,745315,Strikeout,strikeout,True,641857,690986,Ryan McMahon,Kyle Harrison,0,6c16d8d4-68e9-41f9-adcc-b2dc86b2b1a4,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.69,4.62,97.2,98.0,90.0,92.0,0.799,8.29,3.04,8.48,0.92,1.05,0.277,0.34,0.149,0.348,0.428,73.0,95.0,89.0,86.0,93.0,93.0,97.0,100.0,92.0,93.0,107.0,97.0,0.605,0.004,0.197,0.195,0.92,-11.76,-0.26,-2.08,92.7,85.3,88.2,81.2,0.227,0.358,0.221,0.295,0.455,0.222,0.277,0.447,0.308,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-26,745315,Home Run,home_run,False,624585,607536,Jorge Soler,Kyle Freeland,0,c36c815b-e20a-4e7a-b528-84f4200cab8d,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.23,5.2,52.0,101.0,82.0,97.0,0.82,7.27,2.6,11.77,1.38,1.08,0.215,0.435,0.13,0.316,0.433,60.0,96.0,83.0,,,,69.0,98.0,91.0,63.0,101.0,101.0,0.225,0.233,,0.094,0.34,-3.14,,-1.53,91.9,87.1,87.0,,0.224,0.347,0.071,0.375,0.438,0.176,,,,0.413,0.804,0.196,86.0,105.0,97.0,127.0,102.0,107.0,0.249,0.199,-3.5,-0.03,91.8,83.7,0.386,0.684,0.072,0.208,0.25,0.458,,,,,,,,,,,,
4,2024-07-26,745315,Groundout,field_out,True,666149,607536,Tyler Fitzgerald,Kyle Freeland,0,ac2fab68-d5eb-4e4b-8e8e-fcb80f1537f9,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.23,5.2,52.0,101.0,82.0,97.0,0.82,7.27,2.6,11.77,1.38,1.08,0.215,0.435,0.13,0.316,0.433,60.0,96.0,83.0,,,,69.0,98.0,91.0,63.0,101.0,101.0,0.225,0.233,,0.094,0.34,-3.14,,-1.53,91.9,87.1,87.0,,0.224,0.347,0.071,0.375,0.438,0.176,,,,0.413,0.804,0.196,86.0,105.0,97.0,127.0,102.0,107.0,0.249,0.199,-3.5,-0.03,91.8,83.7,0.386,0.684,0.072,0.208,0.25,0.458,,,,,,,,,,,,
5,2024-07-26,745315,Strikeout,strikeout,True,671218,607536,Heliot Ramos,Kyle Freeland,0,d49a5c8e-909d-457d-b612-3dae978ba48b,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.23,5.2,52.0,101.0,82.0,97.0,0.82,7.27,2.6,11.77,1.38,1.08,0.215,0.435,0.13,0.316,0.433,60.0,96.0,83.0,,,,69.0,98.0,91.0,63.0,101.0,101.0,0.225,0.233,,0.094,0.34,-3.14,,-1.53,91.9,87.1,87.0,,0.224,0.347,0.071,0.375,0.438,0.176,,,,0.413,0.804,0.196,86.0,105.0,97.0,127.0,102.0,107.0,0.249,0.199,-3.5,-0.03,91.8,83.7,0.386,0.684,0.072,0.208,0.25,0.458,,,,,,,,,,,,
6,2024-07-26,745315,Groundout,field_out,True,656305,607536,Matt Chapman,Kyle Freeland,0,42ff928d-24ca-4899-bae7-845a9f85e84c,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.23,5.2,52.0,101.0,82.0,97.0,0.82,7.27,2.6,11.77,1.38,1.08,0.215,0.435,0.13,0.316,0.433,60.0,96.0,83.0,,,,69.0,98.0,91.0,63.0,101.0,101.0,0.225,0.233,,0.094,0.34,-3.14,,-1.53,91.9,87.1,87.0,,0.224,0.347,0.071,0.375,0.438,0.176,,,,0.413,0.804,0.196,86.0,105.0,97.0,127.0,102.0,107.0,0.249,0.199,-3.5,-0.03,91.8,83.7,0.386,0.684,0.072,0.208,0.25,0.458,,,,,,,,,,,,
7,2024-07-26,745315,Strikeout,strikeout,True,592178,690986,Kris Bryant,Kyle Harrison,0,0c59e4f0-e45f-4f25-ad9f-d7d9f1d2155b,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.69,4.62,97.2,98.0,90.0,92.0,0.799,8.29,3.04,8.48,0.92,1.05,0.277,0.34,0.149,0.348,0.428,73.0,95.0,89.0,86.0,93.0,93.0,97.0,100.0,92.0,93.0,107.0,97.0,0.605,0.004,0.197,0.195,0.92,-11.76,-0.26,-2.08,92.7,85.3,88.2,81.2,0.227,0.358,0.221,0.295,0.455,0.222,0.277,0.447,0.308,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-26,745315,Groundout,field_out,True,663898,690986,Brendan Rodgers,Kyle Harrison,0,ac859a0b-c662-47e2-a5ee-0b6cb9a2091b,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.69,4.62,97.2,98.0,90.0,92.0,0.799,8.29,3.04,8.48,0.92,1.05,0.277,0.34,0.149,0.348,0.428,73.0,95.0,89.0,86.0,93.0,93.0,97.0,100.0,92.0,93.0,107.0,97.0,0.605,0.004,0.197,0.195,0.92,-11.76,-0.26,-2.08,92.7,85.3,88.2,81.2,0.227,0.358,0.221,0.295,0.455,0.222,0.277,0.447,0.308,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-26,745315,Groundout,field_out,True,553869,690986,Elias Díaz,Kyle Harrison,0,dae7bdf1-6891-405e-af8e-55db6608f567,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.69,4.62,97.2,98.0,90.0,92.0,0.799,8.29,3.04,8.48,0.92,1.05,0.277,0.34,0.149,0.348,0.428,73.0,95.0,89.0,86.0,93.0,93.0,97.0,100.0,92.0,93.0,107.0,97.0,0.605,0.004,0.197,0.195,0.92,-11.76,-0.26,-2.08,92.7,85.3,88.2,81.2,0.227,0.358,0.221,0.295,0.455,0.222,0.277,0.447,0.308,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
