,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-25,745854,Single,single,False,669364,680573,Xavier Edwards,Simeon Woods Richardson,0,03e70dc1-4a70-481a-aeb8-6981fd1be24c,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-25,745854,Walk,walk,False,681393,680573,Connor Norby,Simeon Woods Richardson,1,ede94617-78de-478c-84e9-e6abf10f6cb2,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-25,745854,Home Run,home_run,False,669394,680573,Jake Burger,Simeon Woods Richardson,1,2c20406c-e99f-45cb-b6a8-21db383a7ded,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-25,745854,Single,single,False,660821,680573,Jesús Sánchez,Simeon Woods Richardson,0,210b4f31-8806-4a3c-ab7d-4c00fd58e3c8,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-25,745854,Double,double,False,681146,680573,Jonah Bride,Simeon Woods Richardson,1,7796fd72-5e5c-4f58-a22e-39e8f6cc2842,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-25,745854,Strikeout,strikeout,True,665052,680573,Griffin Conine,Simeon Woods Richardson,0,4b652d86-2b9f-446e-942f-b9c85d0fd76c,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-25,745854,Strikeout,strikeout,True,656537,680573,Derek Hill,Simeon Woods Richardson,0,e2f72b0a-85ba-46bd-9131-a61e0d172f94,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-25,745854,Flyout,field_out,True,672640,680573,Otto Lopez,Simeon Woods Richardson,0,fa9ec128-40ca-4757-85f3-61979ebb0be7,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.08,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.217,0.214,0.313,0.239,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-25,745854,Strikeout,strikeout,True,666397,665795,Edouard Julien,Edward Cabrera,0,aefa080e-ba86-4a6f-bb21-723f05bb5b41,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.68,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.352,0.393,96.0,98.0,103.0,106.0,101.0,104.0,97.0,91.0,87.0,114.0,102.0,105.0,0.274,0.085,0.217,0.332,-1.63,1.65,-0.03,0.15,96.3,93.0,89.2,84.8,0.304,0.543,0.164,0.129,0.226,0.313,0.206,0.321,0.338,0.206,0.426,0.394,110.0,94.0,95.0,0.091,0.07,96.7,0.231,0.333,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-25,745854,Strikeout,strikeout,True,621043,665795,Carlos Correa,Edward Cabrera,0,721fd2df-2771-48b2-8304-e92fa91987ad,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.68,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.352,0.393,96.0,98.0,103.0,106.0,101.0,104.0,97.0,91.0,87.0,114.0,102.0,105.0,0.274,0.085,0.217,0.332,-1.63,1.65,-0.03,0.15,96.3,93.0,89.2,84.8,0.304,0.543,0.164,0.129,0.226,0.313,0.206,0.321,0.338,0.206,0.426,0.394,110.0,94.0,95.0,0.091,0.07,96.7,0.231,0.333,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
