,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
0,2024-09-16,747067,Strikeout,strikeout,True,660271,608331,Shohei Ohtani,Max Fried,0,b51ff12d-b787-4c63-b11d-d38687ee7451,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,0.333,0.524,0.296,,,,,,,,,,,,,,,
1,2024-09-16,747067,Lineout,field_out,True,605141,608331,Mookie Betts,Max Fried,0,349f7bc6-40b4-4b0f-be26-92759b0aa77e,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,0.333,0.524,0.296,,,,,,,,,,,,,,,
2,2024-09-16,747067,Strikeout,strikeout,True,606192,608331,Teoscar Hernández,Max Fried,0,c33761e1-7cf8-4202-9d35-8503dd531ca6,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,0.333,0.524,0.296,,,,,,,,,,,,,,,
3,2024-09-16,747067,Walk,walk,False,671739,808967,Michael Harris II,Yoshinobu Yamamoto,0,308bd42f-a2c7-40f9-aa61-d503f18fcdba,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.63,3.4,82.0,105.0,100.0,106.0,0.75,10.43,2.09,7.57,0.66,1.54,0.243,0.399,0.142,0.339,0.435,,,,108.0,104.0,113.0,84.0,103.0,96.0,102.0,110.0,103.0,119.0,109.0,117.0,88.0,98.0,91.0,0.03,0.405,0.052,0.033,0.231,,0.91,1.76,-1.77,2.01,0.99,,95.5,91.4,,94.9,86.5,78.0,0.252,0.417,0.186,0.215,0.385,0.331,0.364,0.545,0.136,,,,0.118,0.118,0.32,,,,0.267,0.333,0.243,121.0,111.0,118.0,0.248,0.09,90.2,0.184,0.287,0.375,,,,,,
4,2024-09-16,747067,Strikeout,strikeout,True,624585,808967,Jorge Soler,Yoshinobu Yamamoto,0,312f99d5-a292-426f-a0ed-1912768bd305,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.63,3.4,82.0,105.0,100.0,106.0,0.75,10.43,2.09,7.57,0.66,1.54,0.243,0.399,0.142,0.339,0.435,,,,108.0,104.0,113.0,84.0,103.0,96.0,102.0,110.0,103.0,119.0,109.0,117.0,88.0,98.0,91.0,0.03,0.405,0.052,0.033,0.231,,0.91,1.76,-1.77,2.01,0.99,,95.5,91.4,,94.9,86.5,78.0,0.252,0.417,0.186,0.215,0.385,0.331,0.364,0.545,0.136,,,,0.118,0.118,0.32,,,,0.267,0.333,0.243,121.0,111.0,118.0,0.248,0.09,90.2,0.184,0.287,0.375,,,,,,
5,2024-09-16,747067,Groundout,field_out,True,542303,808967,Marcell Ozuna,Yoshinobu Yamamoto,1,1d65d83b-2eab-46aa-9506-b6c07be53f77,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.63,3.4,82.0,105.0,100.0,106.0,0.75,10.43,2.09,7.57,0.66,1.54,0.243,0.399,0.142,0.339,0.435,,,,108.0,104.0,113.0,84.0,103.0,96.0,102.0,110.0,103.0,119.0,109.0,117.0,88.0,98.0,91.0,0.03,0.405,0.052,0.033,0.231,,0.91,1.76,-1.77,2.01,0.99,,95.5,91.4,,94.9,86.5,78.0,0.252,0.417,0.186,0.215,0.385,0.331,0.364,0.545,0.136,,,,0.118,0.118,0.32,,,,0.267,0.333,0.243,121.0,111.0,118.0,0.248,0.09,90.2,0.184,0.287,0.375,,,,,,
6,2024-09-16,747067,Walk,walk,False,621566,808967,Matt Olson,Yoshinobu Yamamoto,0,2f159c64-1e29-4a5d-b1cd-2259080064bc,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.63,3.4,82.0,105.0,100.0,106.0,0.75,10.43,2.09,7.57,0.66,1.54,0.243,0.399,0.142,0.339,0.435,,,,108.0,104.0,113.0,84.0,103.0,96.0,102.0,110.0,103.0,119.0,109.0,117.0,88.0,98.0,91.0,0.03,0.405,0.052,0.033,0.231,,0.91,1.76,-1.77,2.01,0.99,,95.5,91.4,,94.9,86.5,78.0,0.252,0.417,0.186,0.215,0.385,0.331,0.364,0.545,0.136,,,,0.118,0.118,0.32,,,,0.267,0.333,0.243,121.0,111.0,118.0,0.248,0.09,90.2,0.184,0.287,0.375,,,,,,
7,2024-09-16,747067,Forceout,force_out,True,657656,808967,Ramón Laureano,Yoshinobu Yamamoto,1,4331ce8d-511e-499a-bbdf-cdbce9a6ec24,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.63,3.4,82.0,105.0,100.0,106.0,0.75,10.43,2.09,7.57,0.66,1.54,0.243,0.399,0.142,0.339,0.435,,,,108.0,104.0,113.0,84.0,103.0,96.0,102.0,110.0,103.0,119.0,109.0,117.0,88.0,98.0,91.0,0.03,0.405,0.052,0.033,0.231,,0.91,1.76,-1.77,2.01,0.99,,95.5,91.4,,94.9,86.5,78.0,0.252,0.417,0.186,0.215,0.385,0.331,0.364,0.545,0.136,,,,0.118,0.118,0.32,,,,0.267,0.333,0.243,121.0,111.0,118.0,0.248,0.09,90.2,0.184,0.287,0.375,,,,,,
8,2024-09-16,747067,Walk,walk,False,518692,608331,Freddie Freeman,Max Fried,0,ba2bf8f8-cbde-4c03-b86a-81596e8c4f7b,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,0.333,0.524,0.296,,,,,,,,,,,,,,,
9,2024-09-16,747067,Grounded Into DP,grounded_into_double_play,True,669257,608331,Will Smith,Max Fried,1,4b602158-f1df-4a6d-94df-8a10592fe64e,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.49,3.76,159.2,98.0,94.0,99.0,0.776,8.51,3.04,7.78,0.73,2.57,0.253,0.434,0.148,0.271,0.411,92.0,101.0,102.0,114.0,103.0,108.0,77.0,93.0,93.0,92.0,99.0,95.0,100.0,96.0,96.0,93.0,95.0,93.0,0.16,0.329,0.058,0.107,0.209,0.137,0.42,-1.47,1.31,0.62,1.32,1.71,93.8,88.5,85.7,93.6,82.2,74.5,0.274,0.376,0.191,0.153,0.288,0.352,0.273,0.309,0.126,0.195,0.268,0.242,0.22,0.293,0.297,0.16,0.16,0.393,0.333,0.524,0.296,,,,,,,,,,,,,,,
