,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-10,744886,Single,single,False,596019,605135,Francisco Lindor,Chris Bassitt,0,96e63c34-de6c-4eb6-8749-b5ce65c80712,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,
1,2024-09-10,744886,Single,single,False,608385,605135,Jesse Winker,Chris Bassitt,1,a83c9dfb-4790-4db9-aa76-031d8a4852ce,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,
2,2024-09-10,744886,Strikeout,strikeout,True,668901,605135,Mark Vientos,Chris Bassitt,0,4cd5cbd6-4738-4561-aebc-4b9d436b1b4c,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,
3,2024-09-10,744886,Forceout,force_out,True,624413,605135,Pete Alonso,Chris Bassitt,1,b9d5dfa5-5660-427a-bcef-b60a391f3782,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,
4,2024-09-10,744886,Single,single,False,607043,605135,Brandon Nimmo,Chris Bassitt,1,0ff75d78-8a83-4d21-a155-0b5b1b4fc76b,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,
5,2024-09-10,744886,Groundout,field_out,True,502110,605135,J.D. Martinez,Chris Bassitt,0,b3f3e8dd-6c2c-4f10-8e8c-10c0008a1b7f,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,
6,2024-09-10,744886,Single,single,False,543807,656849,George Springer,David Peterson,0,48e9e1d8-76c9-4b42-81a7-c0000e774285,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.85,4.76,110.1,98.0,94.0,96.0,0.775,7.26,3.51,8.24,0.65,1.78,0.244,0.366,0.122,0.308,0.416,96.0,89.0,92.0,83.0,103.0,101.0,69.0,103.0,94.0,104.0,97.0,94.0,116.0,99.0,105.0,,,,,,,0.313,0.258,,,0.186,0.075,0.168,0.13,,,1.76,-1.73,0.15,0.15,93.1,,,84.7,91.9,85.1,79.0,0.252,0.367,0.149,,,,0.214,0.357,0.25,,,,0.279,0.43,0.339,,,,0.239,0.283,0.283,0.203,0.319,0.259,,,,,,
7,2024-09-10,744886,Forceout,force_out,True,662139,656849,Daulton Varsho,David Peterson,1,d8ba1e4f-c472-43e7-beef-c4990c20d5d0,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.85,4.76,110.1,98.0,94.0,96.0,0.775,7.26,3.51,8.24,0.65,1.78,0.244,0.366,0.122,0.308,0.416,96.0,89.0,92.0,83.0,103.0,101.0,69.0,103.0,94.0,104.0,97.0,94.0,116.0,99.0,105.0,,,,,,,0.313,0.258,,,0.186,0.075,0.168,0.13,,,1.76,-1.73,0.15,0.15,93.1,,,84.7,91.9,85.1,79.0,0.252,0.367,0.149,,,,0.214,0.357,0.25,,,,0.279,0.43,0.339,,,,0.239,0.283,0.283,0.203,0.319,0.259,,,,,,
8,2024-09-10,744886,Walk,walk,False,665489,656849,Vladimir Guerrero Jr.,David Peterson,1,82330714-5cf3-48a0-8dac-622c485473e3,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.85,4.76,110.1,98.0,94.0,96.0,0.775,7.26,3.51,8.24,0.65,1.78,0.244,0.366,0.122,0.308,0.416,96.0,89.0,92.0,83.0,103.0,101.0,69.0,103.0,94.0,104.0,97.0,94.0,116.0,99.0,105.0,,,,,,,0.313,0.258,,,0.186,0.075,0.168,0.13,,,1.76,-1.73,0.15,0.15,93.1,,,84.7,91.9,85.1,79.0,0.252,0.367,0.149,,,,0.214,0.357,0.25,,,,0.279,0.43,0.339,,,,0.239,0.283,0.283,0.203,0.319,0.259,,,,,,
9,2024-09-10,744886,Grounded Into DP,grounded_into_double_play,True,672386,656849,Alejandro Kirk,David Peterson,1,b4dcc29d-3841-4f4a-b7c7-f0903de399e8,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.85,4.76,110.1,98.0,94.0,96.0,0.775,7.26,3.51,8.24,0.65,1.78,0.244,0.366,0.122,0.308,0.416,96.0,89.0,92.0,83.0,103.0,101.0,69.0,103.0,94.0,104.0,97.0,94.0,116.0,99.0,105.0,,,,,,,0.313,0.258,,,0.186,0.075,0.168,0.13,,,1.76,-1.73,0.15,0.15,93.1,,,84.7,91.9,85.1,79.0,0.252,0.367,0.149,,,,0.214,0.357,0.25,,,,0.279,0.43,0.339,,,,0.239,0.283,0.283,0.203,0.319,0.259,,,,,,
