,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-11,745127,Flyout,field_out,True,663697,458681,Jonathan India,Lance Lynn,0,d592c9af-9959-4860-bac9-14059a9ab675,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.96,4.85,111.1,99.0,83.0,94.0,0.794,8.41,3.4,8.81,1.21,0.88,0.237,0.385,0.16,0.305,0.399,61.0,87.0,81.0,88.0,70.0,71.0,86.0,102.0,97.0,66.0,94.0,85.0,102.0,102.0,109.0,91.0,100.0,93.0,0.164,0.476,0.223,0.013,0.062,0.062,0.94,-1.11,-0.75,-1.61,-2.17,-3.0,92.3,88.2,84.8,91.2,82.0,80.4,0.198,0.381,0.293,0.316,0.429,0.258,0.289,0.487,0.105,0.216,0.351,0.196,0.333,0.333,0.216,0.25,0.25,0.0,,,,,,,,,,,,
1,2024-09-11,745127,Groundout,field_out,True,682829,458681,Elly De La Cruz,Lance Lynn,0,bb9031c0-7d13-4b41-b367-bf4ba59394e2,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.96,4.85,111.1,99.0,83.0,94.0,0.794,8.41,3.4,8.81,1.21,0.88,0.237,0.385,0.16,0.305,0.399,61.0,87.0,81.0,88.0,70.0,71.0,86.0,102.0,97.0,66.0,94.0,85.0,102.0,102.0,109.0,91.0,100.0,93.0,0.164,0.476,0.223,0.013,0.062,0.062,0.94,-1.11,-0.75,-1.61,-2.17,-3.0,92.3,88.2,84.8,91.2,82.0,80.4,0.198,0.381,0.293,0.316,0.429,0.258,0.289,0.487,0.105,0.216,0.351,0.196,0.333,0.333,0.216,0.25,0.25,0.0,,,,,,,,,,,,
2,2024-09-11,745127,Strikeout,strikeout,True,668715,458681,Spencer Steer,Lance Lynn,0,1e7bbbeb-1808-4f8c-9d85-6fbbd1434cca,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.96,4.85,111.1,99.0,83.0,94.0,0.794,8.41,3.4,8.81,1.21,0.88,0.237,0.385,0.16,0.305,0.399,61.0,87.0,81.0,88.0,70.0,71.0,86.0,102.0,97.0,66.0,94.0,85.0,102.0,102.0,109.0,91.0,100.0,93.0,0.164,0.476,0.223,0.013,0.062,0.062,0.94,-1.11,-0.75,-1.61,-2.17,-3.0,92.3,88.2,84.8,91.2,82.0,80.4,0.198,0.381,0.293,0.316,0.429,0.258,0.289,0.487,0.105,0.216,0.351,0.196,0.333,0.333,0.216,0.25,0.25,0.0,,,,,,,,,,,,
3,2024-09-11,745127,Walk,walk,False,691026,682227,Masyn Winn,Brandon Williamson,0,ad573673-8c0a-4491-9f98-265eefc6c289,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,2.08,3.95,13.0,95.0,69.0,86.0,0.816,7.62,2.08,4.85,1.38,0.93,0.265,0.382,0.029,0.441,0.42,76.0,96.0,99.0,75.0,52.0,51.0,57.0,104.0,87.0,,,,136.0,128.0,110.0,68.0,98.0,85.0,,0.231,0.471,0.005,0.072,0.221,0.91,1.89,,-2.43,-4.76,2.77,92.8,90.1,83.9,,82.2,75.8,0.25,0.333,0.167,0.154,0.385,0.156,,,,,,,0.0,0.0,0.353,,,,,,,,,,,,,,,
4,2024-09-11,745127,Lineout,field_out,True,663609,682227,Luken Baker,Brandon Williamson,0,ab4fc0af-889c-46a9-bb72-a235adf103a2,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,2.08,3.95,13.0,95.0,69.0,86.0,0.816,7.62,2.08,4.85,1.38,0.93,0.265,0.382,0.029,0.441,0.42,76.0,96.0,99.0,75.0,52.0,51.0,57.0,104.0,87.0,,,,136.0,128.0,110.0,68.0,98.0,85.0,,0.231,0.471,0.005,0.072,0.221,0.91,1.89,,-2.43,-4.76,2.77,92.8,90.1,83.9,,82.2,75.8,0.25,0.333,0.167,0.154,0.385,0.156,,,,,,,0.0,0.0,0.353,,,,,,,,,,,,,,,
5,2024-09-11,745127,Single,single,False,502671,682227,Paul Goldschmidt,Brandon Williamson,1,6bbea4ec-3a01-4a08-a347-86bc5dc23647,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,2.08,3.95,13.0,95.0,69.0,86.0,0.816,7.62,2.08,4.85,1.38,0.93,0.265,0.382,0.029,0.441,0.42,76.0,96.0,99.0,75.0,52.0,51.0,57.0,104.0,87.0,,,,136.0,128.0,110.0,68.0,98.0,85.0,,0.231,0.471,0.005,0.072,0.221,0.91,1.89,,-2.43,-4.76,2.77,92.8,90.1,83.9,,82.2,75.8,0.25,0.333,0.167,0.154,0.385,0.156,,,,,,,0.0,0.0,0.353,,,,,,,,,,,,,,,
6,2024-09-11,745127,Grounded Into DP,grounded_into_double_play,True,571448,682227,Nolan Arenado,Brandon Williamson,1,ef22980f-97b3-473b-bdf2-a61eab58a43e,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,2.08,3.95,13.0,95.0,69.0,86.0,0.816,7.62,2.08,4.85,1.38,0.93,0.265,0.382,0.029,0.441,0.42,76.0,96.0,99.0,75.0,52.0,51.0,57.0,104.0,87.0,,,,136.0,128.0,110.0,68.0,98.0,85.0,,0.231,0.471,0.005,0.072,0.221,0.91,1.89,,-2.43,-4.76,2.77,92.8,90.1,83.9,,82.2,75.8,0.25,0.333,0.167,0.154,0.385,0.156,,,,,,,0.0,0.0,0.353,,,,,,,,,,,,,,,
7,2024-09-11,745127,Flyout,field_out,True,670770,458681,TJ Friedl,Lance Lynn,0,f50b620e-52c9-4f3f-8084-9326b0e8457f,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.96,4.85,111.1,99.0,83.0,94.0,0.794,8.41,3.4,8.81,1.21,0.88,0.237,0.385,0.16,0.305,0.399,61.0,87.0,81.0,88.0,70.0,71.0,86.0,102.0,97.0,66.0,94.0,85.0,102.0,102.0,109.0,91.0,100.0,93.0,0.164,0.476,0.223,0.013,0.062,0.062,0.94,-1.11,-0.75,-1.61,-2.17,-3.0,92.3,88.2,84.8,91.2,82.0,80.4,0.198,0.381,0.293,0.316,0.429,0.258,0.289,0.487,0.105,0.216,0.351,0.196,0.333,0.333,0.216,0.25,0.25,0.0,,,,,,,,,,,,
8,2024-09-11,745127,Flyout,field_out,True,664034,458681,Ty France,Lance Lynn,0,70a84eb4-c3c5-426b-b282-0db72925c266,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.96,4.85,111.1,99.0,83.0,94.0,0.794,8.41,3.4,8.81,1.21,0.88,0.237,0.385,0.16,0.305,0.399,61.0,87.0,81.0,88.0,70.0,71.0,86.0,102.0,97.0,66.0,94.0,85.0,102.0,102.0,109.0,91.0,100.0,93.0,0.164,0.476,0.223,0.013,0.062,0.062,0.94,-1.11,-0.75,-1.61,-2.17,-3.0,92.3,88.2,84.8,91.2,82.0,80.4,0.198,0.381,0.293,0.316,0.429,0.258,0.289,0.487,0.105,0.216,0.351,0.196,0.333,0.333,0.216,0.25,0.25,0.0,,,,,,,,,,,,
9,2024-09-11,745127,Strikeout,strikeout,True,669289,458681,Santiago Espinal,Lance Lynn,0,e13371f5-ca5b-4512-bc91-289efdc4a006,458681.0,lancelynn,Lynn,Right,Lance Lynn,STL,3.96,4.85,111.1,99.0,83.0,94.0,0.794,8.41,3.4,8.81,1.21,0.88,0.237,0.385,0.16,0.305,0.399,61.0,87.0,81.0,88.0,70.0,71.0,86.0,102.0,97.0,66.0,94.0,85.0,102.0,102.0,109.0,91.0,100.0,93.0,0.164,0.476,0.223,0.013,0.062,0.062,0.94,-1.11,-0.75,-1.61,-2.17,-3.0,92.3,88.2,84.8,91.2,82.0,80.4,0.198,0.381,0.293,0.316,0.429,0.258,0.289,0.487,0.105,0.216,0.351,0.196,0.333,0.333,0.216,0.25,0.25,0.0,,,,,,,,,,,,
