,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-05-07,746559,Single,single,False,808982,641712,Jung Hoo Lee,Dakota Hudson,0,841d8f21-e78a-473f-a216-88cb6eab7956,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
1,2024-05-07,746559,Grounded Into DP,grounded_into_double_play,True,642731,641712,Thairo Estrada,Dakota Hudson,1,4a3fde2b-c5b8-498a-8f6a-bdb62b524a7c,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
2,2024-05-07,746559,Walk,walk,False,664774,641712,LaMonte Wade Jr.,Dakota Hudson,0,5a63d1be-9903-454b-b564-d4fc12d09dcf,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
3,2024-05-07,746559,Strikeout,strikeout,True,624424,641712,Michael Conforto,Dakota Hudson,0,c317d00e-661e-46f5-99a3-0ff32316834d,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
4,2024-05-07,746559,Strikeout,strikeout,True,686668,690986,Brenton Doyle,Kyle Harrison,0,4fcf07f9-8b33-4b47-9905-c4241d6893ee,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,0.61,0.004,0.186,0.2,0.69,,-11.76,-0.51,-2.37,92.7,85.4,,88.2,81.3,,,,0.333,0.667,0.5,0.237,0.377,0.212,,,,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,
5,2024-05-07,746559,Single,single,False,678662,690986,Ezequiel Tovar,Kyle Harrison,0,ed1522db-550c-4796-953c-90877a292b74,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,0.61,0.004,0.186,0.2,0.69,,-11.76,-0.51,-2.37,92.7,85.4,,88.2,81.3,,,,0.333,0.667,0.5,0.237,0.377,0.212,,,,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,
6,2024-05-07,746559,Forceout,force_out,True,641857,690986,Ryan McMahon,Kyle Harrison,1,720fa837-8191-42d0-8cbd-9bc4570a706c,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,0.61,0.004,0.186,0.2,0.69,,-11.76,-0.51,-2.37,92.7,85.4,,88.2,81.3,,,,0.333,0.667,0.5,0.237,0.377,0.212,,,,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,
7,2024-05-07,746559,Groundout,field_out,True,553869,690986,Elias Díaz,Kyle Harrison,0,8eeee085-9e3c-462f-a51a-f669319d0574,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,0.61,0.004,0.186,0.2,0.69,,-11.76,-0.51,-2.37,92.7,85.4,,88.2,81.3,,,,0.333,0.667,0.5,0.237,0.377,0.212,,,,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,
8,2024-05-07,746559,Groundout,field_out,True,527038,641712,Wilmer Flores,Dakota Hudson,0,7847120d-3a07-4dcc-9546-544a8798bad3,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
9,2024-05-07,746559,Double,double,False,573262,641712,Mike Yastrzemski,Dakota Hudson,0,2f24fa37-3c0c-4b1f-a1fd-830678ca9b5e,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
10,2024-05-07,746559,Groundout,field_out,True,656305,641712,Matt Chapman,Dakota Hudson,0,b60faa7d-e132-4ce2-a5d5-fb424a5466b8,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
11,2024-05-07,746559,Walk,walk,False,666165,641712,Blake Sabol,Dakota Hudson,0,d4b0b514-8f31-40e0-b57d-6a9c4d8b3bcb,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
12,2024-05-07,746559,Lineout,field_out,True,605113,641712,Nick Ahmed,Dakota Hudson,0,3a29f3b2-c571-4082-91bc-4f86a0a93866,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.32,0.156,0.255,0.166,0.103,-1.93,-0.53,-0.32,0.89,-4.92,89.9,83.4,90.3,84.1,80.2,0.315,0.465,0.07,0.289,0.361,0.313,0.296,0.5,0.079,0.114,0.205,0.333,0.379,0.69,0.146,,,,,,,,,,,,
13,2024-05-07,746559,Groundout,field_out,True,663898,690986,Brendan Rodgers,Kyle Harrison,0,58687266-5012-4631-81d8-13b0afb66852,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,0.61,0.004,0.186,0.2,0.69,,-11.76,-0.51,-2.37,92.7,85.4,,88.2,81.3,,,,0.333,0.667,0.5,0.237,0.377,0.212,,,,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,
14,2024-05-07,746559,Flyout,field_out,True,656248,690986,Sean Bouchard,Kyle Harrison,0,12f46569-1bfa-48df-85be-5a7c0b1f24b3,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,,,,93.0,107.0,97.0,,0.61,0.004,0.186,0.2,0.69,,-11.76,-0.51,-2.37,92.7,85.4,,88.2,81.3,,,,0.333,0.667,0.5,0.237,0.377,0.212,,,,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,
