,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff
0,2024-09-07,745942,Single,single,False,453568,668964,Charlie Blackmon,Tobias Myers,0,5ff20c1e-4a10-4031-ad4f-4e5ffd2886dc,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,2.93,4.22,120.0,101.0,91.0,97.0,0.807,8.4,2.48,7.95,1.28,0.93,0.249,0.425,0.126,0.323,0.43,106.0,84.0,89.0,71.0,100.0,104.0,86.0,104.0,100.0,71.0,92.0,74.0,91.0,107.0,104.0,95.0,100.0,90.0,0.005,0.399,0.232,0.208,0.042,0.114,0.59,-1.03,11.3,2.08,-4.61,1.14,92.9,89.3,81.1,91.5,85.5,77.7,0.222,0.433,0.181,0.34,0.526,0.135,0.18,0.202,0.265,0.077,0.077,0.447,0.533,0.733,0.167,0.0,0.0,0.0
1,2024-09-07,745942,Flyout,field_out,True,678662,668964,Ezequiel Tovar,Tobias Myers,0,9fbcd770-be49-4ae3-8254-97d0b1a08812,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,2.93,4.22,120.0,101.0,91.0,97.0,0.807,8.4,2.48,7.95,1.28,0.93,0.249,0.425,0.126,0.323,0.43,106.0,84.0,89.0,71.0,100.0,104.0,86.0,104.0,100.0,71.0,92.0,74.0,91.0,107.0,104.0,95.0,100.0,90.0,0.005,0.399,0.232,0.208,0.042,0.114,0.59,-1.03,11.3,2.08,-4.61,1.14,92.9,89.3,81.1,91.5,85.5,77.7,0.222,0.433,0.181,0.34,0.526,0.135,0.18,0.202,0.265,0.077,0.077,0.447,0.533,0.733,0.167,0.0,0.0,0.0
2,2024-09-07,745942,Forceout,force_out,True,686668,668964,Brenton Doyle,Tobias Myers,1,78311370-f2e7-415b-8fd1-6e42ea0c2685,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,2.93,4.22,120.0,101.0,91.0,97.0,0.807,8.4,2.48,7.95,1.28,0.93,0.249,0.425,0.126,0.323,0.43,106.0,84.0,89.0,71.0,100.0,104.0,86.0,104.0,100.0,71.0,92.0,74.0,91.0,107.0,104.0,95.0,100.0,90.0,0.005,0.399,0.232,0.208,0.042,0.114,0.59,-1.03,11.3,2.08,-4.61,1.14,92.9,89.3,81.1,91.5,85.5,77.7,0.222,0.433,0.181,0.34,0.526,0.135,0.18,0.202,0.265,0.077,0.077,0.447,0.533,0.733,0.167,0.0,0.0,0.0
3,2024-09-07,745942,Strikeout,strikeout,True,641857,668964,Ryan McMahon,Tobias Myers,0,b4f20421-c505-47cb-8939-022a448f81fc,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,2.93,4.22,120.0,101.0,91.0,97.0,0.807,8.4,2.48,7.95,1.28,0.93,0.249,0.425,0.126,0.323,0.43,106.0,84.0,89.0,71.0,100.0,104.0,86.0,104.0,100.0,71.0,92.0,74.0,91.0,107.0,104.0,95.0,100.0,90.0,0.005,0.399,0.232,0.208,0.042,0.114,0.59,-1.03,11.3,2.08,-4.61,1.14,92.9,89.3,81.1,91.5,85.5,77.7,0.222,0.433,0.181,0.34,0.526,0.135,0.18,0.202,0.265,0.077,0.077,0.447,0.533,0.733,0.167,0.0,0.0,0.0
4,2024-09-07,745942,Groundout,field_out,True,694192,621389,Jackson Chourio,Ty Blach,0,20c2e2b6-c02f-4d13-ad2b-528212765717,621389.0,tyblach,Blach,Left,Ty Blach,COL,6.94,7.35,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.1,0.363,0.463,71.0,99.0,87.0,39.0,91.0,88.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,77.0,107.0,88.0,0.162,0.345,0.137,0.001,0.109,0.245,-1.63,-0.49,-5.11,-3.47,-1.06,-2.03,89.1,82.9,80.0,89.3,85.0,79.2,0.371,0.571,0.072,0.275,0.51,0.209,,,,0.342,0.507,0.208,0.2,0.36,0.176,0.426,0.936,0.124
5,2024-09-07,745942,Groundout,field_out,True,661388,621389,William Contreras,Ty Blach,0,5658ffe3-a795-42fb-9a79-4a5ba6275f85,621389.0,tyblach,Blach,Left,Ty Blach,COL,6.94,7.35,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.1,0.363,0.463,71.0,99.0,87.0,39.0,91.0,88.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,77.0,107.0,88.0,0.162,0.345,0.137,0.001,0.109,0.245,-1.63,-0.49,-5.11,-3.47,-1.06,-2.03,89.1,82.9,80.0,89.3,85.0,79.2,0.371,0.571,0.072,0.275,0.51,0.209,,,,0.342,0.507,0.208,0.2,0.36,0.176,0.426,0.936,0.124
6,2024-09-07,745942,Home Run,home_run,False,642715,621389,Willy Adames,Ty Blach,0,9e84135b-eb76-4c20-b1c2-c9c6150a6913,621389.0,tyblach,Blach,Left,Ty Blach,COL,6.94,7.35,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.1,0.363,0.463,71.0,99.0,87.0,39.0,91.0,88.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,77.0,107.0,88.0,0.162,0.345,0.137,0.001,0.109,0.245,-1.63,-0.49,-5.11,-3.47,-1.06,-2.03,89.1,82.9,80.0,89.3,85.0,79.2,0.371,0.571,0.072,0.275,0.51,0.209,,,,0.342,0.507,0.208,0.2,0.36,0.176,0.426,0.936,0.124
7,2024-09-07,745942,Home Run,home_run,False,596142,621389,Gary Sánchez,Ty Blach,0,e1c2f54d-eb8e-4255-ae77-5fd4f010d241,621389.0,tyblach,Blach,Left,Ty Blach,COL,6.94,7.35,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.1,0.363,0.463,71.0,99.0,87.0,39.0,91.0,88.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,77.0,107.0,88.0,0.162,0.345,0.137,0.001,0.109,0.245,-1.63,-0.49,-5.11,-3.47,-1.06,-2.03,89.1,82.9,80.0,89.3,85.0,79.2,0.371,0.571,0.072,0.275,0.51,0.209,,,,0.342,0.507,0.208,0.2,0.36,0.176,0.426,0.936,0.124
8,2024-09-07,745942,Flyout,field_out,True,656555,621389,Rhys Hoskins,Ty Blach,0,6b4bf2cc-b18e-4f5e-a990-906ba68cd4bd,621389.0,tyblach,Blach,Left,Ty Blach,COL,6.94,7.35,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.1,0.363,0.463,71.0,99.0,87.0,39.0,91.0,88.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,77.0,107.0,88.0,0.162,0.345,0.137,0.001,0.109,0.245,-1.63,-0.49,-5.11,-3.47,-1.06,-2.03,89.1,82.9,80.0,89.3,85.0,79.2,0.371,0.571,0.072,0.275,0.51,0.209,,,,0.342,0.507,0.208,0.2,0.36,0.176,0.426,0.936,0.124
9,2024-09-07,745942,Walk,walk,False,669911,668964,Michael Toglia,Tobias Myers,0,639fa7b3-467f-401c-b178-747debdd3e69,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,2.93,4.22,120.0,101.0,91.0,97.0,0.807,8.4,2.48,7.95,1.28,0.93,0.249,0.425,0.126,0.323,0.43,106.0,84.0,89.0,71.0,100.0,104.0,86.0,104.0,100.0,71.0,92.0,74.0,91.0,107.0,104.0,95.0,100.0,90.0,0.005,0.399,0.232,0.208,0.042,0.114,0.59,-1.03,11.3,2.08,-4.61,1.14,92.9,89.3,81.1,91.5,85.5,77.7,0.222,0.433,0.181,0.34,0.526,0.135,0.18,0.202,0.265,0.077,0.077,0.447,0.533,0.733,0.167,0.0,0.0,0.0
