,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,SL%,wFC/C,wFS/C,wSI/C,wSL/C,vFC,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CH%,wFA/C,wCH/C,vFA,vCH,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-06-29,746940,Groundout,field_out,True,650333,656557,Luis Arraez,Tanner Houck,0,724860d9-e114-4680-af06-031c4de1d8bf,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-29,746940,Strikeout,strikeout,True,595777,656557,Jurickson Profar,Tanner Houck,0,6d9c5519-ab74-4166-95ce-ea1683856eab,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-29,746940,Flyout,field_out,True,630105,656557,Jake Cronenworth,Tanner Houck,0,b5eba02c-af37-4c2d-9f6c-eb52d3140fe5,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-29,746940,Pop Out,field_out,True,680776,650633,Jarren Duran,Michael King,0,e1b808ef-9731-4de9-b632-80efca6cad5c,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,87.0,105.0,98.0,114.0,98.0,102.0,,,,,,,0.257,,,0.243,,,1.03,-0.06,,,92.8,82.8,0.381,0.714,0.237,0.2,0.42,0.188,,,,,,,89.0,103.0,98.0,83.0,105.0,102.0,0.254,0.245,-1.2,1.28,93.5,86.6,0.198,0.267,0.355,0.269,0.452,0.201,,,,,,
4,2024-06-29,746940,Strikeout,strikeout,True,677800,650633,Wilyer Abreu,Michael King,0,1b2e0550-247c-46c1-95cb-4721eeff1d85,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,87.0,105.0,98.0,114.0,98.0,102.0,,,,,,,0.257,,,0.243,,,1.03,-0.06,,,92.8,82.8,0.381,0.714,0.237,0.2,0.42,0.188,,,,,,,89.0,103.0,98.0,83.0,105.0,102.0,0.254,0.245,-1.2,1.28,93.5,86.6,0.198,0.267,0.355,0.269,0.452,0.201,,,,,,
5,2024-06-29,746940,Strikeout,strikeout,True,641933,650633,Tyler O'Neill,Michael King,0,5d1cca44-cf85-4356-b22b-b92c34ed1fe1,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,87.0,105.0,98.0,114.0,98.0,102.0,,,,,,,0.257,,,0.243,,,1.03,-0.06,,,92.8,82.8,0.381,0.714,0.237,0.2,0.42,0.188,,,,,,,89.0,103.0,98.0,83.0,105.0,102.0,0.254,0.245,-1.2,1.28,93.5,86.6,0.198,0.267,0.355,0.269,0.452,0.201,,,,,,
6,2024-06-29,746940,Groundout,field_out,True,592518,656557,Manny Machado,Tanner Houck,0,94008a6b-dbfb-44ab-bef5-f4c285a7de46,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-06-29,746940,Single,single,False,456781,656557,Donovan Solano,Tanner Houck,0,bf71de0f-eccd-46d8-b905-5fa8be586d5c,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-06-29,746940,Single,single,False,701538,656557,Jackson Merrill,Tanner Houck,1,4e4b548e-45ce-4ccb-becd-e8d4da251095,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-29,746940,Single,single,False,673490,656557,Ha-Seong Kim,Tanner Houck,1,d2608862-bf4c-4a7f-9905-04e1ca3513ff,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,
