,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,vSC (sc),Stf+ CU,Loc+ CU,Pit+ CU,CU%,SC%,wCU/C,wSC/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-07,745455,Flyout,field_out,True,682928,682847,CJ Abrams,Luis L. Ortiz,0,5b522f29-d34e-4727-b2bd-3ef7fed667b3,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.26,4.34,118.2,100.0,104.0,99.0,0.815,6.83,2.81,7.21,0.99,0.89,0.246,0.426,0.166,0.297,0.441,66.0,87.0,88.0,96.0,103.0,96.0,107.0,96.0,95.0,120.0,101.0,107.0,90.0,100.0,94.0,0.251,0.264,0.197,0.277,0.011,1.01,0.69,1.95,-0.89,0.21,95.9,91.0,90.6,94.9,85.8,0.183,0.325,0.225,0.218,0.435,0.301,0.228,0.316,0.14,0.275,0.435,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-07,745455,Single,single,False,695578,682847,James Wood,Luis L. Ortiz,0,6fd8dcbe-5719-4ba5-9ba6-d6e78ab52315,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.26,4.34,118.2,100.0,104.0,99.0,0.815,6.83,2.81,7.21,0.99,0.89,0.246,0.426,0.166,0.297,0.441,66.0,87.0,88.0,96.0,103.0,96.0,107.0,96.0,95.0,120.0,101.0,107.0,90.0,100.0,94.0,0.251,0.264,0.197,0.277,0.011,1.01,0.69,1.95,-0.89,0.21,95.9,91.0,90.6,94.9,85.8,0.183,0.325,0.225,0.218,0.435,0.301,0.228,0.316,0.14,0.275,0.435,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-07,745455,Hit By Pitch,hit_by_pitch,False,665953,682847,Andrés Chaparro,Luis L. Ortiz,1,8d082787-da44-4ecd-8c58-fc641549ac9b,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.26,4.34,118.2,100.0,104.0,99.0,0.815,6.83,2.81,7.21,0.99,0.89,0.246,0.426,0.166,0.297,0.441,66.0,87.0,88.0,96.0,103.0,96.0,107.0,96.0,95.0,120.0,101.0,107.0,90.0,100.0,94.0,0.251,0.264,0.197,0.277,0.011,1.01,0.69,1.95,-0.89,0.21,95.9,91.0,90.6,94.9,85.8,0.183,0.325,0.225,0.218,0.435,0.301,0.228,0.316,0.14,0.275,0.435,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-07,745455,Grounded Into DP,grounded_into_double_play,True,671277,682847,Luis García Jr.,Luis L. Ortiz,1,fba97a20-5341-4790-9a89-071342f23c23,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.26,4.34,118.2,100.0,104.0,99.0,0.815,6.83,2.81,7.21,0.99,0.89,0.246,0.426,0.166,0.297,0.441,66.0,87.0,88.0,96.0,103.0,96.0,107.0,96.0,95.0,120.0,101.0,107.0,90.0,100.0,94.0,0.251,0.264,0.197,0.277,0.011,1.01,0.69,1.95,-0.89,0.21,95.9,91.0,90.6,94.9,85.8,0.183,0.325,0.225,0.218,0.435,0.301,0.228,0.316,0.14,0.275,0.435,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-07,745455,Flyout,field_out,True,643396,687792,Isiah Kiner-Falefa,DJ Herz,0,9cf9bff4-106b-4b42-bf8a-fcdd5a9f7577,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,,,,108.0,94.0,99.0,,,,,0.544,,0.178,0.244,0.72,,,-1.56,0.79,93.6,,83.6,,86.2,0.231,0.343,0.314,0.237,0.475,0.264,,,,,,,91.0,66.0,79.0,0.034,0.61,81.1,0.185,0.333,0.258,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,
5,2024-09-07,745455,Lineout,field_out,True,668804,687792,Bryan Reynolds,DJ Herz,0,e2381bbb-91ea-41dc-8c2e-9406443c6893,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,,,,108.0,94.0,99.0,,,,,0.544,,0.178,0.244,0.72,,,-1.56,0.79,93.6,,83.6,,86.2,0.231,0.343,0.314,0.237,0.475,0.264,,,,,,,91.0,66.0,79.0,0.034,0.61,81.1,0.185,0.333,0.258,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,
6,2024-09-07,745455,Walk,walk,False,663698,687792,Joey Bart,DJ Herz,0,002ab111-8fcf-4167-bca4-9781991abc95,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,,,,108.0,94.0,99.0,,,,,0.544,,0.178,0.244,0.72,,,-1.56,0.79,93.6,,83.6,,86.2,0.231,0.343,0.314,0.237,0.475,0.264,,,,,,,91.0,66.0,79.0,0.034,0.61,81.1,0.185,0.333,0.258,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,
7,2024-09-07,745455,Forceout,force_out,True,457705,687792,Andrew McCutchen,DJ Herz,1,38ff57af-2022-48fc-be95-73c76a5daf1e,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.82,3.29,75.1,97.0,97.0,97.0,0.73,11.11,3.46,7.53,1.19,0.87,0.255,0.449,0.138,0.347,0.43,108.0,99.0,99.0,92.0,99.0,97.0,,,,108.0,94.0,99.0,,,,,0.544,,0.178,0.244,0.72,,,-1.56,0.79,93.6,,83.6,,86.2,0.231,0.343,0.314,0.237,0.475,0.264,,,,,,,91.0,66.0,79.0,0.034,0.61,81.1,0.185,0.333,0.258,0.25,0.25,0.615,,,,,,,,,,,,,,,,,,
8,2024-09-07,745455,Strikeout,strikeout,True,660688,682847,Keibert Ruiz,Luis L. Ortiz,0,66f6f0d8-5603-48aa-8978-42ccc92af210,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.26,4.34,118.2,100.0,104.0,99.0,0.815,6.83,2.81,7.21,0.99,0.89,0.246,0.426,0.166,0.297,0.441,66.0,87.0,88.0,96.0,103.0,96.0,107.0,96.0,95.0,120.0,101.0,107.0,90.0,100.0,94.0,0.251,0.264,0.197,0.277,0.011,1.01,0.69,1.95,-0.89,0.21,95.9,91.0,90.6,94.9,85.8,0.183,0.325,0.225,0.218,0.435,0.301,0.228,0.316,0.14,0.275,0.435,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-07,745455,Flyout,field_out,True,677588,682847,José Tena,Luis L. Ortiz,0,10a0e78c-d9ad-4ab4-a630-e2dc6da2a448,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.26,4.34,118.2,100.0,104.0,99.0,0.815,6.83,2.81,7.21,0.99,0.89,0.246,0.426,0.166,0.297,0.441,66.0,87.0,88.0,96.0,103.0,96.0,107.0,96.0,95.0,120.0,101.0,107.0,90.0,100.0,94.0,0.251,0.264,0.197,0.277,0.011,1.01,0.69,1.95,-0.89,0.21,95.9,91.0,90.6,94.9,85.8,0.183,0.325,0.225,0.218,0.435,0.301,0.228,0.316,0.14,0.275,0.435,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
