,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff,FC%,wFC/C,vFC
0,2024-05-29,746467,Strikeout,strikeout,True,457705,669373,Andrew McCutchen,Tarik Skubal,0,5cbb090b-9867-43f6-ad1c-651e60b7ddb1,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,
1,2024-05-29,746467,Strikeout,strikeout,True,668804,669373,Bryan Reynolds,Tarik Skubal,0,47590a53-2d41-40a8-b868-e153f426f132,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,
2,2024-05-29,746467,Single,single,False,656582,669373,Connor Joe,Tarik Skubal,0,304eda9d-6488-4283-8ccf-6718dcd549af,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,
3,2024-05-29,746467,Strikeout,strikeout,True,658668,669373,Edward Olivares,Tarik Skubal,0,227f006a-776a-48a2-8197-0562713b825c,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,
4,2024-05-29,746467,Triple,triple,False,672761,683003,Wenceel Pérez,Jared Jones,0,e75aefc0-3e99-4458-9e68-6f7856d10b1b,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,132.0,102.0,109.0,,,,126.0,104.0,111.0,,,,,0.498,0.361,,0.068,0.34,,1.59,,-3.19,97.3,89.7,,88.6,,0.303,0.576,0.241,0.214,0.403,0.273,,,,0.194,0.313,0.398,0.364,0.818,0.28,99.0,96.0,99.0,0.073,-1.54,80.3,,,,,,
5,2024-05-29,746467,Single,single,False,663837,683003,Matt Vierling,Jared Jones,1,de5c7243-18af-4917-b12e-7a073e485b38,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,132.0,102.0,109.0,,,,126.0,104.0,111.0,,,,,0.498,0.361,,0.068,0.34,,1.59,,-3.19,97.3,89.7,,88.6,,0.303,0.576,0.241,0.214,0.403,0.273,,,,0.194,0.313,0.398,0.364,0.818,0.28,99.0,96.0,99.0,0.073,-1.54,80.3,,,,,,
6,2024-05-29,746467,Single,single,False,682985,683003,Riley Greene,Jared Jones,1,ecbb4f53-d4eb-4fe1-899a-77f168225552,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,132.0,102.0,109.0,,,,126.0,104.0,111.0,,,,,0.498,0.361,,0.068,0.34,,1.59,,-3.19,97.3,89.7,,88.6,,0.303,0.576,0.241,0.214,0.403,0.273,,,,0.194,0.313,0.398,0.364,0.818,0.28,99.0,96.0,99.0,0.073,-1.54,80.3,,,,,,
7,2024-05-29,746467,Sac Fly,sac_fly,True,592192,683003,Mark Canha,Jared Jones,1,7363507d-56b9-4829-98dd-50537f364be9,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,132.0,102.0,109.0,,,,126.0,104.0,111.0,,,,,0.498,0.361,,0.068,0.34,,1.59,,-3.19,97.3,89.7,,88.6,,0.303,0.576,0.241,0.214,0.403,0.273,,,,0.194,0.313,0.398,0.364,0.818,0.28,99.0,96.0,99.0,0.073,-1.54,80.3,,,,,,
8,2024-05-29,746467,Field Error,field_error,False,570482,683003,Gio Urshela,Jared Jones,1,c6dd6d4b-4bf1-44a0-85a6-c197e913098b,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,132.0,102.0,109.0,,,,126.0,104.0,111.0,,,,,0.498,0.361,,0.068,0.34,,1.59,,-3.19,97.3,89.7,,88.6,,0.303,0.576,0.241,0.214,0.403,0.273,,,,0.194,0.313,0.398,0.364,0.818,0.28,99.0,96.0,99.0,0.073,-1.54,80.3,,,,,,
9,2024-05-29,746467,Forceout,force_out,True,690993,683003,Colt Keith,Jared Jones,1,106346b0-a67b-498d-892a-86e28f9ea854,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.56,3.69,91.0,103.0,127.0,109.0,0.711,9.69,2.67,7.32,1.19,0.95,0.223,0.384,0.165,0.343,0.459,123.0,102.0,110.0,132.0,102.0,109.0,,,,126.0,104.0,111.0,,,,,0.498,0.361,,0.068,0.34,,1.59,,-3.19,97.3,89.7,,88.6,,0.303,0.576,0.241,0.214,0.403,0.273,,,,0.194,0.313,0.398,0.364,0.818,0.28,99.0,96.0,99.0,0.073,-1.54,80.3,,,,,,
