,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff
0,2024-06-03,744854,Walk,walk,False,596019,669022,Francisco Lindor,MacKenzie Gore,0,b1f1f32d-2913-49f3-9976-740f439587e2,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-03,744854,Flyout,field_out,True,624413,669022,Pete Alonso,MacKenzie Gore,0,634c24c3-72d0-4b1d-8ede-42a6d241abb8,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-03,744854,Groundout,field_out,True,607043,669022,Brandon Nimmo,MacKenzie Gore,1,cf96f038-27db-449f-8acf-58ad412eb06f,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-03,744854,Lineout,field_out,True,502110,669022,J.D. Martinez,MacKenzie Gore,0,a07da8bb-dd60-4968-9575-32c996fb4ebd,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-03,744854,Pop Out,field_out,True,657041,656731,Lane Thomas,Tylor Megill,0,6e389838-9eb3-4d87-aef0-f3444c86700c,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,0.512,0.136,0.093,0.028,-1.06,-1.75,1.81,-4.37,95.6,87.2,85.1,77.0,0.262,0.446,0.226,0.091,0.182,0.414,0.25,1.0,0.143,0.5,0.5,0.111,98.0,94.0,92.0,92.0,89.0,98.0,0.151,0.079,1.03,2.75,90.4,84.3,0.3,0.433,0.238,0.059,0.059,0.5,,,,,,,,,
5,2024-06-03,744854,Field Error,field_error,False,592696,656731,Eddie Rosario,Tylor Megill,0,4225d5eb-359c-4077-a20c-34caaa679e56,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,0.512,0.136,0.093,0.028,-1.06,-1.75,1.81,-4.37,95.6,87.2,85.1,77.0,0.262,0.446,0.226,0.091,0.182,0.414,0.25,1.0,0.143,0.5,0.5,0.111,98.0,94.0,92.0,92.0,89.0,98.0,0.151,0.079,1.03,2.75,90.4,84.3,0.3,0.433,0.238,0.059,0.059,0.5,,,,,,,,,
6,2024-06-03,744854,Strikeout,strikeout,True,671277,656731,Luis García Jr.,Tylor Megill,0,8f36d9e2-6946-4c3e-85e9-57b10bc062a8,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,0.512,0.136,0.093,0.028,-1.06,-1.75,1.81,-4.37,95.6,87.2,85.1,77.0,0.262,0.446,0.226,0.091,0.182,0.414,0.25,1.0,0.143,0.5,0.5,0.111,98.0,94.0,92.0,92.0,89.0,98.0,0.151,0.079,1.03,2.75,90.4,84.3,0.3,0.433,0.238,0.059,0.059,0.5,,,,,,,,,
7,2024-06-03,744854,Strikeout,strikeout,True,660688,656731,Keibert Ruiz,Tylor Megill,0,6795a000-cc16-4003-b05c-fd62a4b6d26e,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,0.512,0.136,0.093,0.028,-1.06,-1.75,1.81,-4.37,95.6,87.2,85.1,77.0,0.262,0.446,0.226,0.091,0.182,0.414,0.25,1.0,0.143,0.5,0.5,0.111,98.0,94.0,92.0,92.0,89.0,98.0,0.151,0.079,1.03,2.75,90.4,84.3,0.3,0.433,0.238,0.059,0.059,0.5,,,,,,,,,
8,2024-06-03,744854,Single,single,False,516782,669022,Starling Marte,MacKenzie Gore,0,9e444be9-0e18-4de4-8f0f-a97e04230f78,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-03,744854,Walk,walk,False,668901,669022,Mark Vientos,MacKenzie Gore,1,8cf24f04-3acb-470e-bad8-c0fb42a94abb,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,107.0,104.0,105.0,130.0,99.0,105.0,93.0,87.0,91.0,0.549,0.161,0.198,0.092,0.21,-0.7,0.66,-1.82,96.4,85.9,91.0,83.3,0.284,0.408,0.239,0.217,0.265,0.356,0.429,0.714,0.25,0.321,0.607,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,
