,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
0,2024-09-17,745935,Strikeout,strikeout,True,656941,593423,Kyle Schwarber,Frankie Montas,0,ffe19904-c6bb-4de9-bd4b-605a98b26b47,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
1,2024-09-17,745935,Groundout,field_out,True,607208,593423,Trea Turner,Frankie Montas,0,8dac618d-6455-4ed1-a63d-d86abf420ee5,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
2,2024-09-17,745935,Strikeout,strikeout,True,547180,593423,Bryce Harper,Frankie Montas,0,c5ab5e8a-b4d9-47a6-9b55-1bd618351b02,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
3,2024-09-17,745935,Groundout,field_out,True,668930,554430,Brice Turang,Zack Wheeler,0,2a3fb38f-b26e-43e4-9930-cb7f9aaa7735,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.56,2.84,193.2,104.0,106.0,108.0,0.75,9.9,2.32,6.32,0.88,1.09,0.245,0.347,0.213,0.29,0.42,101.0,106.0,109.0,112.0,103.0,108.0,128.0,106.0,115.0,93.0,98.0,95.0,94.0,108.0,108.0,0.192,0.414,0.097,0.071,0.125,0.83,0.16,0.97,3.14,0.93,95.3,91.1,86.1,94.6,84.9,0.215,0.409,0.294,0.179,0.234,0.14,0.149,0.213,0.423,0.238,0.381,0.18,,,,111.0,102.0,108.0,0.101,-0.86,81.8,0.149,0.277,0.328,0.211,0.408,0.377,,,,,,,,,
4,2024-09-17,745935,Strikeout,strikeout,True,694192,554430,Jackson Chourio,Zack Wheeler,0,9c8afbc1-b297-4a12-9dce-fa6d3f9a675e,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.56,2.84,193.2,104.0,106.0,108.0,0.75,9.9,2.32,6.32,0.88,1.09,0.245,0.347,0.213,0.29,0.42,101.0,106.0,109.0,112.0,103.0,108.0,128.0,106.0,115.0,93.0,98.0,95.0,94.0,108.0,108.0,0.192,0.414,0.097,0.071,0.125,0.83,0.16,0.97,3.14,0.93,95.3,91.1,86.1,94.6,84.9,0.215,0.409,0.294,0.179,0.234,0.14,0.149,0.213,0.423,0.238,0.381,0.18,,,,111.0,102.0,108.0,0.101,-0.86,81.8,0.149,0.277,0.328,0.211,0.408,0.377,,,,,,,,,
5,2024-09-17,745935,Groundout,field_out,True,661388,554430,William Contreras,Zack Wheeler,0,467559a8-8b70-455c-b093-7c51e8216ec2,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.56,2.84,193.2,104.0,106.0,108.0,0.75,9.9,2.32,6.32,0.88,1.09,0.245,0.347,0.213,0.29,0.42,101.0,106.0,109.0,112.0,103.0,108.0,128.0,106.0,115.0,93.0,98.0,95.0,94.0,108.0,108.0,0.192,0.414,0.097,0.071,0.125,0.83,0.16,0.97,3.14,0.93,95.3,91.1,86.1,94.6,84.9,0.215,0.409,0.294,0.179,0.234,0.14,0.149,0.213,0.423,0.238,0.381,0.18,,,,111.0,102.0,108.0,0.101,-0.86,81.8,0.149,0.277,0.328,0.211,0.408,0.377,,,,,,,,,
6,2024-09-17,745935,Home Run,home_run,False,592206,593423,Nick Castellanos,Frankie Montas,0,68a20a2e-e1ac-4c9c-b726-dfefdaec9fc3,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
7,2024-09-17,745935,Lineout,field_out,True,681082,593423,Bryson Stott,Frankie Montas,0,82d0e463-0b3e-4813-ad5a-b3cdd5a8f189,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
8,2024-09-17,745935,Strikeout,strikeout,True,592663,593423,J.T. Realmuto,Frankie Montas,0,e9ac59bc-88ea-4746-a04f-0d6d415be0d0,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
9,2024-09-17,745935,Single,single,False,669016,593423,Brandon Marsh,Frankie Montas,0,d04f8b04-5edd-45a2-928e-392cf4b66d34,593423.0,frankiemontas,Montas,Right,Frankie Montas,- - -,4.85,4.62,146.2,101.0,98.0,100.0,0.775,8.71,3.87,8.47,1.41,1.11,0.237,0.377,0.15,0.304,0.417,83.0,105.0,99.0,82.0,100.0,97.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,98.0,105.0,0.189,0.333,0.186,0.185,0.107,0.03,-1.43,-0.23,1.04,-2.0,95.6,90.4,86.0,94.8,85.3,0.208,0.37,0.231,0.25,0.411,0.118,0.222,0.303,0.427,0.333,0.598,0.224,0.286,0.592,0.325,,,,,,,,,,,,,,,,,,,,,
