,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,KC%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-06-11,745170,Groundout,field_out,True,457705,571945,Andrew McCutchen,Miles Mikolas,0,c41a6b3f-3aa9-4fed-95cd-ce6d43d3d505,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,
1,2024-06-11,745170,Flyout,field_out,True,668804,571945,Bryan Reynolds,Miles Mikolas,0,94f1af1a-6e0f-4c32-b30c-3d88ca4a23fd,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,
2,2024-06-11,745170,Pop Out,field_out,True,656582,571945,Connor Joe,Miles Mikolas,0,e5f376f2-1403-422c-b79c-2bf8936dad10,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,
3,2024-06-11,745170,Strikeout,strikeout,True,691026,694973,Masyn Winn,Paul Skenes,0,682962c8-449f-4179-92f3-a4ff9ae0fdac,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,1.9,2.62,66.1,105.0,110.0,108.0,0.74,12.08,1.76,6.51,0.95,1.55,0.167,0.513,0.213,0.267,0.456,88.0,99.0,99.0,112.0,98.0,103.0,109.0,109.0,109.0,,,,136.0,103.0,118.0,0.313,0.379,0.164,0.109,,0.035,0.0,4.1,0.33,0.6,,-2.49,99.1,87.6,94.1,85.1,82.4,,0.157,0.193,0.302,0.135,0.378,0.263,0.239,0.402,0.303,0.316,0.316,0.25,0.286,0.429,0.222,,,,,,,,,,,,,,,,,,
4,2024-06-11,745170,Strikeout,strikeout,True,676475,694973,Alec Burleson,Paul Skenes,0,4ca093d8-0fe8-4aab-b22b-68eb91797fda,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,1.9,2.62,66.1,105.0,110.0,108.0,0.74,12.08,1.76,6.51,0.95,1.55,0.167,0.513,0.213,0.267,0.456,88.0,99.0,99.0,112.0,98.0,103.0,109.0,109.0,109.0,,,,136.0,103.0,118.0,0.313,0.379,0.164,0.109,,0.035,0.0,4.1,0.33,0.6,,-2.49,99.1,87.6,94.1,85.1,82.4,,0.157,0.193,0.302,0.135,0.378,0.263,0.239,0.402,0.303,0.316,0.316,0.25,0.286,0.429,0.222,,,,,,,,,,,,,,,,,,
5,2024-06-11,745170,Lineout,field_out,True,502671,694973,Paul Goldschmidt,Paul Skenes,0,eee69ad3-a747-4eb8-9988-f25e1bdc49d7,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,1.9,2.62,66.1,105.0,110.0,108.0,0.74,12.08,1.76,6.51,0.95,1.55,0.167,0.513,0.213,0.267,0.456,88.0,99.0,99.0,112.0,98.0,103.0,109.0,109.0,109.0,,,,136.0,103.0,118.0,0.313,0.379,0.164,0.109,,0.035,0.0,4.1,0.33,0.6,,-2.49,99.1,87.6,94.1,85.1,82.4,,0.157,0.193,0.302,0.135,0.378,0.263,0.239,0.402,0.303,0.316,0.316,0.25,0.286,0.429,0.222,,,,,,,,,,,,,,,,,,
6,2024-06-11,745170,Groundout,field_out,True,665833,571945,Oneil Cruz,Miles Mikolas,0,4f52d9e1-9761-4c1c-b32e-473de0ea15d6,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,
7,2024-06-11,745170,Lineout,field_out,True,663647,571945,Ke'Bryan Hayes,Miles Mikolas,0,1f50f7d3-bbb0-49e7-b03f-68a71f2d8381,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,
8,2024-06-11,745170,Strikeout,strikeout,True,693304,571945,Nick Gonzales,Miles Mikolas,0,b1666a31-6266-443d-a0dd-c0e9cb79f62a,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.13,4.33,112.1,109.0,87.0,102.0,0.857,6.17,1.44,9.53,1.36,1.04,0.249,0.408,0.145,0.332,0.488,86.0,105.0,100.0,94.0,105.0,102.0,64.0,108.0,98.0,79.0,110.0,98.0,116.0,112.0,115.0,0.238,0.257,0.286,0.119,0.002,0.098,-0.41,3.63,-2.01,-2.69,1.43,-1.48,93.0,85.6,92.3,85.3,76.3,68.8,0.19,0.281,0.101,0.217,0.391,0.27,0.287,0.511,0.169,0.271,0.625,0.25,0.333,0.5,0.174,,,,,,,,,,,,,,,,,,
9,2024-06-11,745170,Groundout,field_out,True,669357,694973,Nolan Gorman,Paul Skenes,0,1c635348-b262-4278-8501-2b4e49859dfc,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,1.9,2.62,66.1,105.0,110.0,108.0,0.74,12.08,1.76,6.51,0.95,1.55,0.167,0.513,0.213,0.267,0.456,88.0,99.0,99.0,112.0,98.0,103.0,109.0,109.0,109.0,,,,136.0,103.0,118.0,0.313,0.379,0.164,0.109,,0.035,0.0,4.1,0.33,0.6,,-2.49,99.1,87.6,94.1,85.1,82.4,,0.157,0.193,0.302,0.135,0.378,0.263,0.239,0.402,0.303,0.316,0.316,0.25,0.286,0.429,0.222,,,,,,,,,,,,,,,,,,
