,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-10-19,775309,Single,single,False,650402,676440,Gleyber Torres,Tanner Bibee,0,c36d6ada-3785-4dce-96df-f7b9cde888a4,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-10-19,775309,Double,double,True,665742,676440,Juan Soto,Tanner Bibee,1,017ec68d-37c8-4974-ab8f-f7041e1b8fd5,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-10-19,775309,Hit By Pitch,hit_by_pitch,False,592450,676440,Aaron Judge,Tanner Bibee,0,b253b9c7-fb50-485c-b2bc-de9aebf0604c,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-10-19,775309,Strikeout,strikeout,True,519317,676440,Giancarlo Stanton,Tanner Bibee,0,633697fb-5451-4edf-b535-ac5b70454710,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-10-19,775309,Hit By Pitch,hit_by_pitch,False,665862,676440,Jazz Chisholm Jr.,Tanner Bibee,1,854d7789-cc05-44d0-94c5-1c8aa4a84d9a,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-10-19,775309,Lineout,field_out,True,519203,676440,Anthony Rizzo,Tanner Bibee,0,53e109c1-7d3f-4c6f-b595-51565242df04,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-10-19,775309,Strikeout,strikeout,True,680757,607074,Steven Kwan,Carlos Rodón,0,75828ae3-2b65-4105-9a99-4efaef170da7,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,0.494,0.26,0.083,0.129,0.05,,-0.4,-1.32,1.44,95.4,85.5,,86.8,81.0,0.262,0.514,0.214,0.353,0.647,0.255,0.188,0.247,0.495,0.199,0.361,0.393,0.281,0.531,0.276,100.0,83.0,82.0,0.035,-3.11,91.8,,,,,,,,,,,,,,,,,,,,,
7,2024-10-19,775309,Strikeout,strikeout,True,681807,607074,David Fry,Carlos Rodón,0,6dc06b48-95a0-406d-af2c-58c6e2098c08,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,0.494,0.26,0.083,0.129,0.05,,-0.4,-1.32,1.44,95.4,85.5,,86.8,81.0,0.262,0.514,0.214,0.353,0.647,0.255,0.188,0.247,0.495,0.199,0.361,0.393,0.281,0.531,0.276,100.0,83.0,82.0,0.035,-3.11,91.8,,,,,,,,,,,,,,,,,,,,,
8,2024-10-19,775309,Groundout,field_out,True,608070,607074,José Ramírez,Carlos Rodón,0,483c6f66-66d2-4c15-8264-14f1bc6db86f,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,0.494,0.26,0.083,0.129,0.05,,-0.4,-1.32,1.44,95.4,85.5,,86.8,81.0,0.262,0.514,0.214,0.353,0.647,0.255,0.188,0.247,0.495,0.199,0.361,0.393,0.281,0.531,0.276,100.0,83.0,82.0,0.035,-3.11,91.8,,,,,,,,,,,,,,,,,,,,,
9,2024-10-19,775309,Strikeout,strikeout,True,683011,676440,Anthony Volpe,Tanner Bibee,0,4f5bb4f2-f018-4512-874b-21f0b9c44b02,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,0.18,-0.69,-1.41,1.74,-0.9,0.13,94.6,82.5,93.9,86.2,81.3,0.282,0.476,0.213,0.141,0.225,0.368,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
