,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,vFA,vFC,vFS,vSI,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CH%,wSL/C,wCH/C,vCH,vSL,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff
0,2024-09-06,746993,Strikeout,strikeout,True,650490,665152,Yandy Díaz,Dean Kremer,0,759b4b5b-0ca3-41b4-b9fb-7b6e649f212f,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.27,4.71,111.2,100.0,87.0,98.0,0.811,8.54,3.79,7.66,1.21,0.99,0.249,0.385,0.228,0.302,0.42,90.0,99.0,96.0,89.0,99.0,97.0,79.0,105.0,97.0,99.0,103.0,99.0,71.0,98.0,98.0,0.151,0.316,0.241,0.18,0.113,-0.46,0.46,0.46,0.48,0.57,93.3,86.9,84.0,92.3,77.0,0.256,0.537,0.214,0.25,0.339,0.226,0.244,0.359,0.074,0.125,0.225,0.353,0.206,0.265,0.176,,,,,,,,,,,,,,,,,,
1,2024-09-06,746993,Hit By Pitch,hit_by_pitch,False,666018,665152,Jonathan Aranda,Dean Kremer,0,4b0f53a9-30e7-4032-a0ef-5f2e32de84f5,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.27,4.71,111.2,100.0,87.0,98.0,0.811,8.54,3.79,7.66,1.21,0.99,0.249,0.385,0.228,0.302,0.42,90.0,99.0,96.0,89.0,99.0,97.0,79.0,105.0,97.0,99.0,103.0,99.0,71.0,98.0,98.0,0.151,0.316,0.241,0.18,0.113,-0.46,0.46,0.46,0.48,0.57,93.3,86.9,84.0,92.3,77.0,0.256,0.537,0.214,0.25,0.339,0.226,0.244,0.359,0.074,0.125,0.225,0.353,0.206,0.265,0.176,,,,,,,,,,,,,,,,,,
2,2024-09-06,746993,Grounded Into DP,grounded_into_double_play,True,691406,665152,Junior Caminero,Dean Kremer,1,1f38561a-3c22-495b-ace3-f3295f8b2ace,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.27,4.71,111.2,100.0,87.0,98.0,0.811,8.54,3.79,7.66,1.21,0.99,0.249,0.385,0.228,0.302,0.42,90.0,99.0,96.0,89.0,99.0,97.0,79.0,105.0,97.0,99.0,103.0,99.0,71.0,98.0,98.0,0.151,0.316,0.241,0.18,0.113,-0.46,0.46,0.46,0.48,0.57,93.3,86.9,84.0,92.3,77.0,0.256,0.537,0.214,0.25,0.339,0.226,0.244,0.359,0.074,0.125,0.225,0.353,0.206,0.265,0.176,,,,,,,,,,,,,,,,,,
3,2024-09-06,746993,Lineout,field_out,True,683002,669358,Gunnar Henderson,Shane Baz,0,28e60ec9-1044-472e-ba52-c9ba5aec54b0,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.27,4.05,55.0,98.0,113.0,101.0,0.784,7.53,3.76,7.36,0.98,0.9,0.291,0.405,0.133,0.361,0.441,115.0,100.0,105.0,119.0,99.0,100.0,,,,,,,,,,,0.47,,,0.171,-0.14,,,,1.3,95.7,,,,84.1,0.292,0.427,0.222,,,,,,,,,,0.191,0.255,0.276,86.0,99.0,96.0,110.0,97.0,101.0,0.257,0.101,0.52,2.93,88.4,87.5,0.167,0.375,0.22,0.111,0.111,0.297
4,2024-09-06,746993,Strikeout,strikeout,True,668939,669358,Adley Rutschman,Shane Baz,0,74371a7a-7a2e-4b8f-85a2-19509b71d800,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.27,4.05,55.0,98.0,113.0,101.0,0.784,7.53,3.76,7.36,0.98,0.9,0.291,0.405,0.133,0.361,0.441,115.0,100.0,105.0,119.0,99.0,100.0,,,,,,,,,,,0.47,,,0.171,-0.14,,,,1.3,95.7,,,,84.1,0.292,0.427,0.222,,,,,,,,,,0.191,0.255,0.276,86.0,99.0,96.0,110.0,97.0,101.0,0.257,0.101,0.52,2.93,88.4,87.5,0.167,0.375,0.22,0.111,0.111,0.297
5,2024-09-06,746993,Flyout,field_out,True,656811,669358,Ryan O'Hearn,Shane Baz,0,97f828c7-6c84-41f5-a8e9-5269d1eca771,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.27,4.05,55.0,98.0,113.0,101.0,0.784,7.53,3.76,7.36,0.98,0.9,0.291,0.405,0.133,0.361,0.441,115.0,100.0,105.0,119.0,99.0,100.0,,,,,,,,,,,0.47,,,0.171,-0.14,,,,1.3,95.7,,,,84.1,0.292,0.427,0.222,,,,,,,,,,0.191,0.255,0.276,86.0,99.0,96.0,110.0,97.0,101.0,0.257,0.101,0.52,2.93,88.4,87.5,0.167,0.375,0.22,0.111,0.111,0.297
6,2024-09-06,746993,Strikeout,strikeout,True,666185,665152,Dylan Carlson,Dean Kremer,0,3eea1c33-bed2-4514-a3ee-c8a6f7a22378,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.27,4.71,111.2,100.0,87.0,98.0,0.811,8.54,3.79,7.66,1.21,0.99,0.249,0.385,0.228,0.302,0.42,90.0,99.0,96.0,89.0,99.0,97.0,79.0,105.0,97.0,99.0,103.0,99.0,71.0,98.0,98.0,0.151,0.316,0.241,0.18,0.113,-0.46,0.46,0.46,0.48,0.57,93.3,86.9,84.0,92.3,77.0,0.256,0.537,0.214,0.25,0.339,0.226,0.244,0.359,0.074,0.125,0.225,0.353,0.206,0.265,0.176,,,,,,,,,,,,,,,,,,
7,2024-09-06,746993,Strikeout,strikeout,True,666139,665152,Josh Lowe,Dean Kremer,0,446fd88a-9eae-41db-b7f7-6480685406ca,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.27,4.71,111.2,100.0,87.0,98.0,0.811,8.54,3.79,7.66,1.21,0.99,0.249,0.385,0.228,0.302,0.42,90.0,99.0,96.0,89.0,99.0,97.0,79.0,105.0,97.0,99.0,103.0,99.0,71.0,98.0,98.0,0.151,0.316,0.241,0.18,0.113,-0.46,0.46,0.46,0.48,0.57,93.3,86.9,84.0,92.3,77.0,0.256,0.537,0.214,0.25,0.339,0.226,0.244,0.359,0.074,0.125,0.225,0.353,0.206,0.265,0.176,,,,,,,,,,,,,,,,,,
8,2024-09-06,746993,Flyout,field_out,True,676356,665152,Jonny DeLuca,Dean Kremer,0,f4216950-91ac-4777-b046-cfbc33c72ca2,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.27,4.71,111.2,100.0,87.0,98.0,0.811,8.54,3.79,7.66,1.21,0.99,0.249,0.385,0.228,0.302,0.42,90.0,99.0,96.0,89.0,99.0,97.0,79.0,105.0,97.0,99.0,103.0,99.0,71.0,98.0,98.0,0.151,0.316,0.241,0.18,0.113,-0.46,0.46,0.46,0.48,0.57,93.3,86.9,84.0,92.3,77.0,0.256,0.537,0.214,0.25,0.339,0.226,0.244,0.359,0.074,0.125,0.225,0.353,0.206,0.265,0.176,,,,,,,,,,,,,,,,,,
9,2024-09-06,746993,Strikeout,strikeout,True,623993,669358,Anthony Santander,Shane Baz,0,ef1e4f67-b212-4757-abd0-3786675f0137,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.27,4.05,55.0,98.0,113.0,101.0,0.784,7.53,3.76,7.36,0.98,0.9,0.291,0.405,0.133,0.361,0.441,115.0,100.0,105.0,119.0,99.0,100.0,,,,,,,,,,,0.47,,,0.171,-0.14,,,,1.3,95.7,,,,84.1,0.292,0.427,0.222,,,,,,,,,,0.191,0.255,0.276,86.0,99.0,96.0,110.0,97.0,101.0,0.257,0.101,0.52,2.93,88.4,87.5,0.167,0.375,0.22,0.111,0.111,0.297
10,2024-09-06,746993,Groundout,field_out,True,681297,669358,Colton Cowser,Shane Baz,0,522a1cf8-17d3-4096-b9bb-59027ecf8423,669358.0,shanebaz,Baz,Right,Shane Baz,TBR,3.27,4.05,55.0,98.0,113.0,101.0,0.784,7.53,3.76,7.36,0.98,0.9,0.291,0.405,0.133,0.361,0.441,115.0,100.0,105.0,119.0,99.0,100.0,,,,,,,,,,,0.47,,,0.171,-0.14,,,,1.3,95.7,,,,84.1,0.292,0.427,0.222,,,,,,,,,,0.191,0.255,0.276,86.0,99.0,96.0,110.0,97.0,101.0,0.257,0.101,0.52,2.93,88.4,87.5,0.167,0.375,0.22,0.111,0.111,0.297
