,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
23,2024-04-10,746655,Groundout,field_out,True,643217,676440,Andrew Benintendi,Tanner Bibee,0,f4f083c3-2089-4ee5-8f9f-d58358b0fce4,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-04-10,746655,Groundout,field_out,True,677587,607200,Brayan Rocchio,Erick Fedde,0,92388440-b554-4864-806b-74c51d3760ae,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
25,2024-04-10,746655,Flyout,field_out,True,680757,607200,Steven Kwan,Erick Fedde,0,b565dad7-e0e2-4233-af84-d447650f1e46,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
26,2024-04-10,746655,Lineout,field_out,True,665926,607200,Andrés Giménez,Erick Fedde,0,8d0a7992-b095-45ab-80c5-3a15c1d7aa2a,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
27,2024-04-10,746655,Strikeout,strikeout,True,686676,676440,Korey Lee,Tanner Bibee,0,46b490c6-0633-4586-9f73-82ee5ddbf8f6,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-04-10,746655,Groundout,field_out,True,666150,676440,Dominic Fletcher,Tanner Bibee,0,6e75e51e-3cff-4ae7-a275-ac3a9ed2a6e9,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-04-10,746655,Double,double,False,669699,676440,Braden Shewmake,Tanner Bibee,0,71e38807-5639-4068-9aeb-8b4d74920787,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-04-10,746655,Groundout,field_out,True,670032,676440,Nicky Lopez,Tanner Bibee,0,80444426-9034-4100-9f6a-10e1a78bc734,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-04-10,746655,Groundout,field_out,True,608070,607200,José Ramírez,Erick Fedde,0,de1bd717-1f2e-42d7-972c-d2b392e6eae2,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
32,2024-04-10,746655,Home Run,home_run,False,647304,607200,Josh Naylor,Erick Fedde,0,99fd1978-66d9-4cb1-8f4b-e80a7b89e789,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
33,2024-04-10,746655,Groundout,field_out,True,686823,607200,Will Brennan,Erick Fedde,0,83dcd55d-5c4c-4c73-8d1d-c886fefe357e,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
34,2024-04-10,746655,Hit By Pitch,hit_by_pitch,False,657656,607200,Ramón Laureano,Erick Fedde,0,6f640ec9-4bab-4ff1-a25b-e0401c005bc4,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
35,2024-04-10,746655,Home Run,home_run,False,666310,607200,Bo Naylor,Erick Fedde,1,c7fd1c1b-6b6b-41c4-aef4-c42ddd07820c,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
36,2024-04-10,746655,Strikeout,strikeout,True,664314,607200,Estevan Florial,Erick Fedde,0,ab1987b1-5735-43e6-afa7-88ee4e744838,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
