,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff
47,2024-06-04,746872,Hit By Pitch,hit_by_pitch,False,641355,605121,Cody Bellinger,Justin Anderson,0,8d2c2595-a68a-49da-9491-1cb28956e405,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,,,,104.0,97.0,96.0,95.0,100.0,93.0,126.0,102.0,107.0,71.0,114.0,107.0,,,,0.148,0.311,0.081,,0.46,,,1.78,-1.77,,-0.95,-1.04,,,96.1,93.0,,,94.8,85.6,,0.103,0.138,0.208,,,,0.233,0.442,0.439,,,,0.5,0.5,0.095,,,,0.267,0.333,0.192
48,2024-06-04,746872,Home Run,home_run,False,666624,605121,Christopher Morel,Justin Anderson,1,e119e92f-c1b6-49c9-9714-ab48688b2a85,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,,,,104.0,97.0,96.0,95.0,100.0,93.0,126.0,102.0,107.0,71.0,114.0,107.0,,,,0.148,0.311,0.081,,0.46,,,1.78,-1.77,,-0.95,-1.04,,,96.1,93.0,,,94.8,85.6,,0.103,0.138,0.208,,,,0.233,0.442,0.439,,,,0.5,0.5,0.095,,,,0.267,0.333,0.192
49,2024-06-04,746872,Single,single,False,664023,621383,Ian Happ,Tanner Banks,0,d2646799-5bdf-42f0-b675-5cb3059d59f5,621383.0,tannerbanks,Banks,Left,Tanner Banks,CHW,4.33,3.29,43.2,103.0,97.0,101.0,0.746,9.89,2.27,8.86,1.03,1.31,0.293,0.325,0.171,0.293,0.419,85.0,96.0,96.0,119.0,108.0,107.0,86.0,112.0,110.0,80.0,108.0,97.0,107.0,93.0,92.0,,,,,,,0.067,0.298,,,0.325,0.149,0.16,0.64,,,0.94,-0.8,1.52,-2.05,93.5,,,86.1,92.0,88.0,82.2,0.226,0.358,0.279,,,,0.326,0.5,0.213,0.154,0.192,0.347,,,,0.29,0.516,0.185,0.273,0.273,0.444
50,2024-06-04,746872,Home Run,home_run,False,621550,621383,Patrick Wisdom,Tanner Banks,1,4eac103e-7e4a-48c3-a48e-e89f47036cc3,621383.0,tannerbanks,Banks,Left,Tanner Banks,CHW,4.33,3.29,43.2,103.0,97.0,101.0,0.746,9.89,2.27,8.86,1.03,1.31,0.293,0.325,0.171,0.293,0.419,85.0,96.0,96.0,119.0,108.0,107.0,86.0,112.0,110.0,80.0,108.0,97.0,107.0,93.0,92.0,,,,,,,0.067,0.298,,,0.325,0.149,0.16,0.64,,,0.94,-0.8,1.52,-2.05,93.5,,,86.1,92.0,88.0,82.2,0.226,0.358,0.279,,,,0.326,0.5,0.213,0.154,0.192,0.347,,,,0.29,0.516,0.185,0.273,0.273,0.444
51,2024-06-04,746872,Flyout,field_out,True,621020,621383,Dansby Swanson,Tanner Banks,0,29003c46-b2c7-4a7a-8896-fc1f0ad1fc08,621383.0,tannerbanks,Banks,Left,Tanner Banks,CHW,4.33,3.29,43.2,103.0,97.0,101.0,0.746,9.89,2.27,8.86,1.03,1.31,0.293,0.325,0.171,0.293,0.419,85.0,96.0,96.0,119.0,108.0,107.0,86.0,112.0,110.0,80.0,108.0,97.0,107.0,93.0,92.0,,,,,,,0.067,0.298,,,0.325,0.149,0.16,0.64,,,0.94,-0.8,1.52,-2.05,93.5,,,86.1,92.0,88.0,82.2,0.226,0.358,0.279,,,,0.326,0.5,0.213,0.154,0.192,0.347,,,,0.29,0.516,0.185,0.273,0.273,0.444
52,2024-06-04,746872,Groundout,field_out,True,667452,669713,Corey Julks,Hayden Wesneski,0,4e48702f-2d1b-4f8c-b980-8fcf9db6f166,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,,,,0.121,0.368,0.085,,0.399,,0.027,-0.5,2.33,,-0.74,0.19,,1.36,94.5,88.1,,86.9,93.5,82.2,,0.25,0.444,0.132,,,,0.185,0.383,0.428,,,,0.182,0.182,0.209,0.143,0.143,0.214,0.273,0.545,0.123
53,2024-06-04,746872,Groundout,field_out,True,683734,669713,Andrew Vaughn,Hayden Wesneski,0,6be03b8a-77f2-41d5-be62-c75f7b6ac5e4,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,,,,0.121,0.368,0.085,,0.399,,0.027,-0.5,2.33,,-0.74,0.19,,1.36,94.5,88.1,,86.9,93.5,82.2,,0.25,0.444,0.132,,,,0.185,0.383,0.428,,,,0.182,0.182,0.209,0.143,0.143,0.214,0.273,0.545,0.123
54,2024-06-04,746872,Home Run,home_run,False,673357,669713,Luis Robert Jr.,Hayden Wesneski,0,d27e0355-22a1-49a7-af5e-a75839bb1716,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,,,,0.121,0.368,0.085,,0.399,,0.027,-0.5,2.33,,-0.74,0.19,,1.36,94.5,88.1,,86.9,93.5,82.2,,0.25,0.444,0.132,,,,0.185,0.383,0.428,,,,0.182,0.182,0.209,0.143,0.143,0.214,0.273,0.545,0.123
55,2024-06-04,746872,Flyout,field_out,True,657557,669713,Paul DeJong,Hayden Wesneski,0,6f20f772-5bd1-4ef7-b5dd-067f7dfbc1cf,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,,,,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,,,,0.121,0.368,0.085,,0.399,,0.027,-0.5,2.33,,-0.74,0.19,,1.36,94.5,88.1,,86.9,93.5,82.2,,0.25,0.444,0.132,,,,0.185,0.383,0.428,,,,0.182,0.182,0.209,0.143,0.143,0.214,0.273,0.545,0.123
56,2024-06-04,746872,Strikeout,strikeout,True,691718,605154,Pete Crow-Armstrong,John Brebbia,0,d51c7a2a-10fa-44c8-a46c-499e6df4f77d,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,CHW,4.5,4.24,38.0,104.0,105.0,106.0,0.768,11.37,2.13,8.29,1.18,0.7,0.277,0.376,0.168,0.337,0.44,168.0,136.0,106.0,,,,105.0,107.0,108.0,,,,105.0,101.0,104.0,,,,,,,,0.461,,,0.538,,0.002,2.3,,,,-1.42,,7.24,93.9,,,89.6,,82.9,,0.138,0.262,0.284,,,,0.31,0.488,0.256,,,,,,,,,,,,
