,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff
0,2024-07-31,746764,Single,single,False,672580,689672,Maikel Garcia,Drew Thorpe,0,28a25c08-d911-4814-8511-1e45e4959873,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-31,746764,Groundout,field_out,True,677951,689672,Bobby Witt Jr.,Drew Thorpe,1,c6ca3b3f-9963-40bd-8ce7-261c8deb7ab1,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-31,746764,Single,single,False,686469,689672,Vinnie Pasquantino,Drew Thorpe,1,4c3e7026-833d-470f-99c2-28303adfc4cf,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-31,746764,Flyout,field_out,True,521692,689672,Salvador Perez,Drew Thorpe,0,867fefe7-fd21-41e9-8d54-fc7a7f3a4961,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-31,746764,Pop Out,field_out,True,592669,689672,Hunter Renfroe,Drew Thorpe,0,e1e95c12-d0b4-43c6-99fc-4f5c848daaef,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-31,746764,Groundout,field_out,True,670032,663903,Nicky Lopez,Brady Singer,0,0f123eab-3081-46da-9484-a87c77326132,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,60.0,96.0,86.0,107.0,100.0,102.0,,,,0.114,,0.45,0.022,-1.99,,0.33,-5.7,91.6,,88.1,82.9,0.429,0.5,0.111,0.341,0.585,0.167,,,,0.204,0.354,0.363,0.381,0.571,0.364,74.0,103.0,93.0,0.414,0.86,92.2,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
6,2024-07-31,746764,Flyout,field_out,True,678246,663903,Miguel Vargas,Brady Singer,0,51f5d501-909c-489e-a2ae-aa1b542fad84,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,60.0,96.0,86.0,107.0,100.0,102.0,,,,0.114,,0.45,0.022,-1.99,,0.33,-5.7,91.6,,88.1,82.9,0.429,0.5,0.111,0.341,0.585,0.167,,,,0.204,0.354,0.363,0.381,0.571,0.364,74.0,103.0,93.0,0.414,0.86,92.2,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
7,2024-07-31,746764,Strikeout,strikeout,True,683734,663903,Andrew Vaughn,Brady Singer,0,db920d6b-d2d2-4a1b-a3d8-85bf9708d97e,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,60.0,96.0,86.0,107.0,100.0,102.0,,,,0.114,,0.45,0.022,-1.99,,0.33,-5.7,91.6,,88.1,82.9,0.429,0.5,0.111,0.341,0.585,0.167,,,,0.204,0.354,0.363,0.381,0.571,0.364,74.0,103.0,93.0,0.414,0.86,92.2,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
8,2024-07-31,746764,Flyout,field_out,True,669004,689672,MJ Melendez,Drew Thorpe,0,ec020f2d-5d40-46fc-9ab1-aeb7d221b41a,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-31,746764,Walk,walk,False,657557,689672,Paul DeJong,Drew Thorpe,0,1cbe6c48-f5a9-4ec8-8786-790d311ca125,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.68,44.1,99.0,82.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.232,0.225,0.38,92.0,106.0,103.0,63.0,95.0,82.0,99.0,100.0,102.0,83.0,93.0,88.0,0.322,0.139,0.184,0.355,-1.4,-0.42,-1.95,1.67,91.0,86.3,81.6,81.2,0.164,0.311,0.379,0.245,0.566,0.077,0.182,0.409,0.071,0.333,0.5,0.28,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
