,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
50,2024-06-24,746780,Field Error,field_error,False,621035,621051,Chris Taylor,Steven Wilson,1,ee6580f0-312e-48e4-8699-06b520d6a9cd,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,104.0,91.0,92.0,126.0,96.0,103.0,43.0,69.0,67.0,0.411,0.013,0.472,0.104,-0.48,-1.41,-0.09,-0.37,93.4,86.6,81.5,82.7,0.205,0.385,0.147,,,,0.196,0.413,0.327,0.143,0.143,0.267,,,,,,,,,,,,,,,,,,,,,,,,
51,2024-06-24,746780,Pop Out,field_out,True,518792,621383,Jason Heyward,Tanner Banks,0,3985059d-6f0f-4cfb-812f-f66b91a13435,621383.0,tannerbanks,Banks,Left,Tanner Banks,CHW,4.33,3.29,43.2,103.0,97.0,101.0,0.746,9.89,2.27,8.86,1.03,1.31,0.293,0.325,0.171,0.293,0.419,85.0,96.0,96.0,86.0,112.0,110.0,107.0,93.0,92.0,,,,0.298,,0.325,0.16,0.64,,-0.8,-2.05,93.5,,86.1,88.0,0.226,0.358,0.279,,,,0.326,0.5,0.213,0.29,0.516,0.185,80.0,108.0,97.0,,,,0.067,,0.94,,92.0,,0.154,0.192,0.347,0.273,0.273,0.444,119.0,108.0,107.0,0.149,1.52,82.2
52,2024-06-24,746780,Walk,walk,False,660271,621383,Shohei Ohtani,Tanner Banks,0,911fef89-fab0-4f13-bf61-3f9a34260f95,621383.0,tannerbanks,Banks,Left,Tanner Banks,CHW,4.33,3.29,43.2,103.0,97.0,101.0,0.746,9.89,2.27,8.86,1.03,1.31,0.293,0.325,0.171,0.293,0.419,85.0,96.0,96.0,86.0,112.0,110.0,107.0,93.0,92.0,,,,0.298,,0.325,0.16,0.64,,-0.8,-2.05,93.5,,86.1,88.0,0.226,0.358,0.279,,,,0.326,0.5,0.213,0.29,0.516,0.185,80.0,108.0,97.0,,,,0.067,,0.94,,92.0,,0.154,0.192,0.347,0.273,0.273,0.444,119.0,108.0,107.0,0.149,1.52,82.2
53,2024-06-24,746780,Walk,walk,False,669257,605121,Will Smith,Justin Anderson,1,c857ee98-5fb1-4a39-87ce-94da0739fae5,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,104.0,97.0,96.0,126.0,102.0,107.0,71.0,114.0,107.0,0.311,0.081,0.46,,1.78,-1.77,-1.04,,96.1,93.0,,85.6,0.103,0.138,0.208,0.5,0.5,0.095,0.233,0.442,0.439,,,,95.0,100.0,93.0,,,,0.148,,-0.95,,94.8,,,,,0.267,0.333,0.192,,,,,,
54,2024-06-24,746780,Flyout,field_out,True,518692,605121,Freddie Freeman,Justin Anderson,0,db8edf80-a850-4db6-9c20-eff07fc18e27,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,104.0,97.0,96.0,126.0,102.0,107.0,71.0,114.0,107.0,0.311,0.081,0.46,,1.78,-1.77,-1.04,,96.1,93.0,,85.6,0.103,0.138,0.208,0.5,0.5,0.095,0.233,0.442,0.439,,,,95.0,100.0,93.0,,,,0.148,,-0.95,,94.8,,,,,0.267,0.333,0.192,,,,,,
55,2024-06-24,746780,Strikeout,strikeout,True,672820,670990,Lenyn Sosa,Yohan Ramírez,0,bfeea705-7337-48f0-a509-6a378f4459ea,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,98.0,91.0,92.0,150.0,98.0,108.0,,,,0.167,,0.311,,1.16,,-0.66,,94.9,,,81.6,0.226,0.323,0.172,,,,0.229,0.375,0.364,,,,111.0,90.0,93.0,,,,0.393,,-0.69,,94.4,,0.125,0.25,0.419,0.317,0.492,0.153,104.0,93.0,103.0,0.129,0.34,81.3
56,2024-06-24,746780,Flyout,field_out,True,670032,670990,Nicky Lopez,Yohan Ramírez,0,471054f9-a757-4dcd-90af-abfec48c165b,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,98.0,91.0,92.0,150.0,98.0,108.0,,,,0.167,,0.311,,1.16,,-0.66,,94.9,,,81.6,0.226,0.323,0.172,,,,0.229,0.375,0.364,,,,111.0,90.0,93.0,,,,0.393,,-0.69,,94.4,,0.125,0.25,0.419,0.317,0.492,0.153,104.0,93.0,103.0,0.129,0.34,81.3
57,2024-06-24,746780,Groundout,field_out,True,502054,670990,Tommy Pham,Yohan Ramírez,0,d0d05c97-89d7-4d66-9925-3cb8b646b29b,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,98.0,91.0,92.0,150.0,98.0,108.0,,,,0.167,,0.311,,1.16,,-0.66,,94.9,,,81.6,0.226,0.323,0.172,,,,0.229,0.375,0.364,,,,111.0,90.0,93.0,,,,0.393,,-0.69,,94.4,,0.125,0.25,0.419,0.317,0.492,0.153,104.0,93.0,103.0,0.129,0.34,81.3
58,2024-06-24,746780,Strikeout,strikeout,True,681624,605121,Andy Pages,Justin Anderson,0,b4c0b4d8-629c-4887-b8e5-20735ffaf899,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,104.0,97.0,96.0,126.0,102.0,107.0,71.0,114.0,107.0,0.311,0.081,0.46,,1.78,-1.77,-1.04,,96.1,93.0,,85.6,0.103,0.138,0.208,0.5,0.5,0.095,0.233,0.442,0.439,,,,95.0,100.0,93.0,,,,0.148,,-0.95,,94.8,,,,,0.267,0.333,0.192,,,,,,
59,2024-06-24,746780,Groundout,field_out,True,500743,605121,Miguel Rojas,Justin Anderson,0,02ed669c-3445-4899-a829-6dddd4bbe7dd,605121.0,justinanderson,"Anderson, J",Right,Justin Anderson,CHW,4.97,4.19,25.1,101.0,110.0,101.0,0.724,9.24,5.33,8.17,0.71,0.85,0.23,0.378,0.162,0.297,0.4,,,,104.0,97.0,96.0,126.0,102.0,107.0,71.0,114.0,107.0,0.311,0.081,0.46,,1.78,-1.77,-1.04,,96.1,93.0,,85.6,0.103,0.138,0.208,0.5,0.5,0.095,0.233,0.442,0.439,,,,95.0,100.0,93.0,,,,0.148,,-0.95,,94.8,,,,,0.267,0.333,0.192,,,,,,
