,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
34,2024-04-20,745760,Groundout,field_out,True,663330,621107,Jahmai Jones,Zach Eflin,0,6b70586e-6cb9-4d49-be48-f0d132b75640,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
35,2024-04-20,745760,Single,single,False,650490,641482,Yandy Díaz,Nestor Cortes,0,c0bbbd8d-7247-45d7-b847-5d7e118f3d2d,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
36,2024-04-20,745760,Pop Out,field_out,True,668227,641482,Randy Arozarena,Nestor Cortes,0,60701736-5a58-4cdf-a784-b103899fb643,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
37,2024-04-20,745760,Single,single,False,623912,641482,Harold Ramírez,Nestor Cortes,1,d3e7a7e8-de44-4495-83bc-82fe5d2ca40e,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
38,2024-04-20,745760,Flyout,field_out,True,670623,641482,Isaac Paredes,Nestor Cortes,0,1c8d7e9e-ec99-43f1-846f-76b1378c548d,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
39,2024-04-20,745760,Forceout,force_out,True,642708,641482,Amed Rosario,Nestor Cortes,1,9507cb54-bb5c-45ac-a1bb-819cc053ee2e,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
40,2024-04-20,745760,Strikeout,strikeout,True,669224,621107,Austin Wells,Zach Eflin,0,2a49480f-ccf7-439b-93e0-94e9b788cb6e,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
41,2024-04-20,745760,Strikeout,strikeout,True,683011,621107,Anthony Volpe,Zach Eflin,0,99ace27a-cceb-4ecf-a7df-fa02442b2987,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
42,2024-04-20,745760,Double,double,False,665742,621107,Juan Soto,Zach Eflin,0,4035e384-eaaf-4a80-a703-abd829e78f24,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
43,2024-04-20,745760,Strikeout,strikeout,True,592450,621107,Aaron Judge,Zach Eflin,0,6c0fb8ca-a6d0-4383-a0e7-4857cd0f4e93,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
