,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,KC%,wFC/C,wFS/C,wKC/C,vFC,vFS,vKC,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff
0,2024-09-08,745616,Strikeout,strikeout,True,678009,669372,Parker Meadows,J.T. Ginn,0,25974db5-5099-4777-8040-7a057cb15c14,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,4.58,4.65,19.2,98.0,102.0,97.0,0.743,9.15,2.75,7.78,1.37,1.37,0.259,0.463,0.167,0.37,0.43,91.0,93.0,96.0,73.0,78.0,71.0,97.0,99.0,94.0,120.0,100.0,104.0,0.527,0.027,0.295,0.151,-2.28,0.24,1.99,-2.34,91.5,86.6,93.0,86.0,0.238,0.429,0.197,0.136,0.273,0.349,0.4,0.6,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-08,745616,Pop Out,field_out,True,690291,669372,Jace Jung,J.T. Ginn,0,62012320-15b6-4042-97f5-3d0b86d7b870,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,4.58,4.65,19.2,98.0,102.0,97.0,0.743,9.15,2.75,7.78,1.37,1.37,0.259,0.463,0.167,0.37,0.43,91.0,93.0,96.0,73.0,78.0,71.0,97.0,99.0,94.0,120.0,100.0,104.0,0.527,0.027,0.295,0.151,-2.28,0.24,1.99,-2.34,91.5,86.6,93.0,86.0,0.238,0.429,0.197,0.136,0.273,0.349,0.4,0.6,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-08,745616,Single,single,False,682985,669372,Riley Greene,J.T. Ginn,0,e6b4a998-b5ef-49be-b242-9433087ef788,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,4.58,4.65,19.2,98.0,102.0,97.0,0.743,9.15,2.75,7.78,1.37,1.37,0.259,0.463,0.167,0.37,0.43,91.0,93.0,96.0,73.0,78.0,71.0,97.0,99.0,94.0,120.0,100.0,104.0,0.527,0.027,0.295,0.151,-2.28,0.24,1.99,-2.34,91.5,86.6,93.0,86.0,0.238,0.429,0.197,0.136,0.273,0.349,0.4,0.6,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-08,745616,Strikeout,strikeout,True,681481,669372,Kerry Carpenter,J.T. Ginn,0,f56ae9a6-765f-4135-bf89-320dbfbe0b5a,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,4.58,4.65,19.2,98.0,102.0,97.0,0.743,9.15,2.75,7.78,1.37,1.37,0.259,0.463,0.167,0.37,0.43,91.0,93.0,96.0,73.0,78.0,71.0,97.0,99.0,94.0,120.0,100.0,104.0,0.527,0.027,0.295,0.151,-2.28,0.24,1.99,-2.34,91.5,86.6,93.0,86.0,0.238,0.429,0.197,0.136,0.273,0.349,0.4,0.6,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-08,745616,Groundout,field_out,True,671732,689225,Lawrence Butler,Beau Brieske,0,f5f64301-77d6-4466-a85b-b065f7d67b46,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.07,3.8,55.1,101.0,108.0,101.0,0.784,9.43,4.23,8.46,0.49,0.97,0.201,0.357,0.156,0.331,0.403,103.0,106.0,109.0,115.0,99.0,98.0,85.0,105.0,95.0,123.0,94.0,100.0,0.17,0.377,0.187,0.266,0.35,1.37,-1.86,0.34,95.9,88.4,95.5,86.1,0.261,0.326,0.135,0.259,0.593,0.266,0.221,0.368,0.327,0.269,0.328,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-08,745616,Walk,walk,False,667670,689225,Brent Rooker,Beau Brieske,0,272eb46b-ff2b-4684-919a-e5f3739c1121,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.07,3.8,55.1,101.0,108.0,101.0,0.784,9.43,4.23,8.46,0.49,0.97,0.201,0.357,0.156,0.331,0.403,103.0,106.0,109.0,115.0,99.0,98.0,85.0,105.0,95.0,123.0,94.0,100.0,0.17,0.377,0.187,0.266,0.35,1.37,-1.86,0.34,95.9,88.4,95.5,86.1,0.261,0.326,0.135,0.259,0.593,0.266,0.221,0.368,0.327,0.269,0.328,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-08,745616,Walk,walk,False,668709,689225,JJ Bleday,Beau Brieske,1,ae8214b1-a18b-4c7d-a8e0-061547e8f566,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.07,3.8,55.1,101.0,108.0,101.0,0.784,9.43,4.23,8.46,0.49,0.97,0.201,0.357,0.156,0.331,0.403,103.0,106.0,109.0,115.0,99.0,98.0,85.0,105.0,95.0,123.0,94.0,100.0,0.17,0.377,0.187,0.266,0.35,1.37,-1.86,0.34,95.9,88.4,95.5,86.1,0.261,0.326,0.135,0.259,0.593,0.266,0.221,0.368,0.327,0.269,0.328,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-08,745616,Strikeout,strikeout,True,669127,689225,Shea Langeliers,Beau Brieske,0,c20739d5-f6ba-4c7e-9c64-7a4cc77648e2,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.07,3.8,55.1,101.0,108.0,101.0,0.784,9.43,4.23,8.46,0.49,0.97,0.201,0.357,0.156,0.331,0.403,103.0,106.0,109.0,115.0,99.0,98.0,85.0,105.0,95.0,123.0,94.0,100.0,0.17,0.377,0.187,0.266,0.35,1.37,-1.86,0.34,95.9,88.4,95.5,86.1,0.261,0.326,0.135,0.259,0.593,0.266,0.221,0.368,0.327,0.269,0.328,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-08,745616,Strikeout,strikeout,True,664913,689225,Seth Brown,Beau Brieske,0,33c0be23-c559-41c6-80cb-1231fc681c57,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.07,3.8,55.1,101.0,108.0,101.0,0.784,9.43,4.23,8.46,0.49,0.97,0.201,0.357,0.156,0.331,0.403,103.0,106.0,109.0,115.0,99.0,98.0,85.0,105.0,95.0,123.0,94.0,100.0,0.17,0.377,0.187,0.266,0.35,1.37,-1.86,0.34,95.9,88.4,95.5,86.1,0.261,0.326,0.135,0.259,0.593,0.266,0.221,0.368,0.327,0.269,0.328,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-08,745616,Lineout,field_out,True,690993,669372,Colt Keith,J.T. Ginn,0,cbf5cc9d-2191-476a-8986-b4a0b2a84d6f,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,4.58,4.65,19.2,98.0,102.0,97.0,0.743,9.15,2.75,7.78,1.37,1.37,0.259,0.463,0.167,0.37,0.43,91.0,93.0,96.0,73.0,78.0,71.0,97.0,99.0,94.0,120.0,100.0,104.0,0.527,0.027,0.295,0.151,-2.28,0.24,1.99,-2.34,91.5,86.6,93.0,86.0,0.238,0.429,0.197,0.136,0.273,0.349,0.4,0.6,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
