,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-10-06,775319,Strikeout,strikeout,True,596019,650911,Francisco Lindor,Cristopher Sánchez,0,b7eb9e65-3dc8-42e6-a2bf-18ed0f38e0be,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-10-06,775319,Double,double,False,668901,650911,Mark Vientos,Cristopher Sánchez,0,051efa83-8074-44b9-b497-8a271470181a,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-10-06,775319,Lineout,field_out,True,607043,650911,Brandon Nimmo,Cristopher Sánchez,1,8b787d7a-9ac6-4c80-8b2f-e210054852f3,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-10-06,775319,Flyout,field_out,True,624413,650911,Pete Alonso,Cristopher Sánchez,0,522e9f5e-8bb0-496b-8c87-95a615be7018,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-10-06,775319,Groundout,field_out,True,656941,622663,Kyle Schwarber,Luis Severino,0,9cf0760b-71ba-4127-a628-b642fe8c9508,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,90.0,98.0,94.0,143.0,100.0,111.0,92.0,91.0,89.0,0.248,0.081,0.242,0.075,1.05,1.24,0.26,-3.63,92.6,86.1,95.6,85.6,0.278,0.414,0.122,0.358,0.66,0.186,0.263,0.342,0.284,101.0,104.0,102.0,0.355,0.15,96.2,0.243,0.392,0.218,0.139,0.238,0.386,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,
5,2024-10-06,775319,Single,single,False,607208,622663,Trea Turner,Luis Severino,0,211f28b2-d466-4b09-b162-9927e714892a,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,90.0,98.0,94.0,143.0,100.0,111.0,92.0,91.0,89.0,0.248,0.081,0.242,0.075,1.05,1.24,0.26,-3.63,92.6,86.1,95.6,85.6,0.278,0.414,0.122,0.358,0.66,0.186,0.263,0.342,0.284,101.0,104.0,102.0,0.355,0.15,96.2,0.243,0.392,0.218,0.139,0.238,0.386,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,
6,2024-10-06,775319,Strikeout,strikeout,True,547180,622663,Bryce Harper,Luis Severino,1,406bddd5-5234-413f-9790-4db36ecec3b7,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,90.0,98.0,94.0,143.0,100.0,111.0,92.0,91.0,89.0,0.248,0.081,0.242,0.075,1.05,1.24,0.26,-3.63,92.6,86.1,95.6,85.6,0.278,0.414,0.122,0.358,0.66,0.186,0.263,0.342,0.284,101.0,104.0,102.0,0.355,0.15,96.2,0.243,0.392,0.218,0.139,0.238,0.386,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,
7,2024-10-06,775319,Lineout,field_out,True,592206,622663,Nick Castellanos,Luis Severino,1,b09729ef-371c-43b2-9e8b-66fb69f5d468,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,90.0,98.0,94.0,143.0,100.0,111.0,92.0,91.0,89.0,0.248,0.081,0.242,0.075,1.05,1.24,0.26,-3.63,92.6,86.1,95.6,85.6,0.278,0.414,0.122,0.358,0.66,0.186,0.263,0.342,0.284,101.0,104.0,102.0,0.355,0.15,96.2,0.243,0.392,0.218,0.139,0.238,0.386,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,
8,2024-10-06,775319,Single,single,False,578428,650911,Jose Iglesias,Cristopher Sánchez,1,cd90a281-b308-431d-a65d-377f15ed84d2,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-10-06,775319,Lineout,field_out,True,502110,650911,J.D. Martinez,Cristopher Sánchez,0,5bd400d7-506e-4949-8914-57d52dbf17a9,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
