,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,wFS/C,wSL/C,vFS,vSL,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-16,746843,Groundout,field_out,True,543807,543294,George Springer,Kyle Hendricks,0,a0c0fbbf-496e-47ff-80a1-e84317d1fde1,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,97.0,106.0,97.0,0.367,0.121,0.132,0.379,-2.68,-1.07,0.28,-1.17,87.9,80.9,87.7,74.4,0.277,0.441,0.244,0.339,0.526,0.103,0.22,0.317,0.288,0.36,0.84,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-16,746843,Groundout,field_out,True,662139,543294,Daulton Varsho,Kyle Hendricks,0,9c32658e-4818-4e47-bc8d-f921712f1262,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,97.0,106.0,97.0,0.367,0.121,0.132,0.379,-2.68,-1.07,0.28,-1.17,87.9,80.9,87.7,74.4,0.277,0.441,0.244,0.339,0.526,0.103,0.22,0.317,0.288,0.36,0.84,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-16,746843,Groundout,field_out,True,665489,543294,Vladimir Guerrero Jr.,Kyle Hendricks,0,07fcc784-b6fb-4f10-bca0-5429bc1398d9,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,97.0,106.0,97.0,0.367,0.121,0.132,0.379,-2.68,-1.07,0.28,-1.17,87.9,80.9,87.7,74.4,0.277,0.441,0.244,0.339,0.526,0.103,0.22,0.317,0.288,0.36,0.84,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-16,746843,Double,double,False,664023,684320,Ian Happ,Yariel Rodríguez,0,7eff9048-4ca6-43ad-9756-ec347ae67e59,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.82,4.11,65.1,97.0,96.0,97.0,0.764,9.09,4.27,7.99,1.24,0.96,0.232,0.42,0.155,0.271,0.4,,,,92.0,92.0,98.0,86.0,93.0,89.0,82.0,96.0,95.0,0.09,0.434,0.106,,-0.18,2.14,-3.65,,93.9,,93.2,78.3,,,,0.211,0.211,0.146,0.375,0.875,0.267,0.275,0.45,0.208,118.0,102.0,109.0,87.0,107.0,104.0,0.102,0.268,0.74,0.0,88.9,84.6,0.223,0.408,0.346,0.107,0.143,0.235,,,,,,,,,,,,,,,,,,
4,2024-08-16,746843,Strikeout,strikeout,True,683737,684320,Michael Busch,Yariel Rodríguez,0,5fc1b1c5-2ae9-4625-9bfd-a56abbc39adb,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.82,4.11,65.1,97.0,96.0,97.0,0.764,9.09,4.27,7.99,1.24,0.96,0.232,0.42,0.155,0.271,0.4,,,,92.0,92.0,98.0,86.0,93.0,89.0,82.0,96.0,95.0,0.09,0.434,0.106,,-0.18,2.14,-3.65,,93.9,,93.2,78.3,,,,0.211,0.211,0.146,0.375,0.875,0.267,0.275,0.45,0.208,118.0,102.0,109.0,87.0,107.0,104.0,0.102,0.268,0.74,0.0,88.9,84.6,0.223,0.408,0.346,0.107,0.143,0.235,,,,,,,,,,,,,,,,,,
5,2024-08-16,746843,Pop Out,field_out,True,673548,684320,Seiya Suzuki,Yariel Rodríguez,0,e44d8453-8e1b-46bd-8242-ba415a968655,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.82,4.11,65.1,97.0,96.0,97.0,0.764,9.09,4.27,7.99,1.24,0.96,0.232,0.42,0.155,0.271,0.4,,,,92.0,92.0,98.0,86.0,93.0,89.0,82.0,96.0,95.0,0.09,0.434,0.106,,-0.18,2.14,-3.65,,93.9,,93.2,78.3,,,,0.211,0.211,0.146,0.375,0.875,0.267,0.275,0.45,0.208,118.0,102.0,109.0,87.0,107.0,104.0,0.102,0.268,0.74,0.0,88.9,84.6,0.223,0.408,0.346,0.107,0.143,0.235,,,,,,,,,,,,,,,,,,
6,2024-08-16,746843,Home Run,home_run,False,641355,684320,Cody Bellinger,Yariel Rodríguez,1,af53bec3-f2e8-4a31-bcf1-5c1eff2c72c8,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.82,4.11,65.1,97.0,96.0,97.0,0.764,9.09,4.27,7.99,1.24,0.96,0.232,0.42,0.155,0.271,0.4,,,,92.0,92.0,98.0,86.0,93.0,89.0,82.0,96.0,95.0,0.09,0.434,0.106,,-0.18,2.14,-3.65,,93.9,,93.2,78.3,,,,0.211,0.211,0.146,0.375,0.875,0.267,0.275,0.45,0.208,118.0,102.0,109.0,87.0,107.0,104.0,0.102,0.268,0.74,0.0,88.9,84.6,0.223,0.408,0.346,0.107,0.143,0.235,,,,,,,,,,,,,,,,,,
7,2024-08-16,746843,Flyout,field_out,True,670623,684320,Isaac Paredes,Yariel Rodríguez,0,c118967f-8a0f-4a25-8257-1075c1422f0e,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.82,4.11,65.1,97.0,96.0,97.0,0.764,9.09,4.27,7.99,1.24,0.96,0.232,0.42,0.155,0.271,0.4,,,,92.0,92.0,98.0,86.0,93.0,89.0,82.0,96.0,95.0,0.09,0.434,0.106,,-0.18,2.14,-3.65,,93.9,,93.2,78.3,,,,0.211,0.211,0.146,0.375,0.875,0.267,0.275,0.45,0.208,118.0,102.0,109.0,87.0,107.0,104.0,0.102,0.268,0.74,0.0,88.9,84.6,0.223,0.408,0.346,0.107,0.143,0.235,,,,,,,,,,,,,,,,,,
8,2024-08-16,746843,Flyout,field_out,True,687462,543294,Spencer Horwitz,Kyle Hendricks,0,85bd8889-e0a0-47c6-9295-cf808e9b62c9,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,97.0,106.0,97.0,0.367,0.121,0.132,0.379,-2.68,-1.07,0.28,-1.17,87.9,80.9,87.7,74.4,0.277,0.441,0.244,0.339,0.526,0.103,0.22,0.317,0.288,0.36,0.84,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-16,746843,Groundout,field_out,True,672386,543294,Alejandro Kirk,Kyle Hendricks,0,909923fe-23f6-4eea-a4b3-6f1486d73b70,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.75,5.21,102.2,105.0,95.0,100.0,0.832,6.05,2.81,10.96,1.75,1.34,0.232,0.401,0.212,0.295,0.402,106.0,107.0,107.0,90.0,110.0,108.0,61.0,91.0,84.0,97.0,106.0,97.0,0.367,0.121,0.132,0.379,-2.68,-1.07,0.28,-1.17,87.9,80.9,87.7,74.4,0.277,0.441,0.244,0.339,0.526,0.103,0.22,0.317,0.288,0.36,0.84,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
