,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-06-16,744839,Single,single,False,665862,680730,Jazz Chisholm Jr.,Mitchell Parker,0,30404e44-028b-44c7-ba3b-88dddaebc2a3,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-16,744839,Flyout,field_out,True,669394,680730,Jake Burger,Mitchell Parker,0,ac70a102-6a57-43df-95bf-ea33189c0c10,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-16,744839,Strikeout,strikeout,True,650559,680730,Bryan De La Cruz,Mitchell Parker,0,d735c3d9-6d53-4aa2-9532-ae4b376ac412,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-16,744839,Lineout,field_out,True,605137,680730,Josh Bell,Mitchell Parker,0,25cb7015-3107-412e-9c5c-4e361f94bc81,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-16,744839,Flyout,field_out,True,682928,666200,CJ Abrams,Jesús Luzardo,0,8b2f339b-a0cb-4208-803c-0831a317f1c4,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
5,2024-06-16,744839,Home Run,home_run,False,657041,666200,Lane Thomas,Jesús Luzardo,0,6c6e76bf-efa5-4d8c-a09a-1c40103b83d5,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
6,2024-06-16,744839,Strikeout,strikeout,True,608841,666200,Joey Meneses,Jesús Luzardo,0,a137cc90-1327-4d48-909f-1c9ff0253475,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
7,2024-06-16,744839,Walk,walk,False,669222,666200,Nick Senzel,Jesús Luzardo,0,abc4eb56-93bf-4e44-aed0-7bf05f7c6f25,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
8,2024-06-16,744839,Forceout,force_out,True,545121,666200,Ildemaro Vargas,Jesús Luzardo,1,d03d451c-7ba6-4b8c-9e12-00851bf6345c,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
9,2024-06-16,744839,Field Error,field_error,False,660821,680730,Jesús Sánchez,Mitchell Parker,0,32ad796b-cf94-4cce-ae6e-02eb26a58a3a,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
