,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-14,746759,Strikeout,strikeout,True,657077,663436,Alex Verdugo,Davis Martin,0,fe10f447-6ca0-4e08-94b7-f6477df2f0ff,663436.0,davismartin,Martin,Right,Davis Martin,CHW,2.96,3.78,27.1,99.0,102.0,97.0,0.788,8.56,4.28,8.56,0.66,1.39,0.238,0.413,0.15,0.313,0.417,146.0,104.0,107.0,94.0,87.0,93.0,93.0,90.0,87.0,111.0,108.0,109.0,83.0,100.0,91.0,0.278,0.182,0.271,0.089,0.18,-2.9,2.84,0.34,0.47,1.94,93.7,89.2,88.6,83.7,78.5,0.143,0.357,0.333,0.435,0.565,0.157,0.28,0.28,0.224,0.15,0.15,0.195,0.2,0.2,0.308,,,,,,,,,,,,
1,2024-08-14,746759,Home Run,home_run,False,665742,663436,Juan Soto,Davis Martin,0,5e365c9d-8872-485a-b6bc-4b902615eedf,663436.0,davismartin,Martin,Right,Davis Martin,CHW,2.96,3.78,27.1,99.0,102.0,97.0,0.788,8.56,4.28,8.56,0.66,1.39,0.238,0.413,0.15,0.313,0.417,146.0,104.0,107.0,94.0,87.0,93.0,93.0,90.0,87.0,111.0,108.0,109.0,83.0,100.0,91.0,0.278,0.182,0.271,0.089,0.18,-2.9,2.84,0.34,0.47,1.94,93.7,89.2,88.6,83.7,78.5,0.143,0.357,0.333,0.435,0.565,0.157,0.28,0.28,0.224,0.15,0.15,0.195,0.2,0.2,0.308,,,,,,,,,,,,
2,2024-08-14,746759,Strikeout,strikeout,True,592450,663436,Aaron Judge,Davis Martin,0,db671d3c-b03d-46c7-8b81-01d3221228e3,663436.0,davismartin,Martin,Right,Davis Martin,CHW,2.96,3.78,27.1,99.0,102.0,97.0,0.788,8.56,4.28,8.56,0.66,1.39,0.238,0.413,0.15,0.313,0.417,146.0,104.0,107.0,94.0,87.0,93.0,93.0,90.0,87.0,111.0,108.0,109.0,83.0,100.0,91.0,0.278,0.182,0.271,0.089,0.18,-2.9,2.84,0.34,0.47,1.94,93.7,89.2,88.6,83.7,78.5,0.143,0.357,0.333,0.435,0.565,0.157,0.28,0.28,0.224,0.15,0.15,0.195,0.2,0.2,0.308,,,,,,,,,,,,
3,2024-08-14,746759,Groundout,field_out,True,669224,663436,Austin Wells,Davis Martin,0,e3231008-2c57-47c3-9f32-bf9ed4a31867,663436.0,davismartin,Martin,Right,Davis Martin,CHW,2.96,3.78,27.1,99.0,102.0,97.0,0.788,8.56,4.28,8.56,0.66,1.39,0.238,0.413,0.15,0.313,0.417,146.0,104.0,107.0,94.0,87.0,93.0,93.0,90.0,87.0,111.0,108.0,109.0,83.0,100.0,91.0,0.278,0.182,0.271,0.089,0.18,-2.9,2.84,0.34,0.47,1.94,93.7,89.2,88.6,83.7,78.5,0.143,0.357,0.333,0.435,0.565,0.157,0.28,0.28,0.224,0.15,0.15,0.195,0.2,0.2,0.308,,,,,,,,,,,,
4,2024-08-14,746759,Groundout,field_out,True,670032,701542,Nicky Lopez,Will Warren,0,907f143f-9234-4326-be65-480437254807,701542.0,willwarren,"Warren, W",Right,Will Warren,NYY,9.68,4.32,17.2,100.0,102.0,104.0,0.75,11.72,3.06,13.25,1.53,0.65,0.204,0.352,0.148,0.37,0.389,91.0,102.0,106.0,,,,91.0,103.0,102.0,128.0,86.0,96.0,110.0,115.0,125.0,0.325,0.053,0.256,,0.139,1.79,-6.37,-2.77,,-3.74,93.8,86.6,86.3,83.1,,,,,0.091,0.273,0.222,0.444,0.667,0.364,0.6,0.6,0.273,,,,95.0,105.0,109.0,0.228,-5.09,93.1,0.522,0.87,0.227,0.294,0.588,0.333
5,2024-08-14,746759,Strikeout,strikeout,True,673357,701542,Luis Robert Jr.,Will Warren,0,a965d080-4232-498e-8df0-4a4e6fd64fb3,701542.0,willwarren,"Warren, W",Right,Will Warren,NYY,9.68,4.32,17.2,100.0,102.0,104.0,0.75,11.72,3.06,13.25,1.53,0.65,0.204,0.352,0.148,0.37,0.389,91.0,102.0,106.0,,,,91.0,103.0,102.0,128.0,86.0,96.0,110.0,115.0,125.0,0.325,0.053,0.256,,0.139,1.79,-6.37,-2.77,,-3.74,93.8,86.6,86.3,83.1,,,,,0.091,0.273,0.222,0.444,0.667,0.364,0.6,0.6,0.273,,,,95.0,105.0,109.0,0.228,-5.09,93.1,0.522,0.87,0.227,0.294,0.588,0.333
6,2024-08-14,746759,Double,double,False,643217,701542,Andrew Benintendi,Will Warren,0,df7bd72b-1350-4a2e-8794-174d8e697803,701542.0,willwarren,"Warren, W",Right,Will Warren,NYY,9.68,4.32,17.2,100.0,102.0,104.0,0.75,11.72,3.06,13.25,1.53,0.65,0.204,0.352,0.148,0.37,0.389,91.0,102.0,106.0,,,,91.0,103.0,102.0,128.0,86.0,96.0,110.0,115.0,125.0,0.325,0.053,0.256,,0.139,1.79,-6.37,-2.77,,-3.74,93.8,86.6,86.3,83.1,,,,,0.091,0.273,0.222,0.444,0.667,0.364,0.6,0.6,0.273,,,,95.0,105.0,109.0,0.228,-5.09,93.1,0.522,0.87,0.227,0.294,0.588,0.333
7,2024-08-14,746759,Flyout,field_out,True,683734,701542,Andrew Vaughn,Will Warren,0,a3dce1c1-737e-4f3e-a77f-8d7961b03137,701542.0,willwarren,"Warren, W",Right,Will Warren,NYY,9.68,4.32,17.2,100.0,102.0,104.0,0.75,11.72,3.06,13.25,1.53,0.65,0.204,0.352,0.148,0.37,0.389,91.0,102.0,106.0,,,,91.0,103.0,102.0,128.0,86.0,96.0,110.0,115.0,125.0,0.325,0.053,0.256,,0.139,1.79,-6.37,-2.77,,-3.74,93.8,86.6,86.3,83.1,,,,,0.091,0.273,0.222,0.444,0.667,0.364,0.6,0.6,0.273,,,,95.0,105.0,109.0,0.228,-5.09,93.1,0.522,0.87,0.227,0.294,0.588,0.333
8,2024-08-14,746759,Groundout,field_out,True,650402,663436,Gleyber Torres,Davis Martin,0,bb89feea-2168-4a28-aad0-8d06121b0b99,663436.0,davismartin,Martin,Right,Davis Martin,CHW,2.96,3.78,27.1,99.0,102.0,97.0,0.788,8.56,4.28,8.56,0.66,1.39,0.238,0.413,0.15,0.313,0.417,146.0,104.0,107.0,94.0,87.0,93.0,93.0,90.0,87.0,111.0,108.0,109.0,83.0,100.0,91.0,0.278,0.182,0.271,0.089,0.18,-2.9,2.84,0.34,0.47,1.94,93.7,89.2,88.6,83.7,78.5,0.143,0.357,0.333,0.435,0.565,0.157,0.28,0.28,0.224,0.15,0.15,0.195,0.2,0.2,0.308,,,,,,,,,,,,
9,2024-08-14,746759,Strikeout,strikeout,True,663757,663436,Trent Grisham,Davis Martin,0,c20cf67f-0882-4644-b2f4-076e0e3e6e82,663436.0,davismartin,Martin,Right,Davis Martin,CHW,2.96,3.78,27.1,99.0,102.0,97.0,0.788,8.56,4.28,8.56,0.66,1.39,0.238,0.413,0.15,0.313,0.417,146.0,104.0,107.0,94.0,87.0,93.0,93.0,90.0,87.0,111.0,108.0,109.0,83.0,100.0,91.0,0.278,0.182,0.271,0.089,0.18,-2.9,2.84,0.34,0.47,1.94,93.7,89.2,88.6,83.7,78.5,0.143,0.357,0.333,0.435,0.565,0.157,0.28,0.28,0.224,0.15,0.15,0.195,0.2,0.2,0.308,,,,,,,,,,,,
