,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wCU/C,vFA,vFC,vFS,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff
0,2024-06-30,745072,Strikeout,strikeout,True,682928,671737,CJ Abrams,Taj Bradley,0,d9c544be-f300-4262-a0a1-8aaf2fcbc02e,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-30,745072,Groundout,field_out,True,657041,671737,Lane Thomas,Taj Bradley,0,737f469a-2678-4adc-bf73-2a17814b419f,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-30,745072,Walk,walk,False,608385,671737,Jesse Winker,Taj Bradley,0,f1844aa7-f684-42f3-9d69-669e32a16dea,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-30,745072,Strikeout,strikeout,True,623912,671737,Harold Ramírez,Taj Bradley,0,58d3b986-bfe0-4530-b9fd-7b9f5fba2a73,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-30,745072,Strikeout,strikeout,True,650490,571578,Yandy Díaz,Patrick Corbin,0,c3b97a76-c49e-4c0b-a5e0-0b4d8d8ca269,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,79.0,106.0,99.0,,,,0.103,0.179,,,-1.09,0.23,,,91.3,84.5,,,0.324,0.541,0.117,,,,0.253,0.38,0.236,,,,88.0,95.0,96.0,71.0,102.0,92.0,85.0,96.0,96.0,0.352,0.316,0.05,-1.8,0.02,-4.62,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.4,0.65,0.275
5,2024-06-30,745072,Groundout,field_out,True,668227,571578,Randy Arozarena,Patrick Corbin,0,fcf4e331-6f11-4557-a870-20720eac312e,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,79.0,106.0,99.0,,,,0.103,0.179,,,-1.09,0.23,,,91.3,84.5,,,0.324,0.541,0.117,,,,0.253,0.38,0.236,,,,88.0,95.0,96.0,71.0,102.0,92.0,85.0,96.0,96.0,0.352,0.316,0.05,-1.8,0.02,-4.62,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.4,0.65,0.275
6,2024-06-30,745072,Groundout,field_out,True,642708,571578,Amed Rosario,Patrick Corbin,0,b5e34d38-b598-4de6-8e3c-74aa08e5b0ea,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,79.0,106.0,99.0,,,,0.103,0.179,,,-1.09,0.23,,,91.3,84.5,,,0.324,0.541,0.117,,,,0.253,0.38,0.236,,,,88.0,95.0,96.0,71.0,102.0,92.0,85.0,96.0,96.0,0.352,0.316,0.05,-1.8,0.02,-4.62,81.2,91.4,79.7,0.326,0.578,0.089,0.25,0.384,0.352,0.4,0.65,0.275
7,2024-06-30,745072,Strikeout,strikeout,True,671277,671737,Luis García Jr.,Taj Bradley,0,5658028e-68cd-4ffc-b8a4-855353bb39d0,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-06-30,745072,Strikeout,strikeout,True,608841,671737,Joey Meneses,Taj Bradley,0,57dd731a-3822-4bbf-8e9c-faab284b708b,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-30,745072,Strikeout,strikeout,True,545121,671737,Ildemaro Vargas,Taj Bradley,0,a8c87f1b-5c92-4e16-b4b3-50b36d2fcadd,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
