,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
24,2024-06-17,746868,Strikeout,strikeout,True,624424,665871,Michael Conforto,Javier Assad,0,33fd80d1-0d9b-4f4e-b3a1-f9ff0fcbe6af,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
25,2024-06-17,746868,Walk,walk,False,624585,665871,Jorge Soler,Javier Assad,0,582e1e0a-67a6-4d67-935c-3825e2927bcb,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
26,2024-06-17,746868,Triple,triple,False,573262,665871,Mike Yastrzemski,Javier Assad,1,7c90e284-4fb8-47fd-ba1c-086b9911fae8,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
27,2024-06-17,746868,Groundout,field_out,True,642731,665871,Thairo Estrada,Javier Assad,0,e0ab67b5-bd76-4e40-83dc-ccde1ba2839a,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
28,2024-06-17,746868,Flyout,field_out,True,641355,663855,Cody Bellinger,Jordan Hicks,0,5811f2bf-82a9-4db8-816c-41b01717f37e,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
29,2024-06-17,746868,Strikeout,strikeout,True,673548,663855,Seiya Suzuki,Jordan Hicks,0,cd7ed776-4421-41cd-9f7f-8ad815714b5f,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
30,2024-06-17,746868,Single,single,False,664023,663855,Ian Happ,Jordan Hicks,0,76660fca-0eb8-4c1b-a653-9c473feecf4a,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
31,2024-06-17,746868,Single,single,False,663538,663855,Nico Hoerner,Jordan Hicks,1,13f7248e-fda2-4cf4-ac1a-eb269f1dfce0,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
32,2024-06-17,746868,Walk,walk,False,683737,663855,Michael Busch,Jordan Hicks,1,99fdc399-c15e-4a0a-b262-bf0e21c7755b,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
33,2024-06-17,746868,Groundout,field_out,True,621020,663855,Dansby Swanson,Jordan Hicks,0,82215fe7-7f41-46fe-b7d2-4aa8f4bbe185,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
34,2024-06-17,746868,Strikeout,strikeout,True,670092,665871,Trenton Brooks,Javier Assad,0,44552d35-128d-453e-9ef1-cfef96eb44cb,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
35,2024-06-17,746868,Flyout,field_out,True,689172,665871,Brett Wisely,Javier Assad,0,703ca03b-aa9f-450c-b719-4e64f5fe6d7f,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
