,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,vSC (sc),SC%,wSC/C,SL_ba,SL_slg,SL_whiff
0,2024-09-04,746835,Pop Out,field_out,True,643396,684007,Isiah Kiner-Falefa,Shota Imanaga,0,1b5fee75-c332-4aa7-81fe-685ee79005f7,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.99,3.44,153.1,105.0,90.0,104.0,0.741,9.1,1.47,7.69,1.35,0.76,0.215,0.453,0.169,0.298,0.439,85.0,103.0,104.0,70.0,95.0,96.0,95.0,105.0,105.0,75.0,107.0,97.0,104.0,107.0,106.0,51.0,107.0,96.0,81.0,106.0,100.0,0.016,0.53,0.005,0.306,0.075,0.036,0.0,0.032,0.72,-6.32,0.98,3.26,-0.56,-0.68,-76.57,0.37,91.7,89.8,82.9,81.6,88.5,81.7,72.7,53.9,0.219,0.439,0.177,0.217,0.304,0.422,0.282,0.308,0.357,0.182,0.227,0.3,0.444,0.556,0.0,0.0,0.0,0.438,0.333,1.333,0.143,,,,,,
1,2024-09-04,746835,Field Error,field_error,False,668804,684007,Bryan Reynolds,Shota Imanaga,0,e1fd6806-8c37-4a66-a130-d1c160040a41,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.99,3.44,153.1,105.0,90.0,104.0,0.741,9.1,1.47,7.69,1.35,0.76,0.215,0.453,0.169,0.298,0.439,85.0,103.0,104.0,70.0,95.0,96.0,95.0,105.0,105.0,75.0,107.0,97.0,104.0,107.0,106.0,51.0,107.0,96.0,81.0,106.0,100.0,0.016,0.53,0.005,0.306,0.075,0.036,0.0,0.032,0.72,-6.32,0.98,3.26,-0.56,-0.68,-76.57,0.37,91.7,89.8,82.9,81.6,88.5,81.7,72.7,53.9,0.219,0.439,0.177,0.217,0.304,0.422,0.282,0.308,0.357,0.182,0.227,0.3,0.444,0.556,0.0,0.0,0.0,0.438,0.333,1.333,0.143,,,,,,
2,2024-09-04,746835,Grounded Into DP,grounded_into_double_play,True,693304,684007,Nick Gonzales,Shota Imanaga,1,d14bec73-e44f-4010-93ca-84115200a9aa,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.99,3.44,153.1,105.0,90.0,104.0,0.741,9.1,1.47,7.69,1.35,0.76,0.215,0.453,0.169,0.298,0.439,85.0,103.0,104.0,70.0,95.0,96.0,95.0,105.0,105.0,75.0,107.0,97.0,104.0,107.0,106.0,51.0,107.0,96.0,81.0,106.0,100.0,0.016,0.53,0.005,0.306,0.075,0.036,0.0,0.032,0.72,-6.32,0.98,3.26,-0.56,-0.68,-76.57,0.37,91.7,89.8,82.9,81.6,88.5,81.7,72.7,53.9,0.219,0.439,0.177,0.217,0.304,0.422,0.282,0.308,0.357,0.182,0.227,0.3,0.444,0.556,0.0,0.0,0.0,0.438,0.333,1.333,0.143,,,,,,
3,2024-09-04,746835,Single,single,False,664023,593334,Ian Happ,Domingo Germán,0,268020f2-e0d6-4894-bd5c-42aafe177b16,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,7.84,5.63,20.2,96.0,93.0,96.0,0.804,7.84,5.66,10.89,1.74,0.73,0.152,0.561,0.182,0.273,0.389,115.0,108.0,111.0,107.0,97.0,100.0,71.0,89.0,86.0,61.0,95.0,78.0,,,,,,,,,,0.043,0.399,,,,0.332,,0.225,-3.03,,,7.57,,-0.83,,-0.92,90.7,,,84.4,90.7,,81.8,,0.344,0.531,0.107,,,,,,,0.333,0.389,0.24,0.25,0.5,0.258,0.167,0.167,0.2,,,,,,,,,
4,2024-09-04,746835,Walk,walk,False,683737,593334,Michael Busch,Domingo Germán,1,902439e5-8836-4390-967c-0f0d7d1fd240,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,7.84,5.63,20.2,96.0,93.0,96.0,0.804,7.84,5.66,10.89,1.74,0.73,0.152,0.561,0.182,0.273,0.389,115.0,108.0,111.0,107.0,97.0,100.0,71.0,89.0,86.0,61.0,95.0,78.0,,,,,,,,,,0.043,0.399,,,,0.332,,0.225,-3.03,,,7.57,,-0.83,,-0.92,90.7,,,84.4,90.7,,81.8,,0.344,0.531,0.107,,,,,,,0.333,0.389,0.24,0.25,0.5,0.258,0.167,0.167,0.2,,,,,,,,,
5,2024-09-04,746835,Single,single,False,673548,593334,Seiya Suzuki,Domingo Germán,1,885b0a8a-2540-4cca-9706-c898a30eb420,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,7.84,5.63,20.2,96.0,93.0,96.0,0.804,7.84,5.66,10.89,1.74,0.73,0.152,0.561,0.182,0.273,0.389,115.0,108.0,111.0,107.0,97.0,100.0,71.0,89.0,86.0,61.0,95.0,78.0,,,,,,,,,,0.043,0.399,,,,0.332,,0.225,-3.03,,,7.57,,-0.83,,-0.92,90.7,,,84.4,90.7,,81.8,,0.344,0.531,0.107,,,,,,,0.333,0.389,0.24,0.25,0.5,0.258,0.167,0.167,0.2,,,,,,,,,
6,2024-09-04,746835,Double Play,double_play,True,641355,593334,Cody Bellinger,Domingo Germán,1,8fec0365-aeff-451b-b33c-cad8b08b4710,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,7.84,5.63,20.2,96.0,93.0,96.0,0.804,7.84,5.66,10.89,1.74,0.73,0.152,0.561,0.182,0.273,0.389,115.0,108.0,111.0,107.0,97.0,100.0,71.0,89.0,86.0,61.0,95.0,78.0,,,,,,,,,,0.043,0.399,,,,0.332,,0.225,-3.03,,,7.57,,-0.83,,-0.92,90.7,,,84.4,90.7,,81.8,,0.344,0.531,0.107,,,,,,,0.333,0.389,0.24,0.25,0.5,0.258,0.167,0.167,0.2,,,,,,,,,
7,2024-09-04,746835,Groundout,field_out,True,670623,593334,Isaac Paredes,Domingo Germán,0,9e5c423c-1479-485e-94b9-ceee620be906,593334.0,domingogerman,Germán,Right,Domingo Germán,PIT,7.84,5.63,20.2,96.0,93.0,96.0,0.804,7.84,5.66,10.89,1.74,0.73,0.152,0.561,0.182,0.273,0.389,115.0,108.0,111.0,107.0,97.0,100.0,71.0,89.0,86.0,61.0,95.0,78.0,,,,,,,,,,0.043,0.399,,,,0.332,,0.225,-3.03,,,7.57,,-0.83,,-0.92,90.7,,,84.4,90.7,,81.8,,0.344,0.531,0.107,,,,,,,0.333,0.389,0.24,0.25,0.5,0.258,0.167,0.167,0.2,,,,,,,,,
8,2024-09-04,746835,Groundout,field_out,True,665833,684007,Oneil Cruz,Shota Imanaga,0,79effe73-e1ed-4294-9d60-d29c385cc5b6,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.99,3.44,153.1,105.0,90.0,104.0,0.741,9.1,1.47,7.69,1.35,0.76,0.215,0.453,0.169,0.298,0.439,85.0,103.0,104.0,70.0,95.0,96.0,95.0,105.0,105.0,75.0,107.0,97.0,104.0,107.0,106.0,51.0,107.0,96.0,81.0,106.0,100.0,0.016,0.53,0.005,0.306,0.075,0.036,0.0,0.032,0.72,-6.32,0.98,3.26,-0.56,-0.68,-76.57,0.37,91.7,89.8,82.9,81.6,88.5,81.7,72.7,53.9,0.219,0.439,0.177,0.217,0.304,0.422,0.282,0.308,0.357,0.182,0.227,0.3,0.444,0.556,0.0,0.0,0.0,0.438,0.333,1.333,0.143,,,,,,
9,2024-09-04,746835,Walk,walk,False,656582,684007,Connor Joe,Shota Imanaga,0,24fedb8f-d446-4a20-8cd2-c10cdfddf90a,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.99,3.44,153.1,105.0,90.0,104.0,0.741,9.1,1.47,7.69,1.35,0.76,0.215,0.453,0.169,0.298,0.439,85.0,103.0,104.0,70.0,95.0,96.0,95.0,105.0,105.0,75.0,107.0,97.0,104.0,107.0,106.0,51.0,107.0,96.0,81.0,106.0,100.0,0.016,0.53,0.005,0.306,0.075,0.036,0.0,0.032,0.72,-6.32,0.98,3.26,-0.56,-0.68,-76.57,0.37,91.7,89.8,82.9,81.6,88.5,81.7,72.7,53.9,0.219,0.439,0.177,0.217,0.304,0.422,0.282,0.308,0.357,0.182,0.227,0.3,0.444,0.556,0.0,0.0,0.0,0.438,0.333,1.333,0.143,,,,,,
