,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-09-11,745214,Flyout,field_out,True,650333,693433,Luis Arraez,Bryan Woo,0,e0c92105-c4f9-4173-bcac-7b14af8161c2,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.38,2.57,105.2,108.0,104.0,108.0,0.807,6.98,0.85,6.56,0.94,0.97,0.294,0.356,0.146,0.243,0.513,88.0,102.0,97.0,97.0,110.0,107.0,116.0,111.0,111.0,115.0,102.0,110.0,0.23,0.498,0.176,0.096,1.54,2.27,1.84,0.83,94.8,89.6,94.6,84.3,0.212,0.347,0.25,0.213,0.306,0.099,0.176,0.314,0.171,0.063,0.063,0.388,0.25,0.429,0.2,,,,,,,,,,,,,,,,,,
1,2024-09-11,745214,Groundout,field_out,True,665487,693433,Fernando Tatis Jr.,Bryan Woo,0,fde75978-5c73-49a9-8c8d-bc01106b18be,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.38,2.57,105.2,108.0,104.0,108.0,0.807,6.98,0.85,6.56,0.94,0.97,0.294,0.356,0.146,0.243,0.513,88.0,102.0,97.0,97.0,110.0,107.0,116.0,111.0,111.0,115.0,102.0,110.0,0.23,0.498,0.176,0.096,1.54,2.27,1.84,0.83,94.8,89.6,94.6,84.3,0.212,0.347,0.25,0.213,0.306,0.099,0.176,0.314,0.171,0.063,0.063,0.388,0.25,0.429,0.2,,,,,,,,,,,,,,,,,,
2,2024-09-11,745214,Lineout,field_out,True,595777,693433,Jurickson Profar,Bryan Woo,0,8cd8be6d-e4e7-4f1c-9de5-3f232bb14993,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.38,2.57,105.2,108.0,104.0,108.0,0.807,6.98,0.85,6.56,0.94,0.97,0.294,0.356,0.146,0.243,0.513,88.0,102.0,97.0,97.0,110.0,107.0,116.0,111.0,111.0,115.0,102.0,110.0,0.23,0.498,0.176,0.096,1.54,2.27,1.84,0.83,94.8,89.6,94.6,84.3,0.212,0.347,0.25,0.213,0.306,0.099,0.176,0.314,0.171,0.063,0.063,0.388,0.25,0.429,0.2,,,,,,,,,,,,,,,,,,
3,2024-09-11,745214,Strikeout,strikeout,True,645302,650633,Victor Robles,Michael King,0,b1cb2a29-4a7e-468a-8ff5-49255a7091b0,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.06,3.48,161.2,102.0,94.0,100.0,0.731,10.63,3.34,7.57,0.95,1.09,0.232,0.434,0.209,0.263,0.417,88.0,103.0,97.0,85.0,103.0,101.0,88.0,104.0,98.0,114.0,97.0,102.0,0.274,0.243,0.233,0.25,-0.07,0.67,-0.39,1.53,93.7,86.7,92.9,82.9,0.262,0.397,0.259,0.199,0.391,0.183,0.211,0.292,0.365,0.223,0.33,0.349,0.267,0.5,0.305,,,,,,,,,,,,,,,,,,
4,2024-09-11,745214,Pop Out,field_out,True,677594,650633,Julio Rodríguez,Michael King,0,aa683061-ba21-46d4-8274-6a2fa6dfd56d,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.06,3.48,161.2,102.0,94.0,100.0,0.731,10.63,3.34,7.57,0.95,1.09,0.232,0.434,0.209,0.263,0.417,88.0,103.0,97.0,85.0,103.0,101.0,88.0,104.0,98.0,114.0,97.0,102.0,0.274,0.243,0.233,0.25,-0.07,0.67,-0.39,1.53,93.7,86.7,92.9,82.9,0.262,0.397,0.259,0.199,0.391,0.183,0.211,0.292,0.365,0.223,0.33,0.349,0.267,0.5,0.305,,,,,,,,,,,,,,,,,,
5,2024-09-11,745214,Strikeout,strikeout,True,663728,650633,Cal Raleigh,Michael King,0,abdf5e1c-8a3d-4eb2-9362-2c14bbccebd1,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.06,3.48,161.2,102.0,94.0,100.0,0.731,10.63,3.34,7.57,0.95,1.09,0.232,0.434,0.209,0.263,0.417,88.0,103.0,97.0,85.0,103.0,101.0,88.0,104.0,98.0,114.0,97.0,102.0,0.274,0.243,0.233,0.25,-0.07,0.67,-0.39,1.53,93.7,86.7,92.9,82.9,0.262,0.397,0.259,0.199,0.391,0.183,0.211,0.292,0.365,0.223,0.33,0.349,0.267,0.5,0.305,,,,,,,,,,,,,,,,,,
6,2024-09-11,745214,Groundout,field_out,True,592518,693433,Manny Machado,Bryan Woo,0,8a0e018a-865a-44ef-a23f-ee1711de9b9a,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.38,2.57,105.2,108.0,104.0,108.0,0.807,6.98,0.85,6.56,0.94,0.97,0.294,0.356,0.146,0.243,0.513,88.0,102.0,97.0,97.0,110.0,107.0,116.0,111.0,111.0,115.0,102.0,110.0,0.23,0.498,0.176,0.096,1.54,2.27,1.84,0.83,94.8,89.6,94.6,84.3,0.212,0.347,0.25,0.213,0.306,0.099,0.176,0.314,0.171,0.063,0.063,0.388,0.25,0.429,0.2,,,,,,,,,,,,,,,,,,
7,2024-09-11,745214,Flyout,field_out,True,630105,693433,Jake Cronenworth,Bryan Woo,0,6e609516-20dc-449d-99b9-2c59cacdadab,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.38,2.57,105.2,108.0,104.0,108.0,0.807,6.98,0.85,6.56,0.94,0.97,0.294,0.356,0.146,0.243,0.513,88.0,102.0,97.0,97.0,110.0,107.0,116.0,111.0,111.0,115.0,102.0,110.0,0.23,0.498,0.176,0.096,1.54,2.27,1.84,0.83,94.8,89.6,94.6,84.3,0.212,0.347,0.25,0.213,0.306,0.099,0.176,0.314,0.171,0.063,0.063,0.388,0.25,0.429,0.2,,,,,,,,,,,,,,,,,,
8,2024-09-11,745214,Groundout,field_out,True,593428,693433,Xander Bogaerts,Bryan Woo,0,06e97986-615a-4dca-92cc-63a3f7371014,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.38,2.57,105.2,108.0,104.0,108.0,0.807,6.98,0.85,6.56,0.94,0.97,0.294,0.356,0.146,0.243,0.513,88.0,102.0,97.0,97.0,110.0,107.0,116.0,111.0,111.0,115.0,102.0,110.0,0.23,0.498,0.176,0.096,1.54,2.27,1.84,0.83,94.8,89.6,94.6,84.3,0.212,0.347,0.25,0.213,0.306,0.099,0.176,0.314,0.171,0.063,0.063,0.388,0.25,0.429,0.2,,,,,,,,,,,,,,,,,,
9,2024-09-11,745214,Double,double,False,668227,650633,Randy Arozarena,Michael King,0,9f8d45c4-75b6-4550-939e-be749b4770e7,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.06,3.48,161.2,102.0,94.0,100.0,0.731,10.63,3.34,7.57,0.95,1.09,0.232,0.434,0.209,0.263,0.417,88.0,103.0,97.0,85.0,103.0,101.0,88.0,104.0,98.0,114.0,97.0,102.0,0.274,0.243,0.233,0.25,-0.07,0.67,-0.39,1.53,93.7,86.7,92.9,82.9,0.262,0.397,0.259,0.199,0.391,0.183,0.211,0.292,0.365,0.223,0.33,0.349,0.267,0.5,0.305,,,,,,,,,,,,,,,,,,
