,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff
0,2024-07-03,746128,Single,single,False,682998,694813,Corbin Carroll,Gavin Stone,0,eadc520d-35d5-488b-9dee-97e9a727c79b,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,95.0,100.0,100.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,80.0,100.0,95.0,0.234,0.247,0.061,0.162,0.033,0.262,0.31,2.5,-0.5,1.06,3.38,0.85,94.7,92.3,87.2,95.2,88.9,83.3,0.184,0.34,0.338,0.333,0.495,0.146,0.247,0.36,0.148,0.247,0.315,0.346,0.286,0.286,0.173,0.111,0.111,0.188
1,2024-07-03,746128,Lineout,field_out,True,606466,694813,Ketel Marte,Gavin Stone,0,f0d658cc-2479-4391-b862-f7755e7d48c9,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,95.0,100.0,100.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,80.0,100.0,95.0,0.234,0.247,0.061,0.162,0.033,0.262,0.31,2.5,-0.5,1.06,3.38,0.85,94.7,92.3,87.2,95.2,88.9,83.3,0.184,0.34,0.338,0.333,0.495,0.146,0.247,0.36,0.148,0.247,0.315,0.346,0.286,0.286,0.173,0.111,0.111,0.188
2,2024-07-03,746128,Walk,walk,False,592626,694813,Joc Pederson,Gavin Stone,1,299dd735-ca92-4f2d-ad55-d8e4ffb19b48,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,95.0,100.0,100.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,80.0,100.0,95.0,0.234,0.247,0.061,0.162,0.033,0.262,0.31,2.5,-0.5,1.06,3.38,0.85,94.7,92.3,87.2,95.2,88.9,83.3,0.184,0.34,0.338,0.333,0.495,0.146,0.247,0.36,0.148,0.247,0.315,0.346,0.286,0.286,0.173,0.111,0.111,0.188
3,2024-07-03,746128,Walk,walk,False,572233,694813,Christian Walker,Gavin Stone,1,6fd1c238-c58b-41df-8743-6150b5cd78d3,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,95.0,100.0,100.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,80.0,100.0,95.0,0.234,0.247,0.061,0.162,0.033,0.262,0.31,2.5,-0.5,1.06,3.38,0.85,94.7,92.3,87.2,95.2,88.9,83.3,0.184,0.34,0.338,0.333,0.495,0.146,0.247,0.36,0.148,0.247,0.315,0.346,0.286,0.286,0.173,0.111,0.111,0.188
4,2024-07-03,746128,Sac Fly,sac_fly,True,666971,694813,Lourdes Gurriel Jr.,Gavin Stone,1,0e53f5fc-a1de-46b2-893d-a326828a029f,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,95.0,100.0,100.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,80.0,100.0,95.0,0.234,0.247,0.061,0.162,0.033,0.262,0.31,2.5,-0.5,1.06,3.38,0.85,94.7,92.3,87.2,95.2,88.9,83.3,0.184,0.34,0.338,0.333,0.495,0.146,0.247,0.36,0.148,0.247,0.315,0.346,0.286,0.286,0.173,0.111,0.111,0.188
5,2024-07-03,746128,Flyout,field_out,True,664983,694813,Jake McCarthy,Gavin Stone,0,7c1b396b-8e36-4d53-b9de-d3002ecb6851,694813.0,gavinstone,Stone,Right,Gavin Stone,LAD,3.19,3.8,101.2,103.0,97.0,101.0,0.776,6.99,2.48,8.59,0.8,1.26,0.25,0.397,0.17,0.292,0.411,80.0,103.0,98.0,95.0,100.0,100.0,97.0,99.0,96.0,96.0,103.0,97.0,133.0,112.0,121.0,80.0,100.0,95.0,0.234,0.247,0.061,0.162,0.033,0.262,0.31,2.5,-0.5,1.06,3.38,0.85,94.7,92.3,87.2,95.2,88.9,83.3,0.184,0.34,0.338,0.333,0.495,0.146,0.247,0.36,0.148,0.247,0.315,0.346,0.286,0.286,0.173,0.111,0.111,0.188
6,2024-07-03,746128,Single,single,False,660271,691441,Shohei Ohtani,Cristian Mena,0,d9c73d5c-8e8e-422b-80ec-c18fdc639ba4,691441.0,cristianmena,Mena,Right,Cristian Mena,ARI,12.0,10.89,3.0,94.0,109.0,95.0,0.735,6.0,9.0,12.0,6.0,0.8,0.1,0.3,0.1,0.3,0.357,114.0,76.0,65.0,108.0,93.0,91.0,116.0,92.0,93.0,82.0,91.0,90.0,121.0,126.0,138.0,,,,0.086,0.386,,0.1,0.314,0.114,-3.65,,-1.47,-15.1,-0.58,-6.63,95.3,,92.7,95.6,87.5,87.1,,,,,,,0.333,1.333,0.273,,,,,,,0.167,0.167,0.273
7,2024-07-03,746128,Walk,walk,False,669257,691441,Will Smith,Cristian Mena,1,a6242807-4fbd-43ac-8baa-51576e77881a,691441.0,cristianmena,Mena,Right,Cristian Mena,ARI,12.0,10.89,3.0,94.0,109.0,95.0,0.735,6.0,9.0,12.0,6.0,0.8,0.1,0.3,0.1,0.3,0.357,114.0,76.0,65.0,108.0,93.0,91.0,116.0,92.0,93.0,82.0,91.0,90.0,121.0,126.0,138.0,,,,0.086,0.386,,0.1,0.314,0.114,-3.65,,-1.47,-15.1,-0.58,-6.63,95.3,,92.7,95.6,87.5,87.1,,,,,,,0.333,1.333,0.273,,,,,,,0.167,0.167,0.273
8,2024-07-03,746128,Home Run,home_run,False,518692,691441,Freddie Freeman,Cristian Mena,1,29b238ea-2c71-438c-972a-0a93db9eb35d,691441.0,cristianmena,Mena,Right,Cristian Mena,ARI,12.0,10.89,3.0,94.0,109.0,95.0,0.735,6.0,9.0,12.0,6.0,0.8,0.1,0.3,0.1,0.3,0.357,114.0,76.0,65.0,108.0,93.0,91.0,116.0,92.0,93.0,82.0,91.0,90.0,121.0,126.0,138.0,,,,0.086,0.386,,0.1,0.314,0.114,-3.65,,-1.47,-15.1,-0.58,-6.63,95.3,,92.7,95.6,87.5,87.1,,,,,,,0.333,1.333,0.273,,,,,,,0.167,0.167,0.273
9,2024-07-03,746128,Home Run,home_run,False,606192,691441,Teoscar Hernández,Cristian Mena,0,0c6b3f78-b7f4-4953-810e-330f7d861a87,691441.0,cristianmena,Mena,Right,Cristian Mena,ARI,12.0,10.89,3.0,94.0,109.0,95.0,0.735,6.0,9.0,12.0,6.0,0.8,0.1,0.3,0.1,0.3,0.357,114.0,76.0,65.0,108.0,93.0,91.0,116.0,92.0,93.0,82.0,91.0,90.0,121.0,126.0,138.0,,,,0.086,0.386,,0.1,0.314,0.114,-3.65,,-1.47,-15.1,-0.58,-6.63,95.3,,92.7,95.6,87.5,87.1,,,,,,,0.333,1.333,0.273,,,,,,,0.167,0.167,0.273
10,2024-07-03,746128,Single,single,False,681624,691441,Andy Pages,Cristian Mena,0,2d04fba0-944b-41b9-a6b7-377d978d4334,691441.0,cristianmena,Mena,Right,Cristian Mena,ARI,12.0,10.89,3.0,94.0,109.0,95.0,0.735,6.0,9.0,12.0,6.0,0.8,0.1,0.3,0.1,0.3,0.357,114.0,76.0,65.0,108.0,93.0,91.0,116.0,92.0,93.0,82.0,91.0,90.0,121.0,126.0,138.0,,,,0.086,0.386,,0.1,0.314,0.114,-3.65,,-1.47,-15.1,-0.58,-6.63,95.3,,92.7,95.6,87.5,87.1,,,,,,,0.333,1.333,0.273,,,,,,,0.167,0.167,0.273
11,2024-07-03,746128,Flyout,field_out,True,500743,691441,Miguel Rojas,Cristian Mena,0,2001cd96-07a0-447a-a0eb-675e86c15e3b,691441.0,cristianmena,Mena,Right,Cristian Mena,ARI,12.0,10.89,3.0,94.0,109.0,95.0,0.735,6.0,9.0,12.0,6.0,0.8,0.1,0.3,0.1,0.3,0.357,114.0,76.0,65.0,108.0,93.0,91.0,116.0,92.0,93.0,82.0,91.0,90.0,121.0,126.0,138.0,,,,0.086,0.386,,0.1,0.314,0.114,-3.65,,-1.47,-15.1,-0.58,-6.63,95.3,,92.7,95.6,87.5,87.1,,,,,,,0.333,1.333,0.273,,,,,,,0.167,0.167,0.273
