,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
0,2024-04-07,745765,Flyout,field_out,True,543807,661563,George Springer,Luis Gil,0,0ea50383-33de-4c3b-b658-5f03902a850e,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-07,745765,Strikeout,strikeout,True,665489,661563,Vladimir Guerrero Jr.,Luis Gil,0,92c954bb-439a-4849-bbdf-8ff4c1a23bbf,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-07,745765,Walk,walk,False,666182,661563,Bo Bichette,Luis Gil,0,96bb00ed-6e39-4669-a0bf-fbda599503b2,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-07,745765,Groundout,field_out,True,672386,661563,Alejandro Kirk,Luis Gil,0,59603145-6ab7-4d9c-9586-304a504fa44b,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-07,745765,Strikeout,strikeout,True,650402,670102,Gleyber Torres,Bowden Francis,0,eeeb93f5-2f3e-481c-9b3c-97709b51d827,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,89.0,97.0,97.0,0.536,0.059,,0.67,-7.31,,93.3,,83.8,0.233,0.442,0.182,,,,0.4,1.1,0.294,103.0,95.0,100.0,118.0,106.0,110.0,0.121,0.284,-2.38,-1.52,84.5,73.5,0.297,0.486,0.225,0.348,0.348,0.205,,,,,,,,,,,,,,,,,,,,,
5,2024-04-07,745765,Strikeout,strikeout,True,665742,670102,Juan Soto,Bowden Francis,0,ca5792be-9339-4194-9be1-0a320602d151,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,89.0,97.0,97.0,0.536,0.059,,0.67,-7.31,,93.3,,83.8,0.233,0.442,0.182,,,,0.4,1.1,0.294,103.0,95.0,100.0,118.0,106.0,110.0,0.121,0.284,-2.38,-1.52,84.5,73.5,0.297,0.486,0.225,0.348,0.348,0.205,,,,,,,,,,,,,,,,,,,,,
6,2024-04-07,745765,Strikeout,strikeout,True,592450,670102,Aaron Judge,Bowden Francis,0,9e516422-def1-4ef3-b4c0-c9d2eabd96e0,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,5.82,4.76,38.2,100.0,101.0,103.0,0.813,7.91,3.26,10.01,1.86,0.82,0.211,0.496,0.179,0.325,0.455,,,,98.0,102.0,103.0,89.0,97.0,97.0,0.536,0.059,,0.67,-7.31,,93.3,,83.8,0.233,0.442,0.182,,,,0.4,1.1,0.294,103.0,95.0,100.0,118.0,106.0,110.0,0.121,0.284,-2.38,-1.52,84.5,73.5,0.297,0.486,0.225,0.348,0.348,0.205,,,,,,,,,,,,,,,,,,,,,
7,2024-04-07,745765,Groundout,field_out,True,624415,661563,Cavan Biggio,Luis Gil,0,ca5ff81a-cef2-4a9e-bbf0-f59bfea36a84,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-07,745765,Strikeout,strikeout,True,676391,661563,Ernie Clement,Luis Gil,0,9e6d0e34-f3ba-4b3a-8234-7305810003c2,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-07,745765,Pop Out,field_out,True,662139,661563,Daulton Varsho,Luis Gil,0,7e0a338a-22b6-40b9-bcdc-c3f75bead0b5,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,128.0,97.0,104.0,108.0,91.0,100.0,0.519,0.194,0.287,0.69,2.08,0.38,96.7,91.7,87.6,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
