,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
52,2024-05-18,747202,Intent Walk,intent_walk,False,592192,573009,Mark Canha,Joe Mantiply,0,07472026-0536-1033-000c-f08cd117d70a,573009.0,joemantiply,Mantiply,Left,Joe Mantiply,ARI,4.21,3.49,36.1,103.0,78.0,97.0,0.766,7.43,2.48,8.42,0.0,1.33,0.273,0.391,0.155,0.327,0.39,62.0,105.0,102.0,103.0,85.0,78.0,80.0,104.0,93.0,,,,,,,,,,0.435,0.036,,,,0.275,1.25,,2.46,,,-0.83,89.3,,81.1,89.2,,,0.0,0.0,0.6,0.278,0.417,0.333,0.257,0.4,0.337,,,,,,,0.227,0.348,0.154,87.0,101.0,102.0,0.254,-0.67,79.5,,,,,,,,,
53,2024-05-18,747202,Triple,triple,False,672761,573009,Wenceel Pérez,Joe Mantiply,1,0c63dd3b-014d-4b2f-85a8-b495d56ac62b,573009.0,joemantiply,Mantiply,Left,Joe Mantiply,ARI,4.21,3.49,36.1,103.0,78.0,97.0,0.766,7.43,2.48,8.42,0.0,1.33,0.273,0.391,0.155,0.327,0.39,62.0,105.0,102.0,103.0,85.0,78.0,80.0,104.0,93.0,,,,,,,,,,0.435,0.036,,,,0.275,1.25,,2.46,,,-0.83,89.3,,81.1,89.2,,,0.0,0.0,0.6,0.278,0.417,0.333,0.257,0.4,0.337,,,,,,,0.227,0.348,0.154,87.0,101.0,102.0,0.254,-0.67,79.5,,,,,,,,,
54,2024-05-18,747202,Walk,walk,False,663837,679885,Matt Vierling,Justin Martinez,0,9586e53c-98c2-4c22-b51c-96dc9cbbfc80,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,1.54,3.27,41.0,101.0,110.0,104.0,0.71,9.88,4.17,6.59,0.22,3.94,0.275,0.402,0.225,0.275,0.428,,,,78.0,94.0,95.0,115.0,101.0,103.0,118.0,100.0,108.0,,,,,,,0.462,0.094,,0.218,,,0.24,,1.03,2.47,,,100.0,,,100.1,89.5,,0.231,0.231,0.306,,,,,,,0.091,0.227,0.492,,,,0.318,0.333,0.203,,,,,,,103.0,108.0,108.0,0.226,1.83,89.8,0.091,0.114,0.486
55,2024-05-18,747202,Single,single,False,570482,679885,Gio Urshela,Justin Martinez,1,a5ac08f7-7cff-4cdd-ae68-032e85f79cbf,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,1.54,3.27,41.0,101.0,110.0,104.0,0.71,9.88,4.17,6.59,0.22,3.94,0.275,0.402,0.225,0.275,0.428,,,,78.0,94.0,95.0,115.0,101.0,103.0,118.0,100.0,108.0,,,,,,,0.462,0.094,,0.218,,,0.24,,1.03,2.47,,,100.0,,,100.1,89.5,,0.231,0.231,0.306,,,,,,,0.091,0.227,0.492,,,,0.318,0.333,0.203,,,,,,,103.0,108.0,108.0,0.226,1.83,89.8,0.091,0.114,0.486
56,2024-05-18,747202,Forceout,force_out,True,690993,679885,Colt Keith,Justin Martinez,1,1beb111f-4826-49a8-a4eb-bf216b6e5509,679885.0,justinmartinez,"Martinez, Ju",Right,Justin Martinez,ARI,1.54,3.27,41.0,101.0,110.0,104.0,0.71,9.88,4.17,6.59,0.22,3.94,0.275,0.402,0.225,0.275,0.428,,,,78.0,94.0,95.0,115.0,101.0,103.0,118.0,100.0,108.0,,,,,,,0.462,0.094,,0.218,,,0.24,,1.03,2.47,,,100.0,,,100.1,89.5,,0.231,0.231,0.306,,,,,,,0.091,0.227,0.492,,,,0.318,0.333,0.203,,,,,,,103.0,108.0,108.0,0.226,1.83,89.8,0.091,0.114,0.486
57,2024-05-18,747202,Single,single,False,672515,656638,Gabriel Moreno,Alex Lange,0,286241fd-098a-4f3d-a695-a0341e4d6ae5,656638.0,alexlange,Lange,Right,Alex Lange,DET,4.34,4.76,18.2,93.0,116.0,96.0,0.722,10.13,8.2,7.71,0.0,1.47,0.34,0.32,0.16,0.28,0.379,124.0,75.0,79.0,107.0,53.0,52.0,102.0,103.0,103.0,,,,118.0,100.0,105.0,,,,0.215,0.135,,,0.578,0.072,1.95,,-1.1,,0.34,-4.15,96.3,,89.9,96.3,,88.1,0.091,0.091,0.111,0.195,0.293,0.433,,,,,,,,,,0.375,0.375,0.147,,,,,,,,,,,,,,,
58,2024-05-18,747202,Walk,walk,False,664983,656638,Jake McCarthy,Alex Lange,1,c80c71cd-4c34-4301-83e7-d6a14e6b7cd6,656638.0,alexlange,Lange,Right,Alex Lange,DET,4.34,4.76,18.2,93.0,116.0,96.0,0.722,10.13,8.2,7.71,0.0,1.47,0.34,0.32,0.16,0.28,0.379,124.0,75.0,79.0,107.0,53.0,52.0,102.0,103.0,103.0,,,,118.0,100.0,105.0,,,,0.215,0.135,,,0.578,0.072,1.95,,-1.1,,0.34,-4.15,96.3,,89.9,96.3,,88.1,0.091,0.091,0.111,0.195,0.293,0.433,,,,,,,,,,0.375,0.375,0.147,,,,,,,,,,,,,,,
59,2024-05-18,747202,Pop Out,field_out,True,621028,656638,Kevin Newman,Alex Lange,0,18867b74-1084-4d0a-9663-37890dac5d6b,656638.0,alexlange,Lange,Right,Alex Lange,DET,4.34,4.76,18.2,93.0,116.0,96.0,0.722,10.13,8.2,7.71,0.0,1.47,0.34,0.32,0.16,0.28,0.379,124.0,75.0,79.0,107.0,53.0,52.0,102.0,103.0,103.0,,,,118.0,100.0,105.0,,,,0.215,0.135,,,0.578,0.072,1.95,,-1.1,,0.34,-4.15,96.3,,89.9,96.3,,88.1,0.091,0.091,0.111,0.195,0.293,0.433,,,,,,,,,,0.375,0.375,0.147,,,,,,,,,,,,,,,
60,2024-05-18,747202,Grounded Into DP,grounded_into_double_play,True,682998,656638,Corbin Carroll,Alex Lange,1,e3313032-e962-4018-a87c-9b525173ee0b,656638.0,alexlange,Lange,Right,Alex Lange,DET,4.34,4.76,18.2,93.0,116.0,96.0,0.722,10.13,8.2,7.71,0.0,1.47,0.34,0.32,0.16,0.28,0.379,124.0,75.0,79.0,107.0,53.0,52.0,102.0,103.0,103.0,,,,118.0,100.0,105.0,,,,0.215,0.135,,,0.578,0.072,1.95,,-1.1,,0.34,-4.15,96.3,,89.9,96.3,,88.1,0.091,0.091,0.111,0.195,0.293,0.433,,,,,,,,,,0.375,0.375,0.147,,,,,,,,,,,,,,,
61,2024-05-18,747202,Single,single,False,679529,656464,Spencer Torkelson,Kevin Ginkel,0,c786f5c2-22ee-486a-a68b-b722a3644d92,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
