,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
10,2024-07-03,745643,Groundout,field_out,True,691016,669721,Tyler Soderstrom,Davis Daniel,0,553f4d1e-4bce-403f-84b0-88f83ac889da,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
11,2024-07-03,745643,Single,single,False,680869,669721,Zack Gelof,Davis Daniel,0,1000de22-7308-4f86-8a25-796a4124d535,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
12,2024-07-03,745643,Single,single,False,671732,669721,Lawrence Butler,Davis Daniel,1,186027d8-f05a-4462-91ca-50e5f8399b0f,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
13,2024-07-03,745643,Fielders Choice,fielders_choice,False,695391,669721,Brett Harris,Davis Daniel,1,660baf07-44a8-4fd0-ad0f-d5be07b215eb,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
14,2024-07-03,745643,Strikeout,strikeout,True,680474,669721,Max Schuemann,Davis Daniel,0,14c99746-8e6e-470a-848f-9cbc0b02e0c3,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
15,2024-07-03,745643,Runner Out,other_out,True,668709,669721,JJ Bleday,Davis Daniel,1,68db970d-ed88-45a3-af8e-811baa9c303e,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
16,2024-07-03,745643,Flyout,field_out,True,687263,683155,Zach Neto,Joey Estes,0,970c4dfe-8a4e-4662-b502-69100fc3d1c7,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
17,2024-07-03,745643,Groundout,field_out,True,666160,683155,Mickey Moniak,Joey Estes,0,e5eef01b-16e8-4220-9b71-7de3f0c745c6,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
18,2024-07-03,745643,Strikeout,strikeout,True,666176,683155,Jo Adell,Joey Estes,0,246cc6e0-b583-452b-bbce-93e2e1e8a97c,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
19,2024-07-03,745643,Groundout,field_out,True,668709,669721,JJ Bleday,Davis Daniel,0,64b03deb-0d09-4e8b-b47c-3c84fe20be7e,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
