,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff
0,2024-05-13,746471,Lineout,field_out,True,665862,666159,Jazz Chisholm Jr.,Matt Manning,0,c8945ddb-b5b1-4210-93f2-4d4e0aba04ad,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-13,746471,Strikeout,strikeout,True,650559,666159,Bryan De La Cruz,Matt Manning,0,586c888a-d52e-475b-8e91-326343e20572,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-13,746471,Single,single,False,605137,666159,Josh Bell,Matt Manning,0,a36d361e-36de-4c31-b772-7fd6f4fe69e3,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-13,746471,Groundout,field_out,True,660821,666159,Jesús Sánchez,Matt Manning,0,0d1dfcc9-69eb-43f4-85c0-4d64018dc132,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-13,746471,Groundout,field_out,True,682985,664350,Riley Greene,Sixto Sánchez,0,8d435e89-6b23-4eec-a021-906c3733c201,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,,,,77.0,98.0,88.0,,,,,,,0.298,,,,-1.21,,,,93.8,,,,0.267,0.433,0.104,,,,,,,,,,94.0,100.0,100.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.34,0.314,-1.59,-4.74,1.59,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.5,1.333,0.167
5,2024-05-13,746471,Groundout,field_out,True,592192,664350,Mark Canha,Sixto Sánchez,0,9347d511-e3bb-467b-9173-842bea68c1dd,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,,,,77.0,98.0,88.0,,,,,,,0.298,,,,-1.21,,,,93.8,,,,0.267,0.433,0.104,,,,,,,,,,94.0,100.0,100.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.34,0.314,-1.59,-4.74,1.59,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.5,1.333,0.167
6,2024-05-13,746471,Strikeout,strikeout,True,672761,664350,Wenceel Pérez,Sixto Sánchez,0,3a03f5e3-274c-4b6e-ac91-6bffe4a0dff6,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,,,,77.0,98.0,88.0,,,,,,,0.298,,,,-1.21,,,,93.8,,,,0.267,0.433,0.104,,,,,,,,,,94.0,100.0,100.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.34,0.314,-1.59,-4.74,1.59,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.5,1.333,0.167
7,2024-05-13,746471,Flyout,field_out,True,669394,666159,Jake Burger,Matt Manning,0,737ae62d-ff93-43f1-90d0-add262c7f9bf,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-13,746471,Single,single,False,624503,666159,Nick Gordon,Matt Manning,0,c247b801-88a9-4147-b4b5-9e1ca7d4bc3e,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-13,746471,Flyout,field_out,True,672640,666159,Otto Lopez,Matt Manning,0,5142d50a-af7b-4906-9edd-e276d90ade88,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-05-13,746471,Strikeout,strikeout,True,660644,666159,Vidal Bruján,Matt Manning,1,7d7aa07a-37f0-40e2-9b68-f16c1b8fe6e3,666159.0,mattmanning,Manning,Right,Matt Manning,DET,4.88,4.64,27.2,98.0,99.0,98.0,0.791,7.48,3.9,10.08,0.98,0.61,0.239,0.341,0.159,0.318,0.482,108.0,96.0,99.0,95.0,100.0,100.0,100.0,96.0,97.0,82.0,98.0,88.0,0.482,0.041,0.379,0.098,-1.36,-0.33,1.26,-3.39,93.8,87.8,84.4,81.6,0.327,0.519,0.213,0.375,0.375,0.0,0.385,0.538,0.273,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
