,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-08-30,745862,Flyout,field_out,True,662139,641154,Daulton Varsho,Pablo López,0,7ecfb600-b85a-49e1-b678-83b9e767b664,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-30,745862,Groundout,field_out,True,695238,641154,Will Wagner,Pablo López,0,292444b1-1aae-46dd-8b8d-c855ac5256ed,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-30,745862,Groundout,field_out,True,665489,641154,Vladimir Guerrero Jr.,Pablo López,0,1453af5a-9b1d-4910-8d93-76f1b186648d,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-30,745862,Lineout,field_out,True,650489,592332,Willi Castro,Kevin Gausman,0,b90dd90b-76b4-4b96-b970-8a84f71a6b09,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.09,4.87,163.0,105.0,94.0,104.0,0.786,8.28,2.76,8.39,1.1,0.91,0.258,0.43,0.137,0.366,0.418,,,,,,,98.0,106.0,105.0,88.0,102.0,93.0,88.0,89.0,94.0,0.054,0.527,0.083,,,0.32,-3.33,-1.43,,,93.9,,93.4,82.9,,0.279,0.482,0.182,,,,,,,,,,0.314,0.6,0.123,89.0,108.0,107.0,0.336,0.27,85.9,0.176,0.276,0.334,0.27,0.459,0.275,,,,,,,,,,,,,,,
4,2024-08-30,745862,Groundout,field_out,True,663616,592332,Trevor Larnach,Kevin Gausman,0,1a364d1d-3b16-48dd-9e00-fd84b35d6fc4,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.09,4.87,163.0,105.0,94.0,104.0,0.786,8.28,2.76,8.39,1.1,0.91,0.258,0.43,0.137,0.366,0.418,,,,,,,98.0,106.0,105.0,88.0,102.0,93.0,88.0,89.0,94.0,0.054,0.527,0.083,,,0.32,-3.33,-1.43,,,93.9,,93.4,82.9,,0.279,0.482,0.182,,,,,,,,,,0.314,0.6,0.123,89.0,108.0,107.0,0.336,0.27,85.9,0.176,0.276,0.334,0.27,0.459,0.275,,,,,,,,,,,,,,,
5,2024-08-30,745862,Groundout,field_out,True,668904,592332,Royce Lewis,Kevin Gausman,0,2534f62d-b864-41e2-8f17-8cac50963569,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.09,4.87,163.0,105.0,94.0,104.0,0.786,8.28,2.76,8.39,1.1,0.91,0.258,0.43,0.137,0.366,0.418,,,,,,,98.0,106.0,105.0,88.0,102.0,93.0,88.0,89.0,94.0,0.054,0.527,0.083,,,0.32,-3.33,-1.43,,,93.9,,93.4,82.9,,0.279,0.482,0.182,,,,,,,,,,0.314,0.6,0.123,89.0,108.0,107.0,0.336,0.27,85.9,0.176,0.276,0.334,0.27,0.459,0.275,,,,,,,,,,,,,,,
6,2024-08-30,745862,Groundout,field_out,True,687462,641154,Spencer Horwitz,Pablo López,0,195485f9-279a-400e-bdd2-1b84ddbcda5b,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-30,745862,Groundout,field_out,True,680718,641154,Addison Barger,Pablo López,0,014c13eb-72aa-48c7-868d-cd43b0db5574,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-30,745862,Strikeout,strikeout,True,672386,641154,Alejandro Kirk,Pablo López,0,d6a5a731-2974-4c31-859b-1d9037844af7,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,4.05,3.46,162.1,105.0,98.0,105.0,0.743,9.59,1.89,8.26,1.22,1.22,0.234,0.445,0.138,0.278,0.432,94.0,104.0,104.0,90.0,103.0,108.0,98.0,106.0,102.0,97.0,109.0,108.0,105.0,102.0,109.0,0.073,0.411,0.224,0.101,0.191,2.33,-2.96,-0.63,-1.12,-0.76,95.0,88.6,94.5,84.4,82.3,0.172,0.308,0.266,0.234,0.428,0.339,0.307,0.402,0.242,0.219,0.453,0.336,0.434,0.623,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-30,745862,Flyout,field_out,True,670242,592332,Matt Wallner,Kevin Gausman,0,1e89ba2e-d3bc-4427-9481-dd91488aa88d,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.09,4.87,163.0,105.0,94.0,104.0,0.786,8.28,2.76,8.39,1.1,0.91,0.258,0.43,0.137,0.366,0.418,,,,,,,98.0,106.0,105.0,88.0,102.0,93.0,88.0,89.0,94.0,0.054,0.527,0.083,,,0.32,-3.33,-1.43,,,93.9,,93.4,82.9,,0.279,0.482,0.182,,,,,,,,,,0.314,0.6,0.123,89.0,108.0,107.0,0.336,0.27,85.9,0.176,0.276,0.334,0.27,0.459,0.275,,,,,,,,,,,,,,,
