,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff
0,2024-09-08,746910,Flyout,field_out,True,676113,690916,Zach DeLoach,Richard Fitts,0,270598c5-2c58-4787-bfa7-a34c5049e001,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-08,746910,Single,single,False,673357,690916,Luis Robert Jr.,Richard Fitts,0,06cd9b1f-66da-44aa-8c4f-3d7a43169c5f,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-08,746910,Groundout,field_out,True,643217,690916,Andrew Benintendi,Richard Fitts,1,0408bca5-8c70-44ba-9253-07471eb204b0,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-08,746910,Single,single,False,680776,623167,Jarren Duran,Chris Flexen,0,c94cdfd5-3fee-48b1-8c61-11a07c43f475,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,0.0,92.0,81.0,152.0,101.0,103.0,,,,0.369,,0.085,-1.14,,-1.95,91.3,,80.2,0.327,0.449,0.256,0.275,0.514,0.125,,,,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,47.0,101.0,91.0,0.002,0.27,0.121,0.153,-0.72,2.03,0.23,-0.91,87.4,81.4,91.4,72.1,0.316,0.529,0.215,0.244,0.389,0.366,0.246,0.404,0.308,,,
4,2024-09-08,746910,Lineout,field_out,True,646240,623167,Rafael Devers,Chris Flexen,0,b469d687-7a81-426d-b527-1c69c96acab0,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,0.0,92.0,81.0,152.0,101.0,103.0,,,,0.369,,0.085,-1.14,,-1.95,91.3,,80.2,0.327,0.449,0.256,0.275,0.514,0.125,,,,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,47.0,101.0,91.0,0.002,0.27,0.121,0.153,-0.72,2.03,0.23,-0.91,87.4,81.4,91.4,72.1,0.316,0.529,0.215,0.244,0.389,0.366,0.246,0.404,0.308,,,
5,2024-09-08,746910,Double,double,True,677800,623167,Wilyer Abreu,Chris Flexen,1,ddf9175f-fe2e-4182-8ce7-3504278e110b,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,0.0,92.0,81.0,152.0,101.0,103.0,,,,0.369,,0.085,-1.14,,-1.95,91.3,,80.2,0.327,0.449,0.256,0.275,0.514,0.125,,,,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,47.0,101.0,91.0,0.002,0.27,0.121,0.153,-0.72,2.03,0.23,-0.91,87.4,81.4,91.4,72.1,0.316,0.529,0.215,0.244,0.389,0.366,0.246,0.404,0.308,,,
6,2024-09-08,746910,Caught Stealing 3B,caught_stealing_3b,True,641933,623167,Tyler O'Neill,Chris Flexen,0,e5e343ce-dbfe-48ed-910e-10fa851942ce,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,0.0,92.0,81.0,152.0,101.0,103.0,,,,0.369,,0.085,-1.14,,-1.95,91.3,,80.2,0.327,0.449,0.256,0.275,0.514,0.125,,,,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,47.0,101.0,91.0,0.002,0.27,0.121,0.153,-0.72,2.03,0.23,-0.91,87.4,81.4,91.4,72.1,0.316,0.529,0.215,0.244,0.389,0.366,0.246,0.404,0.308,,,
7,2024-09-08,746910,Single,single,False,683734,690916,Andrew Vaughn,Richard Fitts,0,62a729a3-fc18-46e4-b2c1-881ad2a7c5a7,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-08,746910,Flyout,field_out,True,686676,690916,Korey Lee,Richard Fitts,0,3c28737e-aa2f-413a-bc65-6b94f700ed84,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-08,746910,Strikeout,strikeout,True,672820,690916,Lenyn Sosa,Richard Fitts,0,08e89431-7d23-427a-acae-040842c4514b,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-09-08,746910,Groundout,field_out,True,666150,690916,Dominic Fletcher,Richard Fitts,0,87c024b9-fbfa-48f9-8b30-c10212635268,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,0.0,2.47,5.2,105.0,116.0,107.0,0.914,3.18,1.59,9.53,0.0,1.67,0.316,0.368,0.158,0.263,0.455,104.0,97.0,94.0,125.0,113.0,119.0,152.0,134.0,142.0,0.47,0.03,0.5,-0.53,-1.73,3.43,94.4,88.6,83.7,0.273,0.273,0.077,0.167,0.167,0.067,0.5,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
