,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,wFA/C,wFC/C,wSI/C,wSL/C,vFA,vFC,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FS%,wFS/C,vFS
0,2024-05-30,745081,Groundout,field_out,True,647351,542888,Abraham Toro,Shawn Armstrong,0,67f6637f-b705-465a-8030-40a76a7d9619,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,
1,2024-05-30,745081,Single,single,False,668709,542888,JJ Bleday,Shawn Armstrong,0,2ec64039-f9cc-4c59-83b7-4855122a72a0,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,
2,2024-05-30,745081,Pop Out,field_out,True,667670,542888,Brent Rooker,Shawn Armstrong,0,725fb28f-00bb-457d-a355-8f7caec63ac0,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,
3,2024-05-30,745081,Lineout,field_out,True,609280,542888,Miguel Andujar,Shawn Armstrong,0,c92e6cb8-7585-4a95-a7fa-f9c68b8a3994,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,
4,2024-05-30,745081,Strikeout,strikeout,True,650490,663687,Yandy Díaz,Hogan Harris,0,4a20d676-c0e3-4654-964e-adef650261d8,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,85.0,97.0,91.0,,,,90.0,98.0,100.0,,,,,0.583,,0.116,-0.49,,,-2.85,93.2,,,79.3,0.283,0.485,0.173,,,,,,,0.25,0.536,0.222,118.0,93.0,99.0,57.0,98.0,101.0,0.146,0.156,-0.4,0.81,81.0,72.7,0.259,0.296,0.304,0.154,0.192,0.273,,,
5,2024-05-30,745081,Field Error,field_error,False,668227,663687,Randy Arozarena,Hogan Harris,0,3d09bfba-6af5-4eb5-aa98-56eb21373aa9,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,85.0,97.0,91.0,,,,90.0,98.0,100.0,,,,,0.583,,0.116,-0.49,,,-2.85,93.2,,,79.3,0.283,0.485,0.173,,,,,,,0.25,0.536,0.222,118.0,93.0,99.0,57.0,98.0,101.0,0.146,0.156,-0.4,0.81,81.0,72.7,0.259,0.296,0.304,0.154,0.192,0.273,,,
6,2024-05-30,745081,Single,single,True,623912,663687,Harold Ramírez,Hogan Harris,1,b4268954-eb33-48e6-a23d-9ac3f25e5314,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,85.0,97.0,91.0,,,,90.0,98.0,100.0,,,,,0.583,,0.116,-0.49,,,-2.85,93.2,,,79.3,0.283,0.485,0.173,,,,,,,0.25,0.536,0.222,118.0,93.0,99.0,57.0,98.0,101.0,0.146,0.156,-0.4,0.81,81.0,72.7,0.259,0.296,0.304,0.154,0.192,0.273,,,
7,2024-05-30,745081,Home Run,home_run,False,670623,663687,Isaac Paredes,Hogan Harris,1,3e999218-cf4c-412c-b423-3adf57e64ef8,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,85.0,97.0,91.0,,,,90.0,98.0,100.0,,,,,0.583,,0.116,-0.49,,,-2.85,93.2,,,79.3,0.283,0.485,0.173,,,,,,,0.25,0.536,0.222,118.0,93.0,99.0,57.0,98.0,101.0,0.146,0.156,-0.4,0.81,81.0,72.7,0.259,0.296,0.304,0.154,0.192,0.273,,,
8,2024-05-30,745081,Pop Out,field_out,True,676356,663687,Jonny DeLuca,Hogan Harris,0,4ba38565-a668-4986-9839-a4ea11ddc486,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,85.0,97.0,91.0,,,,90.0,98.0,100.0,,,,,0.583,,0.116,-0.49,,,-2.85,93.2,,,79.3,0.283,0.485,0.173,,,,,,,0.25,0.536,0.222,118.0,93.0,99.0,57.0,98.0,101.0,0.146,0.156,-0.4,0.81,81.0,72.7,0.259,0.296,0.304,0.154,0.192,0.273,,,
9,2024-05-30,745081,Double,double,False,669127,542888,Shea Langeliers,Shawn Armstrong,0,7150dd05-7efe-4199-94f3-cafe7cf86be7,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,
