,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff
0,2024-06-23,745648,Single,single,False,622534,663687,Manuel Margot,Hogan Harris,0,0cfdbdbb-fec7-4098-87b7-02d37ec0061b,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
1,2024-06-23,745648,Hit By Pitch,hit_by_pitch,False,621043,663687,Carlos Correa,Hogan Harris,1,076804b3-fdc0-4ea0-94ab-45ab782f1851,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
2,2024-06-23,745648,Double Play,double_play,True,668904,663687,Royce Lewis,Hogan Harris,1,edf3ece1-9880-4cb5-83cb-0936273e610f,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
3,2024-06-23,745648,Walk,walk,False,669304,663687,Jose Miranda,Hogan Harris,1,298f04b3-e0cc-4f05-98e2-360d3fc660c2,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
4,2024-06-23,745648,Forceout,force_out,True,467793,663687,Carlos Santana,Hogan Harris,1,53a598e2-dedc-47b9-8ea0-82f779f2019b,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
5,2024-06-23,745648,Strikeout,strikeout,True,680474,641154,Max Schuemann,Pablo López,0,2f9f58be-ff00-4c0c-8cf4-17df4dca7c8f,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,83.0,102.0,107.0,97.0,104.0,101.0,107.0,104.0,110.0,0.394,0.227,0.11,0.194,1.98,-0.94,-2.56,-0.41,94.6,88.4,84.1,81.9,0.183,0.34,0.303,0.247,0.464,0.318,0.255,0.574,0.338,0.293,0.387,0.25,97.0,108.0,106.0,0.076,-3.1,94.2,0.452,0.677,0.095
6,2024-06-23,745648,Strikeout,strikeout,True,668709,641154,JJ Bleday,Pablo López,0,9d4c6f9a-2d28-49f4-871b-c52b82a0c855,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,83.0,102.0,107.0,97.0,104.0,101.0,107.0,104.0,110.0,0.394,0.227,0.11,0.194,1.98,-0.94,-2.56,-0.41,94.6,88.4,84.1,81.9,0.183,0.34,0.303,0.247,0.464,0.318,0.255,0.574,0.338,0.293,0.387,0.25,97.0,108.0,106.0,0.076,-3.1,94.2,0.452,0.677,0.095
7,2024-06-23,745648,Groundout,field_out,True,609280,641154,Miguel Andujar,Pablo López,0,181c1c23-6c99-426c-812d-95579ff9024e,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,92.0,101.0,101.0,83.0,102.0,107.0,97.0,104.0,101.0,107.0,104.0,110.0,0.394,0.227,0.11,0.194,1.98,-0.94,-2.56,-0.41,94.6,88.4,84.1,81.9,0.183,0.34,0.303,0.247,0.464,0.318,0.255,0.574,0.338,0.293,0.387,0.25,97.0,108.0,106.0,0.076,-3.1,94.2,0.452,0.677,0.095
8,2024-06-23,745648,Strikeout,strikeout,True,650489,663687,Willi Castro,Hogan Harris,0,907f5f64-4994-4e2b-9799-1a625eefb50d,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
9,2024-06-23,745648,Home Run,home_run,False,621439,663687,Byron Buxton,Hogan Harris,0,a8d21835-5039-4b84-805c-ddfddfd31b25,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,
