,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-07-12,747175,Groundout,field_out,True,543807,669194,George Springer,Ryne Nelson,0,e546edd8-fb61-4083-b09d-97f561df509c,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-12,747175,Pop Out,field_out,True,687462,669194,Spencer Horwitz,Ryne Nelson,0,f6ecfe2b-66b5-4f0c-a162-97347bbfee18,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-12,747175,Single,single,False,665489,669194,Vladimir Guerrero Jr.,Ryne Nelson,0,a2f4251f-4f3f-4537-af08-144471093f81,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-12,747175,Strikeout,strikeout,True,457759,669194,Justin Turner,Ryne Nelson,0,1255dd10-0e96-4fa9-8357-3747db27651a,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-12,747175,Groundout,field_out,True,682998,684320,Corbin Carroll,Yariel Rodríguez,0,4b84c4c0-69ec-4827-8fae-c3e469dff8c6,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,,,,92.0,92.0,98.0,90.0,95.0,90.0,116.0,101.0,107.0,,,,0.441,,0.271,0.115,,0.9,,-0.9,-3.05,,94.2,,,84.4,77.7,0.22,0.341,0.206,,,,,,,0.245,0.429,0.344,0.333,0.778,0.25,80.0,102.0,99.0,75.0,115.0,106.0,0.093,0.08,-1.28,3.88,89.2,93.6,0.154,0.154,0.125,0.182,0.273,0.235,,,,,,
5,2024-07-12,747175,Strikeout,strikeout,True,672515,684320,Gabriel Moreno,Yariel Rodríguez,0,f780f93e-3521-456a-b550-8989bf2e2c3d,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,,,,92.0,92.0,98.0,90.0,95.0,90.0,116.0,101.0,107.0,,,,0.441,,0.271,0.115,,0.9,,-0.9,-3.05,,94.2,,,84.4,77.7,0.22,0.341,0.206,,,,,,,0.245,0.429,0.344,0.333,0.778,0.25,80.0,102.0,99.0,75.0,115.0,106.0,0.093,0.08,-1.28,3.88,89.2,93.6,0.154,0.154,0.125,0.182,0.273,0.235,,,,,,
6,2024-07-12,747175,Flyout,field_out,True,592626,684320,Joc Pederson,Yariel Rodríguez,0,6e60bf8d-464e-46f9-baae-18f0073ff110,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,,,,92.0,92.0,98.0,90.0,95.0,90.0,116.0,101.0,107.0,,,,0.441,,0.271,0.115,,0.9,,-0.9,-3.05,,94.2,,,84.4,77.7,0.22,0.341,0.206,,,,,,,0.245,0.429,0.344,0.333,0.778,0.25,80.0,102.0,99.0,75.0,115.0,106.0,0.093,0.08,-1.28,3.88,89.2,93.6,0.154,0.154,0.125,0.182,0.273,0.235,,,,,,
7,2024-07-12,747175,Strikeout,strikeout,True,662139,669194,Daulton Varsho,Ryne Nelson,0,07aca679-1c49-4191-80f7-556149403811,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-12,747175,Groundout,field_out,True,672386,669194,Alejandro Kirk,Ryne Nelson,0,ef0fa7aa-2923-4631-b3fa-bf02bd2d07da,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-12,747175,Lineout,field_out,True,676391,669194,Ernie Clement,Ryne Nelson,0,cb4c37ba-0eef-4d75-9b2f-6b7f46389353,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,108.0,112.0,110.0,76.0,103.0,92.0,0.531,0.203,0.107,0.064,0.094,0.45,-1.15,-1.78,2.02,-4.16,95.0,91.4,83.4,84.5,77.5,0.261,0.415,0.217,0.341,0.518,0.124,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,,,,,,,,,,,,,,,
