,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff
0,2024-05-19,746392,Double,double,False,668930,681293,Brice Turang,Spencer Arrighetti,0,3fe4cf5d-fda2-4fef-aaff-542e5456ff40,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,111.0,93.0,100.0,62.0,100.0,100.0,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,0.49,0.32,-4.75,94.0,87.8,85.0,81.2,78.4,0.325,0.553,0.183,0.25,0.382,0.24,0.162,0.294,0.408,0.143,0.229,0.392,0.55,0.75,0.302,,,,,,,,,,,,,,,,,,
1,2024-05-19,746392,Strikeout,strikeout,True,661388,681293,William Contreras,Spencer Arrighetti,0,716d791d-31aa-47e6-8d14-299cbb4bcf3a,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,111.0,93.0,100.0,62.0,100.0,100.0,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,0.49,0.32,-4.75,94.0,87.8,85.0,81.2,78.4,0.325,0.553,0.183,0.25,0.382,0.24,0.162,0.294,0.408,0.143,0.229,0.392,0.55,0.75,0.302,,,,,,,,,,,,,,,,,,
2,2024-05-19,746392,Single,single,False,592885,681293,Christian Yelich,Spencer Arrighetti,1,9cfa18a6-6502-45a6-8043-af8f7df9d481,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,111.0,93.0,100.0,62.0,100.0,100.0,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,0.49,0.32,-4.75,94.0,87.8,85.0,81.2,78.4,0.325,0.553,0.183,0.25,0.382,0.24,0.162,0.294,0.408,0.143,0.229,0.392,0.55,0.75,0.302,,,,,,,,,,,,,,,,,,
3,2024-05-19,746392,Flyout,field_out,True,642715,681293,Willy Adames,Spencer Arrighetti,0,4b7523f1-a1ad-4815-8f77-87ec80fbc882,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,111.0,93.0,100.0,62.0,100.0,100.0,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,0.49,0.32,-4.75,94.0,87.8,85.0,81.2,78.4,0.325,0.553,0.183,0.25,0.382,0.24,0.162,0.294,0.408,0.143,0.229,0.392,0.55,0.75,0.302,,,,,,,,,,,,,,,,,,
4,2024-05-19,746392,Caught Stealing 2B,caught_stealing_2b,True,641343,681293,Jake Bauers,Spencer Arrighetti,0,ae3c7b02-f838-485b-b02d-3782fa34ecec,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,113.0,98.0,103.0,83.0,99.0,97.0,111.0,93.0,100.0,62.0,100.0,100.0,0.414,0.197,0.113,0.202,0.074,-1.89,1.2,0.49,0.32,-4.75,94.0,87.8,85.0,81.2,78.4,0.325,0.553,0.183,0.25,0.382,0.24,0.162,0.294,0.408,0.143,0.229,0.392,0.55,0.75,0.302,,,,,,,,,,,,,,,,,,
5,2024-05-19,746392,Home Run,home_run,False,514888,607067,Jose Altuve,Colin Rea,0,c4d1549e-58b2-49ad-a404-a2682e3654e5,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,0.172,0.226,0.171,0.043,,-0.12,-0.36,3.37,-5.02,,92.7,87.8,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.444,0.833,0.111,0.062,0.077,0.227,,,,85.0,101.0,95.0,78.0,98.0,100.0,0.306,0.082,-0.32,-0.27,86.4,92.3,0.276,0.44,0.109,0.243,0.297,0.26
6,2024-05-19,746392,Strikeout,strikeout,True,663656,607067,Kyle Tucker,Colin Rea,0,034acc62-832e-4db7-82e3-90429a3113bb,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,0.172,0.226,0.171,0.043,,-0.12,-0.36,3.37,-5.02,,92.7,87.8,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.444,0.833,0.111,0.062,0.077,0.227,,,,85.0,101.0,95.0,78.0,98.0,100.0,0.306,0.082,-0.32,-0.27,86.4,92.3,0.276,0.44,0.109,0.243,0.297,0.26
7,2024-05-19,746392,Double,double,False,670541,607067,Yordan Alvarez,Colin Rea,0,7e92ee41-82ec-42a5-8ee9-b06b76f40c1f,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,0.172,0.226,0.171,0.043,,-0.12,-0.36,3.37,-5.02,,92.7,87.8,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.444,0.833,0.111,0.062,0.077,0.227,,,,85.0,101.0,95.0,78.0,98.0,100.0,0.306,0.082,-0.32,-0.27,86.4,92.3,0.276,0.44,0.109,0.243,0.297,0.26
8,2024-05-19,746392,Walk,walk,False,608324,607067,Alex Bregman,Colin Rea,0,8839e2ef-0657-4a92-8ade-75548d6b1e84,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,0.172,0.226,0.171,0.043,,-0.12,-0.36,3.37,-5.02,,92.7,87.8,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.444,0.833,0.111,0.062,0.077,0.227,,,,85.0,101.0,95.0,78.0,98.0,100.0,0.306,0.082,-0.32,-0.27,86.4,92.3,0.276,0.44,0.109,0.243,0.297,0.26
9,2024-05-19,746392,Walk,walk,False,665161,607067,Jeremy Peña,Colin Rea,1,c93525ab-7a09-4ffc-b690-0b2b246cb81a,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,,,,107.0,106.0,103.0,69.0,109.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,0.172,0.226,0.171,0.043,,-0.12,-0.36,3.37,-5.02,,92.7,87.8,,82.1,78.3,0.23,0.365,0.239,0.277,0.553,0.159,0.444,0.833,0.111,0.062,0.077,0.227,,,,85.0,101.0,95.0,78.0,98.0,100.0,0.306,0.082,-0.32,-0.27,86.4,92.3,0.276,0.44,0.109,0.243,0.297,0.26
