,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SL%,KC%,wSL/C,wKC/C,vSL,vKC,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-18,745771,Single,single,False,682928,500779,CJ Abrams,Jose Quintana,0,6b3c83a7-82d9-4b0d-ae90-6401c2617b4a,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.74,4.5,166.0,97.0,83.0,93.0,0.806,6.83,3.31,7.86,1.19,1.34,0.224,0.413,0.176,0.339,0.337,70.0,99.0,96.0,110.0,101.0,99.0,71.0,92.0,85.0,76.0,97.0,91.0,0.303,0.226,0.276,0.194,-0.37,0.91,0.02,0.42,90.7,85.7,90.8,77.6,0.243,0.426,0.127,0.262,0.443,0.261,0.226,0.434,0.16,0.21,0.269,0.347,0.195,0.366,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-18,745771,Forceout,force_out,True,686611,500779,Dylan Crews,Jose Quintana,1,30358520-b675-4ad0-aaaf-c60634a3cf89,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.74,4.5,166.0,97.0,83.0,93.0,0.806,6.83,3.31,7.86,1.19,1.34,0.224,0.413,0.176,0.339,0.337,70.0,99.0,96.0,110.0,101.0,99.0,71.0,92.0,85.0,76.0,97.0,91.0,0.303,0.226,0.276,0.194,-0.37,0.91,0.02,0.42,90.7,85.7,90.8,77.6,0.243,0.426,0.127,0.262,0.443,0.261,0.226,0.434,0.16,0.21,0.269,0.347,0.195,0.366,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-18,745771,Strikeout,strikeout,True,695578,500779,James Wood,Jose Quintana,1,2c6ebd80-ba92-4675-870a-591956652a3e,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.74,4.5,166.0,97.0,83.0,93.0,0.806,6.83,3.31,7.86,1.19,1.34,0.224,0.413,0.176,0.339,0.337,70.0,99.0,96.0,110.0,101.0,99.0,71.0,92.0,85.0,76.0,97.0,91.0,0.303,0.226,0.276,0.194,-0.37,0.91,0.02,0.42,90.7,85.7,90.8,77.6,0.243,0.426,0.127,0.262,0.443,0.261,0.226,0.434,0.16,0.21,0.269,0.347,0.195,0.366,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-18,745771,Walk,walk,False,665953,500779,Andrés Chaparro,Jose Quintana,0,4ec946e9-5933-4611-897a-e393519be270,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.74,4.5,166.0,97.0,83.0,93.0,0.806,6.83,3.31,7.86,1.19,1.34,0.224,0.413,0.176,0.339,0.337,70.0,99.0,96.0,110.0,101.0,99.0,71.0,92.0,85.0,76.0,97.0,91.0,0.303,0.226,0.276,0.194,-0.37,0.91,0.02,0.42,90.7,85.7,90.8,77.6,0.243,0.426,0.127,0.262,0.443,0.261,0.226,0.434,0.16,0.21,0.269,0.347,0.195,0.366,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-18,745771,Groundout,field_out,True,660766,500779,Juan Yepez,Jose Quintana,1,6052c35e-2766-4bfe-8541-f3d0f7e78746,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.74,4.5,166.0,97.0,83.0,93.0,0.806,6.83,3.31,7.86,1.19,1.34,0.224,0.413,0.176,0.339,0.337,70.0,99.0,96.0,110.0,101.0,99.0,71.0,92.0,85.0,76.0,97.0,91.0,0.303,0.226,0.276,0.194,-0.37,0.91,0.02,0.42,90.7,85.7,90.8,77.6,0.243,0.426,0.127,0.262,0.443,0.261,0.226,0.434,0.16,0.21,0.269,0.347,0.195,0.366,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-18,745771,Flyout,field_out,True,578428,687792,Jose Iglesias,DJ Herz,0,add7eb09-ac38-44c6-b0f5-1332f3462470,687792.0,djherz,Herz,Left,DJ Herz,WSN,4.3,3.32,83.2,97.0,100.0,97.0,0.731,11.08,3.55,7.85,1.18,0.88,0.249,0.448,0.14,0.344,0.428,114.0,98.0,99.0,,,,93.0,98.0,96.0,,,,,0.541,,0.247,0.95,,,-0.36,93.6,83.6,,,,,,0.25,0.25,0.571,0.222,0.323,0.312,0.232,0.4,0.261,,,,107.0,94.0,99.0,95.0,82.0,87.0,0.179,0.033,-1.31,0.97,86.2,81.2,0.231,0.446,0.278,,,,,,,,,,,,
6,2024-09-18,745771,Walk,walk,False,516782,687792,Starling Marte,DJ Herz,0,5b56ef6b-1c4e-45aa-a321-10d8102d3496,687792.0,djherz,Herz,Left,DJ Herz,WSN,4.3,3.32,83.2,97.0,100.0,97.0,0.731,11.08,3.55,7.85,1.18,0.88,0.249,0.448,0.14,0.344,0.428,114.0,98.0,99.0,,,,93.0,98.0,96.0,,,,,0.541,,0.247,0.95,,,-0.36,93.6,83.6,,,,,,0.25,0.25,0.571,0.222,0.323,0.312,0.232,0.4,0.261,,,,107.0,94.0,99.0,95.0,82.0,87.0,0.179,0.033,-1.31,0.97,86.2,81.2,0.231,0.446,0.278,,,,,,,,,,,,
7,2024-09-18,745771,Groundout,field_out,True,607043,687792,Brandon Nimmo,DJ Herz,1,706b3e70-8cee-4b44-8fae-d747c0e1e040,687792.0,djherz,Herz,Left,DJ Herz,WSN,4.3,3.32,83.2,97.0,100.0,97.0,0.731,11.08,3.55,7.85,1.18,0.88,0.249,0.448,0.14,0.344,0.428,114.0,98.0,99.0,,,,93.0,98.0,96.0,,,,,0.541,,0.247,0.95,,,-0.36,93.6,83.6,,,,,,0.25,0.25,0.571,0.222,0.323,0.312,0.232,0.4,0.261,,,,107.0,94.0,99.0,95.0,82.0,87.0,0.179,0.033,-1.31,0.97,86.2,81.2,0.231,0.446,0.278,,,,,,,,,,,,
8,2024-09-18,745771,Lineout,field_out,True,624413,687792,Pete Alonso,DJ Herz,0,b1b68da6-3ac6-4dfe-90a8-4df12b403d17,687792.0,djherz,Herz,Left,DJ Herz,WSN,4.3,3.32,83.2,97.0,100.0,97.0,0.731,11.08,3.55,7.85,1.18,0.88,0.249,0.448,0.14,0.344,0.428,114.0,98.0,99.0,,,,93.0,98.0,96.0,,,,,0.541,,0.247,0.95,,,-0.36,93.6,83.6,,,,,,0.25,0.25,0.571,0.222,0.323,0.312,0.232,0.4,0.261,,,,107.0,94.0,99.0,95.0,82.0,87.0,0.179,0.033,-1.31,0.97,86.2,81.2,0.231,0.446,0.278,,,,,,,,,,,,
9,2024-09-18,745771,Groundout,field_out,True,677588,500779,José Tena,Jose Quintana,0,e79674e9-1d1e-4e01-9fdf-d047fb9080b6,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.74,4.5,166.0,97.0,83.0,93.0,0.806,6.83,3.31,7.86,1.19,1.34,0.224,0.413,0.176,0.339,0.337,70.0,99.0,96.0,110.0,101.0,99.0,71.0,92.0,85.0,76.0,97.0,91.0,0.303,0.226,0.276,0.194,-0.37,0.91,0.02,0.42,90.7,85.7,90.8,77.6,0.243,0.426,0.127,0.262,0.443,0.261,0.226,0.434,0.16,0.21,0.269,0.347,0.195,0.366,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
