,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff
0,2024-06-27,746816,Groundout,field_out,True,672284,641771,Jarred Kelenic,Chad Kuhl,0,9152f22d-f13e-489e-b37e-b95d13a0909f,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.38,3.67,24.2,90.0,104.0,90.0,0.795,8.03,5.11,8.39,0.73,1.31,0.236,0.319,0.222,0.292,0.383,69.0,93.0,94.0,73.0,87.0,80.0,85.0,85.0,81.0,141.0,99.0,106.0,86.0,92.0,88.0,0.335,0.054,0.107,0.393,0.112,-6.87,0.12,-1.36,1.3,-0.08,95.2,92.1,87.5,94.2,85.5,0.0,0.0,0.333,0.4,0.633,0.119,0.308,0.385,0.2,0.0,0.0,0.385,0.5,1.0,0.375
1,2024-06-27,746816,Flyout,field_out,True,645277,641771,Ozzie Albies,Chad Kuhl,0,63c2ded8-fb0c-4290-a5fd-8c0eb871657c,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.38,3.67,24.2,90.0,104.0,90.0,0.795,8.03,5.11,8.39,0.73,1.31,0.236,0.319,0.222,0.292,0.383,69.0,93.0,94.0,73.0,87.0,80.0,85.0,85.0,81.0,141.0,99.0,106.0,86.0,92.0,88.0,0.335,0.054,0.107,0.393,0.112,-6.87,0.12,-1.36,1.3,-0.08,95.2,92.1,87.5,94.2,85.5,0.0,0.0,0.333,0.4,0.633,0.119,0.308,0.385,0.2,0.0,0.0,0.385,0.5,1.0,0.375
2,2024-06-27,746816,Walk,walk,False,542303,641771,Marcell Ozuna,Chad Kuhl,0,58cc28f5-283d-4339-a5e8-bd6fffc2af86,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.38,3.67,24.2,90.0,104.0,90.0,0.795,8.03,5.11,8.39,0.73,1.31,0.236,0.319,0.222,0.292,0.383,69.0,93.0,94.0,73.0,87.0,80.0,85.0,85.0,81.0,141.0,99.0,106.0,86.0,92.0,88.0,0.335,0.054,0.107,0.393,0.112,-6.87,0.12,-1.36,1.3,-0.08,95.2,92.1,87.5,94.2,85.5,0.0,0.0,0.333,0.4,0.633,0.119,0.308,0.385,0.2,0.0,0.0,0.385,0.5,1.0,0.375
3,2024-06-27,746816,Strikeout,strikeout,True,621566,641771,Matt Olson,Chad Kuhl,0,a136a495-083c-4289-8e9a-5d433071ee2d,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.38,3.67,24.2,90.0,104.0,90.0,0.795,8.03,5.11,8.39,0.73,1.31,0.236,0.319,0.222,0.292,0.383,69.0,93.0,94.0,73.0,87.0,80.0,85.0,85.0,81.0,141.0,99.0,106.0,86.0,92.0,88.0,0.335,0.054,0.107,0.393,0.112,-6.87,0.12,-1.36,1.3,-0.08,95.2,92.1,87.5,94.2,85.5,0.0,0.0,0.333,0.4,0.633,0.119,0.308,0.385,0.2,0.0,0.0,0.385,0.5,1.0,0.375
4,2024-06-27,746816,Strikeout,strikeout,True,502054,519242,Tommy Pham,Chris Sale,0,ccd360ac-7a7d-4010-ac33-94d6445d3f51,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,0.082,0.379,,0.392,0.147,-0.27,,-0.89,2.27,4.04,94.9,,87.2,94.1,78.7,0.165,0.233,0.419,0.324,0.471,0.153,0.116,0.145,0.231,,,,0.27,0.475,0.241
5,2024-06-27,746816,Groundout,field_out,True,683734,519242,Andrew Vaughn,Chris Sale,0,06e667ba-0aa8-4c0d-8ed9-da8890c30970,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,0.082,0.379,,0.392,0.147,-0.27,,-0.89,2.27,4.04,94.9,,87.2,94.1,78.7,0.165,0.233,0.419,0.324,0.471,0.153,0.116,0.145,0.231,,,,0.27,0.475,0.241
6,2024-06-27,746816,Home Run,home_run,False,673357,519242,Luis Robert Jr.,Chris Sale,0,f936f1c6-3ca6-47dd-add3-42fd18963b84,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,0.082,0.379,,0.392,0.147,-0.27,,-0.89,2.27,4.04,94.9,,87.2,94.1,78.7,0.165,0.233,0.419,0.324,0.471,0.153,0.116,0.145,0.231,,,,0.27,0.475,0.241
7,2024-06-27,746816,Strikeout,strikeout,True,650391,519242,Eloy Jiménez,Chris Sale,0,3c56f447-fb46-4148-9adc-5944acf5e333,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,0.082,0.379,,0.392,0.147,-0.27,,-0.89,2.27,4.04,94.9,,87.2,94.1,78.7,0.165,0.233,0.419,0.324,0.471,0.153,0.116,0.145,0.231,,,,0.27,0.475,0.241
8,2024-06-27,746816,Walk,walk,False,663586,641771,Austin Riley,Chad Kuhl,0,bb9dbcef-7ca7-499a-a763-2781fa4a04b5,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.38,3.67,24.2,90.0,104.0,90.0,0.795,8.03,5.11,8.39,0.73,1.31,0.236,0.319,0.222,0.292,0.383,69.0,93.0,94.0,73.0,87.0,80.0,85.0,85.0,81.0,141.0,99.0,106.0,86.0,92.0,88.0,0.335,0.054,0.107,0.393,0.112,-6.87,0.12,-1.36,1.3,-0.08,95.2,92.1,87.5,94.2,85.5,0.0,0.0,0.333,0.4,0.633,0.119,0.308,0.385,0.2,0.0,0.0,0.385,0.5,1.0,0.375
9,2024-06-27,746816,Grounded Into DP,grounded_into_double_play,True,669221,641771,Sean Murphy,Chad Kuhl,1,d3e503d5-d634-41c8-b109-bd29fcf468b9,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.38,3.67,24.2,90.0,104.0,90.0,0.795,8.03,5.11,8.39,0.73,1.31,0.236,0.319,0.222,0.292,0.383,69.0,93.0,94.0,73.0,87.0,80.0,85.0,85.0,81.0,141.0,99.0,106.0,86.0,92.0,88.0,0.335,0.054,0.107,0.393,0.112,-6.87,0.12,-1.36,1.3,-0.08,95.2,92.1,87.5,94.2,85.5,0.0,0.0,0.333,0.4,0.633,0.119,0.308,0.385,0.2,0.0,0.0,0.385,0.5,1.0,0.375
