,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-07,746018,Double,double,False,656941,670766,Kyle Schwarber,Darren McCaughan,0,1bc6df09-ae46-41a0-b924-fbb8ff886946,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,0.306,0.189,0.405,0.101,-2.62,-2.83,-3.36,-0.31,89.4,81.3,88.9,81.8,0.316,0.711,0.127,0.407,0.556,0.053,0.333,0.542,0.195,0.333,0.333,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-07,746018,Strikeout,strikeout,True,607208,670766,Trea Turner,Darren McCaughan,0,a83a7603-f0cd-40a1-a81c-b130ccc852c5,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,0.306,0.189,0.405,0.101,-2.62,-2.83,-3.36,-0.31,89.4,81.3,88.9,81.8,0.316,0.711,0.127,0.407,0.556,0.053,0.333,0.542,0.195,0.333,0.333,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-07,746018,Flyout,field_out,True,547180,670766,Bryce Harper,Darren McCaughan,0,c5172d25-f00e-472f-a528-19aca9ea95a4,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,0.306,0.189,0.405,0.101,-2.62,-2.83,-3.36,-0.31,89.4,81.3,88.9,81.8,0.316,0.711,0.127,0.407,0.556,0.053,0.333,0.542,0.195,0.333,0.333,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-07,746018,Single,single,False,592206,670766,Nick Castellanos,Darren McCaughan,1,547c9ff8-cde7-4b03-b7d1-9284fd305ce0,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,0.306,0.189,0.405,0.101,-2.62,-2.83,-3.36,-0.31,89.4,81.3,88.9,81.8,0.316,0.711,0.127,0.407,0.556,0.053,0.333,0.542,0.195,0.333,0.333,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-07,746018,Single,single,False,681082,670766,Bryson Stott,Darren McCaughan,1,fb46bdb1-63ec-4f8e-8014-83a8b5d5f6e2,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,0.306,0.189,0.405,0.101,-2.62,-2.83,-3.36,-0.31,89.4,81.3,88.9,81.8,0.316,0.711,0.127,0.407,0.556,0.053,0.333,0.542,0.195,0.333,0.333,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-07,746018,Caught Stealing 2B,caught_stealing_2b,True,669016,670766,Brandon Marsh,Darren McCaughan,0,f3005e9b-eada-4540-8c78-8dd42f7f0fc5,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,0.306,0.189,0.405,0.101,-2.62,-2.83,-3.36,-0.31,89.4,81.3,88.9,81.8,0.316,0.711,0.127,0.407,0.556,0.053,0.333,0.542,0.195,0.333,0.333,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-07,746018,Single,single,False,669364,605400,Xavier Edwards,Aaron Nola,0,a4b75f04-fee7-4d8b-a3af-5fd435cb16b6,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.41,3.86,177.0,105.0,104.0,104.0,0.778,8.49,2.29,8.34,1.32,1.27,0.204,0.465,0.171,0.302,0.401,79.0,102.0,90.0,90.0,103.0,99.0,100.0,110.0,107.0,,,,0.204,0.276,,0.098,0.89,-0.56,,-1.82,92.5,85.6,91.5,,,,,0.312,0.494,0.136,0.156,0.312,0.224,0.3,0.45,0.139,135.0,107.0,114.0,69.0,98.0,92.0,0.093,0.33,-2.61,1.26,87.5,79.1,0.215,0.348,0.354,0.388,0.796,0.17,,,,,,,,,,,,,,,,,,
7,2024-09-07,746018,Home Run,home_run,False,681393,605400,Connor Norby,Aaron Nola,1,bfbad89d-1a8c-4965-a0eb-a17357ef70fa,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.41,3.86,177.0,105.0,104.0,104.0,0.778,8.49,2.29,8.34,1.32,1.27,0.204,0.465,0.171,0.302,0.401,79.0,102.0,90.0,90.0,103.0,99.0,100.0,110.0,107.0,,,,0.204,0.276,,0.098,0.89,-0.56,,-1.82,92.5,85.6,91.5,,,,,0.312,0.494,0.136,0.156,0.312,0.224,0.3,0.45,0.139,135.0,107.0,114.0,69.0,98.0,92.0,0.093,0.33,-2.61,1.26,87.5,79.1,0.215,0.348,0.354,0.388,0.796,0.17,,,,,,,,,,,,,,,,,,
8,2024-09-07,746018,Groundout,field_out,True,660821,605400,Jesús Sánchez,Aaron Nola,0,dc0571f4-a640-44ca-855d-65f20be9d783,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.41,3.86,177.0,105.0,104.0,104.0,0.778,8.49,2.29,8.34,1.32,1.27,0.204,0.465,0.171,0.302,0.401,79.0,102.0,90.0,90.0,103.0,99.0,100.0,110.0,107.0,,,,0.204,0.276,,0.098,0.89,-0.56,,-1.82,92.5,85.6,91.5,,,,,0.312,0.494,0.136,0.156,0.312,0.224,0.3,0.45,0.139,135.0,107.0,114.0,69.0,98.0,92.0,0.093,0.33,-2.61,1.26,87.5,79.1,0.215,0.348,0.354,0.388,0.796,0.17,,,,,,,,,,,,,,,,,,
9,2024-09-07,746018,Groundout,field_out,True,681146,605400,Jonah Bride,Aaron Nola,0,08ec2b5f-8540-4814-9b37-8ea8f43a9515,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.41,3.86,177.0,105.0,104.0,104.0,0.778,8.49,2.29,8.34,1.32,1.27,0.204,0.465,0.171,0.302,0.401,79.0,102.0,90.0,90.0,103.0,99.0,100.0,110.0,107.0,,,,0.204,0.276,,0.098,0.89,-0.56,,-1.82,92.5,85.6,91.5,,,,,0.312,0.494,0.136,0.156,0.312,0.224,0.3,0.45,0.139,135.0,107.0,114.0,69.0,98.0,92.0,0.093,0.33,-2.61,1.26,87.5,79.1,0.215,0.348,0.354,0.388,0.796,0.17,,,,,,,,,,,,,,,,,,
