,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-04-01,746899,Flyout,field_out,True,453568,684007,Charlie Blackmon,Shota Imanaga,0,6241bffc-5b1f-43b3-9961-58eeb5f27c9f,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,51.0,108.0,96.0,80.0,102.0,96.0,0.002,0.547,0.009,0.33,0.067,0.044,0.001,1.17,-8.77,0.11,-1.44,-1.0,-0.86,-3.42,91.8,89.8,83.1,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,0.429,0.429,0.0,0.5,1.25,0.125,,,,,,,,,,,,
1,2024-04-01,746899,Strikeout,strikeout,True,663898,684007,Brendan Rodgers,Shota Imanaga,0,586f801f-a85c-4e45-900e-d4e7f117fbd3,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,51.0,108.0,96.0,80.0,102.0,96.0,0.002,0.547,0.009,0.33,0.067,0.044,0.001,1.17,-8.77,0.11,-1.44,-1.0,-0.86,-3.42,91.8,89.8,83.1,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,0.429,0.429,0.0,0.5,1.25,0.125,,,,,,,,,,,,
2,2024-04-01,746899,Pop Out,field_out,True,666134,684007,Nolan Jones,Shota Imanaga,0,262718a4-26a1-45f6-86eb-f81d3ad6a238,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,51.0,108.0,96.0,80.0,102.0,96.0,0.002,0.547,0.009,0.33,0.067,0.044,0.001,1.17,-8.77,0.11,-1.44,-1.0,-0.86,-3.42,91.8,89.8,83.1,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,0.429,0.429,0.0,0.5,1.25,0.125,,,,,,,,,,,,
3,2024-04-01,746899,Walk,walk,False,664023,641712,Ian Happ,Dakota Hudson,0,d5862e6c-46fd-49db-adfb-3dd2c86e738e,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,,0.255,0.166,0.103,-1.93,,,-0.53,-0.32,0.89,-4.92,89.9,,,83.4,90.3,84.1,80.2,0.296,0.5,0.079,,,,0.289,0.361,0.313,0.114,0.205,0.333,,,,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
4,2024-04-01,746899,Lineout,field_out,True,673548,641712,Seiya Suzuki,Dakota Hudson,0,d7e4c8b8-4925-4fd8-bade-781b2a49b2d7,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,,0.255,0.166,0.103,-1.93,,,-0.53,-0.32,0.89,-4.92,89.9,,,83.4,90.3,84.1,80.2,0.296,0.5,0.079,,,,0.289,0.361,0.313,0.114,0.205,0.333,,,,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
5,2024-04-01,746899,Flyout,field_out,True,641355,641712,Cody Bellinger,Dakota Hudson,0,787e2306-3b3a-4659-9dd5-97a606e0e395,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,,0.255,0.166,0.103,-1.93,,,-0.53,-0.32,0.89,-4.92,89.9,,,83.4,90.3,84.1,80.2,0.296,0.5,0.079,,,,0.289,0.361,0.313,0.114,0.205,0.333,,,,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
6,2024-04-01,746899,Single,single,False,666624,641712,Christopher Morel,Dakota Hudson,1,203ef3b2-da07-4d31-8502-50d70cd4634c,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,,0.255,0.166,0.103,-1.93,,,-0.53,-0.32,0.89,-4.92,89.9,,,83.4,90.3,84.1,80.2,0.296,0.5,0.079,,,,0.289,0.361,0.313,0.114,0.205,0.333,,,,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
7,2024-04-01,746899,Forceout,force_out,True,621020,641712,Dansby Swanson,Dakota Hudson,1,a0973510-deb4-43fa-8c56-872a667900cf,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,102.0,98.0,99.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,,0.255,0.166,0.103,-1.93,,,-0.53,-0.32,0.89,-4.92,89.9,,,83.4,90.3,84.1,80.2,0.296,0.5,0.079,,,,0.289,0.361,0.313,0.114,0.205,0.333,,,,0.315,0.465,0.07,0.379,0.69,0.146,,,,,,
8,2024-04-01,746899,Field Error,field_error,False,592178,684007,Kris Bryant,Shota Imanaga,0,ed69b818-1426-4c88-8ddd-544532e20e5c,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,51.0,108.0,96.0,80.0,102.0,96.0,0.002,0.547,0.009,0.33,0.067,0.044,0.001,1.17,-8.77,0.11,-1.44,-1.0,-0.86,-3.42,91.8,89.8,83.1,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,0.429,0.429,0.0,0.5,1.25,0.125,,,,,,,,,,,,
9,2024-04-01,746899,Strikeout,strikeout,True,641857,684007,Ryan McMahon,Shota Imanaga,0,377294b5-d2e8-44e5-b733-c64a079b6e02,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,95.0,104.0,106.0,90.0,120.0,107.0,110.0,108.0,109.0,51.0,108.0,96.0,80.0,102.0,96.0,0.002,0.547,0.009,0.33,0.067,0.044,0.001,1.17,-8.77,0.11,-1.44,-1.0,-0.86,-3.42,91.8,89.8,83.1,87.6,89.4,81.9,72.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,0.429,0.429,0.0,0.5,1.25,0.125,,,,,,,,,,,,
