,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,vSC (sc),Stf+ CU,Loc+ CU,Pit+ CU,CU%,SC%,wCU/C,wSC/C,vCU,SC_ba,SC_slg,SC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-13,747160,Groundout,field_out,True,453568,593958,Charlie Blackmon,Eduardo Rodriguez,0,34dca354-b079-43d9-94f6-1bab7bccec96,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.06,4.97,21.1,108.0,74.0,97.0,0.803,6.75,2.11,8.86,1.27,1.13,0.203,0.522,0.145,0.29,0.427,98.0,108.0,105.0,58.0,107.0,94.0,77.0,121.0,103.0,94.0,102.0,92.0,75.0,107.0,89.0,0.083,0.442,0.163,0.065,0.246,0.09,-4.21,-1.41,2.62,1.42,91.7,88.5,86.8,91.3,83.7,0.214,0.321,0.234,0.28,0.56,0.246,0.333,0.722,0.148,0.2,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-13,747160,Lineout,field_out,True,678662,593958,Ezequiel Tovar,Eduardo Rodriguez,0,f2f34f70-cde4-4e9d-9adf-e3020d4e7f74,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.06,4.97,21.1,108.0,74.0,97.0,0.803,6.75,2.11,8.86,1.27,1.13,0.203,0.522,0.145,0.29,0.427,98.0,108.0,105.0,58.0,107.0,94.0,77.0,121.0,103.0,94.0,102.0,92.0,75.0,107.0,89.0,0.083,0.442,0.163,0.065,0.246,0.09,-4.21,-1.41,2.62,1.42,91.7,88.5,86.8,91.3,83.7,0.214,0.321,0.234,0.28,0.56,0.246,0.333,0.722,0.148,0.2,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-13,747160,Groundout,field_out,True,686668,593958,Brenton Doyle,Eduardo Rodriguez,0,608ecb20-45a8-48e8-b439-100e1184b71f,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.06,4.97,21.1,108.0,74.0,97.0,0.803,6.75,2.11,8.86,1.27,1.13,0.203,0.522,0.145,0.29,0.427,98.0,108.0,105.0,58.0,107.0,94.0,77.0,121.0,103.0,94.0,102.0,92.0,75.0,107.0,89.0,0.083,0.442,0.163,0.065,0.246,0.09,-4.21,-1.41,2.62,1.42,91.7,88.5,86.8,91.3,83.7,0.214,0.321,0.234,0.28,0.56,0.246,0.333,0.722,0.148,0.2,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-13,747160,Strikeout,strikeout,True,672695,596295,Geraldo Perdomo,Austin Gomber,0,3ed2013f-32cb-443d-93d9-feb323a8d751,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,51.0,110.0,96.0,87.0,102.0,101.0,,,,0.001,0.412,,0.155,0.209,-1.03,,-42.81,0.05,-0.1,90.5,,81.1,90.1,83.9,0.261,0.414,0.285,0.298,0.574,0.096,,,,,,,0.266,0.489,0.18,90.0,110.0,107.0,0.223,-0.11,77.6,0.211,0.381,0.263,,,,,,,,,,,,,,,
4,2024-08-13,747160,Single,single,False,664983,596295,Jake McCarthy,Austin Gomber,0,1f4e335d-37f8-458d-8ad0-1281b9c2d472,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,51.0,110.0,96.0,87.0,102.0,101.0,,,,0.001,0.412,,0.155,0.209,-1.03,,-42.81,0.05,-0.1,90.5,,81.1,90.1,83.9,0.261,0.414,0.285,0.298,0.574,0.096,,,,,,,0.266,0.489,0.18,90.0,110.0,107.0,0.223,-0.11,77.6,0.211,0.381,0.263,,,,,,,,,,,,,,,
5,2024-08-13,747160,Pop Out,field_out,True,666971,596295,Lourdes Gurriel Jr.,Austin Gomber,0,4ab9df8c-eedd-4d65-87c3-b896d42941d9,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,51.0,110.0,96.0,87.0,102.0,101.0,,,,0.001,0.412,,0.155,0.209,-1.03,,-42.81,0.05,-0.1,90.5,,81.1,90.1,83.9,0.261,0.414,0.285,0.298,0.574,0.096,,,,,,,0.266,0.489,0.18,90.0,110.0,107.0,0.223,-0.11,77.6,0.211,0.381,0.263,,,,,,,,,,,,,,,
6,2024-08-13,747160,Strikeout,strikeout,True,605137,596295,Josh Bell,Austin Gomber,0,03c1c7b0-95aa-418a-8a7a-e706f7f955ef,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,51.0,110.0,96.0,87.0,102.0,101.0,,,,0.001,0.412,,0.155,0.209,-1.03,,-42.81,0.05,-0.1,90.5,,81.1,90.1,83.9,0.261,0.414,0.285,0.298,0.574,0.096,,,,,,,0.266,0.489,0.18,90.0,110.0,107.0,0.223,-0.11,77.6,0.211,0.381,0.263,,,,,,,,,,,,,,,
7,2024-08-13,747160,Strikeout,strikeout,True,641857,593958,Ryan McMahon,Eduardo Rodriguez,0,fd8650fb-f6f3-40a8-b17f-d54b9c053b46,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.06,4.97,21.1,108.0,74.0,97.0,0.803,6.75,2.11,8.86,1.27,1.13,0.203,0.522,0.145,0.29,0.427,98.0,108.0,105.0,58.0,107.0,94.0,77.0,121.0,103.0,94.0,102.0,92.0,75.0,107.0,89.0,0.083,0.442,0.163,0.065,0.246,0.09,-4.21,-1.41,2.62,1.42,91.7,88.5,86.8,91.3,83.7,0.214,0.321,0.234,0.28,0.56,0.246,0.333,0.722,0.148,0.2,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-13,747160,Double,double,False,663898,593958,Brendan Rodgers,Eduardo Rodriguez,0,9fe831ce-bc07-47c3-bf39-3f61f243ee5b,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.06,4.97,21.1,108.0,74.0,97.0,0.803,6.75,2.11,8.86,1.27,1.13,0.203,0.522,0.145,0.29,0.427,98.0,108.0,105.0,58.0,107.0,94.0,77.0,121.0,103.0,94.0,102.0,92.0,75.0,107.0,89.0,0.083,0.442,0.163,0.065,0.246,0.09,-4.21,-1.41,2.62,1.42,91.7,88.5,86.8,91.3,83.7,0.214,0.321,0.234,0.28,0.56,0.246,0.333,0.722,0.148,0.2,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-13,747160,Walk,walk,False,669911,593958,Michael Toglia,Eduardo Rodriguez,0,16ebc3ea-0c74-46dd-83ab-21d163390e93,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.06,4.97,21.1,108.0,74.0,97.0,0.803,6.75,2.11,8.86,1.27,1.13,0.203,0.522,0.145,0.29,0.427,98.0,108.0,105.0,58.0,107.0,94.0,77.0,121.0,103.0,94.0,102.0,92.0,75.0,107.0,89.0,0.083,0.442,0.163,0.065,0.246,0.09,-4.21,-1.41,2.62,1.42,91.7,88.5,86.8,91.3,83.7,0.214,0.321,0.234,0.28,0.56,0.246,0.333,0.722,0.148,0.2,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
