,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-05-07,746718,Pop Out,field_out,True,682998,593423,Corbin Carroll,Frankie Montas,0,b880500a-291d-4929-917f-e961745519b3,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-07,746718,Strikeout,strikeout,True,606466,593423,Ketel Marte,Frankie Montas,0,e5fb17f8-3428-4beb-9e4c-5d8f2b8316fb,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-07,746718,Flyout,field_out,True,666971,593423,Lourdes Gurriel Jr.,Frankie Montas,0,87d9d77a-059f-4f27-8ca2-ffe10cf0748a,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-07,746718,Groundout,field_out,True,670770,668678,TJ Friedl,Zac Gallen,0,1186e151-f728-4459-81bc-1ac7ec2eaabc,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.87,4.27,76.2,99.0,100.0,100.0,0.771,8.92,2.47,8.45,0.94,1.35,0.212,0.396,0.138,0.387,0.355,101.0,95.0,97.0,132.0,80.0,80.0,102.0,101.0,100.0,89.0,93.0,85.0,,,,0.002,0.494,0.031,,0.092,-0.54,-1.0,,-0.99,-0.07,93.4,90.4,,94.7,86.4,0.287,0.463,0.141,,,,,,,0.25,1.0,0.4,0.286,0.476,0.304,85.0,106.0,92.0,103.0,106.0,110.0,0.273,0.108,2.38,-0.12,86.7,80.6,0.163,0.239,0.382,0.282,0.462,0.23,,,,,,
4,2024-05-07,746718,Flyout,field_out,True,682829,668678,Elly De La Cruz,Zac Gallen,0,9e32a541-3a98-45a0-abaa-efe73516e16d,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.87,4.27,76.2,99.0,100.0,100.0,0.771,8.92,2.47,8.45,0.94,1.35,0.212,0.396,0.138,0.387,0.355,101.0,95.0,97.0,132.0,80.0,80.0,102.0,101.0,100.0,89.0,93.0,85.0,,,,0.002,0.494,0.031,,0.092,-0.54,-1.0,,-0.99,-0.07,93.4,90.4,,94.7,86.4,0.287,0.463,0.141,,,,,,,0.25,1.0,0.4,0.286,0.476,0.304,85.0,106.0,92.0,103.0,106.0,110.0,0.273,0.108,2.38,-0.12,86.7,80.6,0.163,0.239,0.382,0.282,0.462,0.23,,,,,,
5,2024-05-07,746718,Walk,walk,False,668715,668678,Spencer Steer,Zac Gallen,0,79e7fa79-5826-4686-a118-ddfd119b78c6,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.87,4.27,76.2,99.0,100.0,100.0,0.771,8.92,2.47,8.45,0.94,1.35,0.212,0.396,0.138,0.387,0.355,101.0,95.0,97.0,132.0,80.0,80.0,102.0,101.0,100.0,89.0,93.0,85.0,,,,0.002,0.494,0.031,,0.092,-0.54,-1.0,,-0.99,-0.07,93.4,90.4,,94.7,86.4,0.287,0.463,0.141,,,,,,,0.25,1.0,0.4,0.286,0.476,0.304,85.0,106.0,92.0,103.0,106.0,110.0,0.273,0.108,2.38,-0.12,86.7,80.6,0.163,0.239,0.382,0.282,0.462,0.23,,,,,,
6,2024-05-07,746718,Strikeout,strikeout,True,663886,668678,Tyler Stephenson,Zac Gallen,0,143b94fa-1ff8-45e3-acdf-4ad6d55776a9,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.87,4.27,76.2,99.0,100.0,100.0,0.771,8.92,2.47,8.45,0.94,1.35,0.212,0.396,0.138,0.387,0.355,101.0,95.0,97.0,132.0,80.0,80.0,102.0,101.0,100.0,89.0,93.0,85.0,,,,0.002,0.494,0.031,,0.092,-0.54,-1.0,,-0.99,-0.07,93.4,90.4,,94.7,86.4,0.287,0.463,0.141,,,,,,,0.25,1.0,0.4,0.286,0.476,0.304,85.0,106.0,92.0,103.0,106.0,110.0,0.273,0.108,2.38,-0.12,86.7,80.6,0.163,0.239,0.382,0.282,0.462,0.23,,,,,,
7,2024-05-07,746718,Groundout,field_out,True,572233,593423,Christian Walker,Frankie Montas,0,b368c16a-2895-440e-9bcb-f8302a141f98,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-07,746718,Strikeout,strikeout,True,592626,593423,Joc Pederson,Frankie Montas,0,0fb5cc3e-3e69-40b4-9fcd-08d955118f3e,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-07,746718,Strikeout,strikeout,True,553993,593423,Eugenio Suárez,Frankie Montas,0,90d931b3-e394-4fed-b8e3-9b9a5c8d0629,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,120.0,97.0,106.0,0.155,0.344,0.173,0.218,0.11,-0.34,-2.54,-0.21,1.59,-0.61,95.3,90.2,85.7,94.3,84.9,0.231,0.433,0.19,0.221,0.338,0.121,0.214,0.329,0.426,0.378,0.711,0.209,0.217,0.435,0.294,,,,,,,,,,,,,,,,,,,,,,,,
