,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff
0,2024-08-15,745298,Strikeout,strikeout,True,671739,657277,Michael Harris II,Logan Webb,0,ea09c647-117f-4720-a748-7ee4862389f1,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.24,4.26,177.2,104.0,113.0,107.0,0.814,7.6,2.23,8.56,0.46,2.48,0.234,0.372,0.166,0.289,0.4,136.0,106.0,114.0,58.0,106.0,89.0,97.0,103.0,100.0,122.0,104.0,113.0,57.0,111.0,109.0,0.394,0.052,0.012,0.215,0.327,-0.22,4.89,1.48,0.17,0.46,92.4,90.5,87.3,92.4,83.7,0.262,0.373,0.212,0.251,0.328,0.153,0.248,0.344,0.258,0.188,0.25,0.328,0.0,0.0,0.188,,,,,,,,,,,,
1,2024-08-15,745298,Groundout,field_out,True,663586,657277,Austin Riley,Logan Webb,0,f4b50a6e-b2b1-43a4-8a57-f53036cf97d6,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.24,4.26,177.2,104.0,113.0,107.0,0.814,7.6,2.23,8.56,0.46,2.48,0.234,0.372,0.166,0.289,0.4,136.0,106.0,114.0,58.0,106.0,89.0,97.0,103.0,100.0,122.0,104.0,113.0,57.0,111.0,109.0,0.394,0.052,0.012,0.215,0.327,-0.22,4.89,1.48,0.17,0.46,92.4,90.5,87.3,92.4,83.7,0.262,0.373,0.212,0.251,0.328,0.153,0.248,0.344,0.258,0.188,0.25,0.328,0.0,0.0,0.188,,,,,,,,,,,,
2,2024-08-15,745298,Pop Out,field_out,True,542303,657277,Marcell Ozuna,Logan Webb,0,559e3092-95b7-4673-8b62-ce15e42391b0,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.24,4.26,177.2,104.0,113.0,107.0,0.814,7.6,2.23,8.56,0.46,2.48,0.234,0.372,0.166,0.289,0.4,136.0,106.0,114.0,58.0,106.0,89.0,97.0,103.0,100.0,122.0,104.0,113.0,57.0,111.0,109.0,0.394,0.052,0.012,0.215,0.327,-0.22,4.89,1.48,0.17,0.46,92.4,90.5,87.3,92.4,83.7,0.262,0.373,0.212,0.251,0.328,0.153,0.248,0.344,0.258,0.188,0.25,0.328,0.0,0.0,0.188,,,,,,,,,,,,
3,2024-08-15,745298,Single,single,False,666149,608331,Tyler Fitzgerald,Max Fried,0,037c91a2-cfdd-4a7b-a13a-1305d11b9033,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,81.0,92.0,93.0,95.0,99.0,97.0,97.0,97.0,95.0,88.0,95.0,93.0,0.158,0.325,0.056,0.109,0.14,0.72,-0.46,1.37,0.34,1.87,93.8,89.1,85.8,93.6,82.7,0.162,0.235,0.258,0.266,0.287,0.143,0.25,0.25,0.31,0.278,0.354,0.187,0.313,0.313,0.341,113.0,103.0,107.0,0.212,1.06,74.4,0.165,0.32,0.344,0.213,0.298,0.286
4,2024-08-15,745298,Strikeout,strikeout,True,592192,608331,Mark Canha,Max Fried,0,6cf69645-684a-4185-af45-010d2adf134d,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,81.0,92.0,93.0,95.0,99.0,97.0,97.0,97.0,95.0,88.0,95.0,93.0,0.158,0.325,0.056,0.109,0.14,0.72,-0.46,1.37,0.34,1.87,93.8,89.1,85.8,93.6,82.7,0.162,0.235,0.258,0.266,0.287,0.143,0.25,0.25,0.31,0.278,0.354,0.187,0.313,0.313,0.341,113.0,103.0,107.0,0.212,1.06,74.4,0.165,0.32,0.344,0.213,0.298,0.286
5,2024-08-15,745298,Strikeout,strikeout,True,671218,608331,Heliot Ramos,Max Fried,1,9cb86d52-190e-4330-b792-27d0f4f87ec6,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,81.0,92.0,93.0,95.0,99.0,97.0,97.0,97.0,95.0,88.0,95.0,93.0,0.158,0.325,0.056,0.109,0.14,0.72,-0.46,1.37,0.34,1.87,93.8,89.1,85.8,93.6,82.7,0.162,0.235,0.258,0.266,0.287,0.143,0.25,0.25,0.31,0.278,0.354,0.187,0.313,0.313,0.341,113.0,103.0,107.0,0.212,1.06,74.4,0.165,0.32,0.344,0.213,0.298,0.286
6,2024-08-15,745298,Flyout,field_out,True,656305,608331,Matt Chapman,Max Fried,0,2b4bfc57-de06-44fc-a294-bea3e7b8fe33,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,81.0,92.0,93.0,95.0,99.0,97.0,97.0,97.0,95.0,88.0,95.0,93.0,0.158,0.325,0.056,0.109,0.14,0.72,-0.46,1.37,0.34,1.87,93.8,89.1,85.8,93.6,82.7,0.162,0.235,0.258,0.266,0.287,0.143,0.25,0.25,0.31,0.278,0.354,0.187,0.313,0.313,0.341,113.0,103.0,107.0,0.212,1.06,74.4,0.165,0.32,0.344,0.213,0.298,0.286
7,2024-08-15,745298,Strikeout,strikeout,True,621566,657277,Matt Olson,Logan Webb,0,86df1e0f-6107-4c7b-86cc-f093e23650ed,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.24,4.26,177.2,104.0,113.0,107.0,0.814,7.6,2.23,8.56,0.46,2.48,0.234,0.372,0.166,0.289,0.4,136.0,106.0,114.0,58.0,106.0,89.0,97.0,103.0,100.0,122.0,104.0,113.0,57.0,111.0,109.0,0.394,0.052,0.012,0.215,0.327,-0.22,4.89,1.48,0.17,0.46,92.4,90.5,87.3,92.4,83.7,0.262,0.373,0.212,0.251,0.328,0.153,0.248,0.344,0.258,0.188,0.25,0.328,0.0,0.0,0.188,,,,,,,,,,,,
8,2024-08-15,745298,Strikeout,strikeout,True,518595,657277,Travis d'Arnaud,Logan Webb,0,340f2291-66de-4abc-8330-6f4b103a15f3,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.24,4.26,177.2,104.0,113.0,107.0,0.814,7.6,2.23,8.56,0.46,2.48,0.234,0.372,0.166,0.289,0.4,136.0,106.0,114.0,58.0,106.0,89.0,97.0,103.0,100.0,122.0,104.0,113.0,57.0,111.0,109.0,0.394,0.052,0.012,0.215,0.327,-0.22,4.89,1.48,0.17,0.46,92.4,90.5,87.3,92.4,83.7,0.262,0.373,0.212,0.251,0.328,0.153,0.248,0.344,0.258,0.188,0.25,0.328,0.0,0.0,0.188,,,,,,,,,,,,
9,2024-08-15,745298,Groundout,field_out,True,606115,657277,Orlando Arcia,Logan Webb,0,dfb6710c-1e9a-44d1-9a60-7d20659230d4,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.24,4.26,177.2,104.0,113.0,107.0,0.814,7.6,2.23,8.56,0.46,2.48,0.234,0.372,0.166,0.289,0.4,136.0,106.0,114.0,58.0,106.0,89.0,97.0,103.0,100.0,122.0,104.0,113.0,57.0,111.0,109.0,0.394,0.052,0.012,0.215,0.327,-0.22,4.89,1.48,0.17,0.46,92.4,90.5,87.3,92.4,83.7,0.262,0.373,0.212,0.251,0.328,0.153,0.248,0.344,0.258,0.188,0.25,0.328,0.0,0.0,0.188,,,,,,,,,,,,
