,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
40,2024-08-16,745054,Lineout,field_out,True,666971,687330,Lourdes Gurriel Jr.,Kevin Kelly,0,86b9a2e2-c086-449e-875e-74cbeb322e8b,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.3,3.44,57.1,105.0,115.0,104.0,0.807,8.32,1.1,8.32,1.1,2.02,0.241,0.38,0.199,0.259,0.481,,,,,,,174.0,109.0,106.0,116.0,98.0,105.0,95.0,102.0,105.0,0.012,0.091,0.289,,,-13.92,0.43,0.14,,,92.3,87.8,,77.3,,,,,,,,,,,0.167,0.333,0.237,,,,0.196,0.321,0.322,117.0,108.0,104.0,0.608,0.96,90.8,0.273,0.41,0.136,,,,,,,,,
41,2024-08-16,745054,Flyout,field_out,True,680728,687330,Adrian Del Castillo,Kevin Kelly,1,dd2d9639-45ef-4dbc-934e-7f1db4984e44,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.3,3.44,57.1,105.0,115.0,104.0,0.807,8.32,1.1,8.32,1.1,2.02,0.241,0.38,0.199,0.259,0.481,,,,,,,174.0,109.0,106.0,116.0,98.0,105.0,95.0,102.0,105.0,0.012,0.091,0.289,,,-13.92,0.43,0.14,,,92.3,87.8,,77.3,,,,,,,,,,,0.167,0.333,0.237,,,,0.196,0.321,0.322,117.0,108.0,104.0,0.608,0.96,90.8,0.273,0.41,0.136,,,,,,,,,
42,2024-08-16,745054,Groundout,field_out,True,650490,669194,Yandy Díaz,Ryne Nelson,0,477ff27b-30fd-4523-a926-4e7dc0c04c9b,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
43,2024-08-16,745054,Groundout,field_out,True,664040,669194,Brandon Lowe,Ryne Nelson,0,9f1a9379-9c24-4937-b102-2503c74a0bf4,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
44,2024-08-16,745054,Single,single,False,666624,669194,Christopher Morel,Ryne Nelson,0,996c38b4-d557-4c44-b2c7-c87138e63238,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
45,2024-08-16,745054,Lineout,field_out,True,666139,669194,Josh Lowe,Ryne Nelson,0,f41b0822-c684-421c-9bf9-1d2b676af867,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
46,2024-08-16,745054,Flyout,field_out,True,553993,687330,Eugenio Suárez,Kevin Kelly,0,dd557f88-2834-4841-8e5b-86175e0d32aa,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.3,3.44,57.1,105.0,115.0,104.0,0.807,8.32,1.1,8.32,1.1,2.02,0.241,0.38,0.199,0.259,0.481,,,,,,,174.0,109.0,106.0,116.0,98.0,105.0,95.0,102.0,105.0,0.012,0.091,0.289,,,-13.92,0.43,0.14,,,92.3,87.8,,77.3,,,,,,,,,,,0.167,0.333,0.237,,,,0.196,0.321,0.322,117.0,108.0,104.0,0.608,0.96,90.8,0.273,0.41,0.136,,,,,,,,,
47,2024-08-16,745054,Groundout,field_out,True,672695,687330,Geraldo Perdomo,Kevin Kelly,0,0cffd792-db2f-4c79-be21-4e0da8492ee2,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.3,3.44,57.1,105.0,115.0,104.0,0.807,8.32,1.1,8.32,1.1,2.02,0.241,0.38,0.199,0.259,0.481,,,,,,,174.0,109.0,106.0,116.0,98.0,105.0,95.0,102.0,105.0,0.012,0.091,0.289,,,-13.92,0.43,0.14,,,92.3,87.8,,77.3,,,,,,,,,,,0.167,0.333,0.237,,,,0.196,0.321,0.322,117.0,108.0,104.0,0.608,0.96,90.8,0.273,0.41,0.136,,,,,,,,,
48,2024-08-16,745054,Walk,walk,False,677942,687330,Blaze Alexander,Kevin Kelly,0,5e4facd8-1544-4d30-9d8a-afa689611b6d,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.3,3.44,57.1,105.0,115.0,104.0,0.807,8.32,1.1,8.32,1.1,2.02,0.241,0.38,0.199,0.259,0.481,,,,,,,174.0,109.0,106.0,116.0,98.0,105.0,95.0,102.0,105.0,0.012,0.091,0.289,,,-13.92,0.43,0.14,,,92.3,87.8,,77.3,,,,,,,,,,,0.167,0.333,0.237,,,,0.196,0.321,0.322,117.0,108.0,104.0,0.608,0.96,90.8,0.273,0.41,0.136,,,,,,,,,
49,2024-08-16,745054,Flyout,field_out,True,682998,687330,Corbin Carroll,Kevin Kelly,0,743717ec-b70a-4e1e-b4b0-0a4d129ff889,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.3,3.44,57.1,105.0,115.0,104.0,0.807,8.32,1.1,8.32,1.1,2.02,0.241,0.38,0.199,0.259,0.481,,,,,,,174.0,109.0,106.0,116.0,98.0,105.0,95.0,102.0,105.0,0.012,0.091,0.289,,,-13.92,0.43,0.14,,,92.3,87.8,,77.3,,,,,,,,,,,0.167,0.333,0.237,,,,0.196,0.321,0.322,117.0,108.0,104.0,0.608,0.96,90.8,0.273,0.41,0.136,,,,,,,,,
50,2024-08-16,745054,Single,single,False,691406,669194,Junior Caminero,Ryne Nelson,0,b7b97230-1a36-410d-b8a0-a90c3346278b,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
51,2024-08-16,745054,Groundout,field_out,True,666185,669194,Dylan Carlson,Ryne Nelson,1,b53dd4f1-946b-490b-8868-290ad494b162,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
52,2024-08-16,745054,Pop Out,field_out,True,656577,640462,Alex Jackson,A.J. Puk,0,5d353f01-c4b4-4d06-8a71-5cb2190c66d5,640462.0,ajpuk,Puk,Left,A.J. Puk,- - -,3.43,2.95,57.2,102.0,114.0,105.0,0.731,10.14,3.9,6.71,0.47,0.97,0.227,0.4,0.213,0.28,0.456,118.0,111.0,110.0,,,,122.0,103.0,106.0,102.0,106.0,111.0,,,,0.414,,0.364,,0.018,2.6,,-0.09,,-1.92,95.3,,90.3,83.4,,0.132,0.176,0.303,0.4,0.4,0.4,0.179,0.231,0.471,,,,,,,0.229,0.543,0.262,108.0,95.0,95.0,0.172,-0.37,94.6,0.294,0.471,0.108,116.0,103.0,113.0,0.031,-4.01,84.4,0.444,0.667,0.111
53,2024-08-16,745054,Strikeout,strikeout,True,676609,640462,José Caballero,A.J. Puk,0,c7bec0d1-4d43-424c-829b-bacec6a9e0d3,640462.0,ajpuk,Puk,Left,A.J. Puk,- - -,3.43,2.95,57.2,102.0,114.0,105.0,0.731,10.14,3.9,6.71,0.47,0.97,0.227,0.4,0.213,0.28,0.456,118.0,111.0,110.0,,,,122.0,103.0,106.0,102.0,106.0,111.0,,,,0.414,,0.364,,0.018,2.6,,-0.09,,-1.92,95.3,,90.3,83.4,,0.132,0.176,0.303,0.4,0.4,0.4,0.179,0.231,0.471,,,,,,,0.229,0.543,0.262,108.0,95.0,95.0,0.172,-0.37,94.6,0.294,0.471,0.108,116.0,103.0,113.0,0.031,-4.01,84.4,0.444,0.667,0.111
54,2024-08-16,745054,Flyout,field_out,True,664983,621363,Jake McCarthy,Colin Poche,0,53cfc9e0-3481-43ca-a8cf-5844594b05a2,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.67,4.06,34.1,93.0,88.0,96.0,0.812,8.13,3.41,6.82,1.83,0.68,0.189,0.484,0.147,0.326,0.43,,,,,,,98.0,89.0,92.0,67.0,102.0,102.0,,,,0.675,,0.325,,,0.85,,0.43,,,91.2,,,83.2,,0.215,0.405,0.155,,,,0.196,0.37,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2024-08-16,745054,Single,single,False,545341,621363,Randal Grichuk,Colin Poche,0,9e1972d0-5839-4f28-8e12-2233d94c799b,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.67,4.06,34.1,93.0,88.0,96.0,0.812,8.13,3.41,6.82,1.83,0.68,0.189,0.484,0.147,0.326,0.43,,,,,,,98.0,89.0,92.0,67.0,102.0,102.0,,,,0.675,,0.325,,,0.85,,0.43,,,91.2,,,83.2,,0.215,0.405,0.155,,,,0.196,0.37,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2024-08-16,745054,Groundout,field_out,True,605137,621363,Josh Bell,Colin Poche,1,3ee3cc1b-2acd-4a77-a7cd-b45784d43d84,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.67,4.06,34.1,93.0,88.0,96.0,0.812,8.13,3.41,6.82,1.83,0.68,0.189,0.484,0.147,0.326,0.43,,,,,,,98.0,89.0,92.0,67.0,102.0,102.0,,,,0.675,,0.325,,,0.85,,0.43,,,91.2,,,83.2,,0.215,0.405,0.155,,,,0.196,0.37,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2024-08-16,745054,Intent Walk,intent_walk,False,666971,621363,Lourdes Gurriel Jr.,Colin Poche,0,07450546-0586-1033-000c-f08cd117d70a,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.67,4.06,34.1,93.0,88.0,96.0,0.812,8.13,3.41,6.82,1.83,0.68,0.189,0.484,0.147,0.326,0.43,,,,,,,98.0,89.0,92.0,67.0,102.0,102.0,,,,0.675,,0.325,,,0.85,,0.43,,,91.2,,,83.2,,0.215,0.405,0.155,,,,0.196,0.37,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2024-08-16,745054,Strikeout,strikeout,True,680728,621363,Adrian Del Castillo,Colin Poche,0,e8940b07-a985-455a-87ef-46e2882094fe,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.67,4.06,34.1,93.0,88.0,96.0,0.812,8.13,3.41,6.82,1.83,0.68,0.189,0.484,0.147,0.326,0.43,,,,,,,98.0,89.0,92.0,67.0,102.0,102.0,,,,0.675,,0.325,,,0.85,,0.43,,,91.2,,,83.2,,0.215,0.405,0.155,,,,0.196,0.37,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2024-08-16,745054,Lineout,field_out,True,676356,640462,Jonny DeLuca,A.J. Puk,0,e7ab17c5-1ced-4c62-b054-c19c4c5aa558,640462.0,ajpuk,Puk,Left,A.J. Puk,- - -,3.43,2.95,57.2,102.0,114.0,105.0,0.731,10.14,3.9,6.71,0.47,0.97,0.227,0.4,0.213,0.28,0.456,118.0,111.0,110.0,,,,122.0,103.0,106.0,102.0,106.0,111.0,,,,0.414,,0.364,,0.018,2.6,,-0.09,,-1.92,95.3,,90.3,83.4,,0.132,0.176,0.303,0.4,0.4,0.4,0.179,0.231,0.471,,,,,,,0.229,0.543,0.262,108.0,95.0,95.0,0.172,-0.37,94.6,0.294,0.471,0.108,116.0,103.0,113.0,0.031,-4.01,84.4,0.444,0.667,0.111
60,2024-08-16,745054,Single,single,False,650490,657044,Yandy Díaz,Ryan Thompson,0,e43ff613-e6a3-4349-a974-cf88c035766b,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,,,,,,,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,,0.237,,,0.95,,0.66,,,92.6,,,79.0,,0.1,0.2,0.256,,,,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,0.656,0.9,91.0,0.262,0.39,0.163,,,,,,,,,
61,2024-08-16,745054,Strikeout,strikeout,True,664040,657044,Brandon Lowe,Ryan Thompson,0,9d6f532e-d5da-4586-b8fb-39e21b4e7fcf,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,,,,,,,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,,0.237,,,0.95,,0.66,,,92.6,,,79.0,,0.1,0.2,0.256,,,,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,0.656,0.9,91.0,0.262,0.39,0.163,,,,,,,,,
62,2024-08-16,745054,Single,single,False,666624,657044,Christopher Morel,Ryan Thompson,1,1ce1b917-a6a3-4598-865b-27d4544dc61b,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,,,,,,,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,,0.237,,,0.95,,0.66,,,92.6,,,79.0,,0.1,0.2,0.256,,,,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,0.656,0.9,91.0,0.262,0.39,0.163,,,,,,,,,
63,2024-08-16,745054,Single,single,False,666139,657044,Josh Lowe,Ryan Thompson,1,295b55b5-c108-48bc-b3ad-2b59a34a24c7,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,,,,,,,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,,0.237,,,0.95,,0.66,,,92.6,,,79.0,,0.1,0.2,0.256,,,,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,0.656,0.9,91.0,0.262,0.39,0.163,,,,,,,,,
64,2024-08-16,745054,Walk,walk,False,691406,657044,Junior Caminero,Ryan Thompson,1,6777b1e0-951e-4d20-a087-cc7ac15be92b,657044.0,ryanthompson,"Thompson, R",Right,Ryan Thompson,ARI,2.44,3.7,55.1,103.0,112.0,108.0,0.811,6.83,1.95,7.81,0.65,2.71,0.156,0.491,0.186,0.341,0.44,,,,,,,126.0,122.0,117.0,132.0,101.0,114.0,,,,0.106,,0.237,,,0.95,,0.66,,,92.6,,,79.0,,0.1,0.2,0.256,,,,0.2,0.333,0.327,,,,,,,,,,103.0,101.0,104.0,0.656,0.9,91.0,0.262,0.39,0.163,,,,,,,,,
