,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-08,746455,Groundout,field_out,True,680757,672456,Steven Kwan,Keider Montero,0,2a996d6c-9c65-4530-9551-0e5dacc055df,672456.0,keidermontero,Montero,Right,Keider Montero,DET,5.47,4.83,26.1,98.0,96.0,99.0,0.741,7.86,3.42,8.89,1.71,1.11,0.247,0.455,0.13,0.325,0.46,80.0,86.0,85.0,93.0,103.0,99.0,106.0,94.0,100.0,93.0,100.0,109.0,0.444,0.333,0.12,0.103,-0.18,2.93,-5.91,-8.6,95.3,85.9,83.1,79.1,0.265,0.51,0.191,0.103,0.103,0.359,0.375,0.688,0.185,0.667,1.5,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-08,746455,Groundout,field_out,True,682657,672456,Angel Martínez,Keider Montero,0,6c204752-082b-4685-8e68-500d76da9ad1,672456.0,keidermontero,Montero,Right,Keider Montero,DET,5.47,4.83,26.1,98.0,96.0,99.0,0.741,7.86,3.42,8.89,1.71,1.11,0.247,0.455,0.13,0.325,0.46,80.0,86.0,85.0,93.0,103.0,99.0,106.0,94.0,100.0,93.0,100.0,109.0,0.444,0.333,0.12,0.103,-0.18,2.93,-5.91,-8.6,95.3,85.9,83.1,79.1,0.265,0.51,0.191,0.103,0.103,0.359,0.375,0.688,0.185,0.667,1.5,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-08,746455,Groundout,field_out,True,608070,672456,José Ramírez,Keider Montero,0,b0ff62d2-d495-4274-9a15-0c8057d58efa,672456.0,keidermontero,Montero,Right,Keider Montero,DET,5.47,4.83,26.1,98.0,96.0,99.0,0.741,7.86,3.42,8.89,1.71,1.11,0.247,0.455,0.13,0.325,0.46,80.0,86.0,85.0,93.0,103.0,99.0,106.0,94.0,100.0,93.0,100.0,109.0,0.444,0.333,0.12,0.103,-0.18,2.93,-5.91,-8.6,95.3,85.9,83.1,79.1,0.265,0.51,0.191,0.103,0.103,0.359,0.375,0.688,0.185,0.667,1.5,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-08,746455,Flyout,field_out,True,672761,668909,Wenceel Pérez,Gavin Williams,0,b663671f-dec7-488f-a2f6-83135beb94a6,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.77,4.99,14.1,99.0,93.0,96.0,0.833,5.65,3.77,8.79,0.0,1.17,0.319,0.34,0.17,0.362,0.42,99.0,94.0,105.0,97.0,94.0,94.0,117.0,-91.0,10.0,,,,0.568,0.004,,0.054,-0.18,-2.0,,-5.68,96.5,87.6,86.1,,0.286,0.357,0.164,,,,0.176,0.235,0.3,,,,118.0,114.0,112.0,61.0,98.0,84.0,0.163,0.21,-0.59,1.64,89.7,80.3,0.222,0.444,0.167,,,,,,,,,,,,,,,,,,
4,2024-07-08,746455,Single,single,False,690993,668909,Colt Keith,Gavin Williams,0,54f46094-029f-4c42-9556-0756fa6057c6,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.77,4.99,14.1,99.0,93.0,96.0,0.833,5.65,3.77,8.79,0.0,1.17,0.319,0.34,0.17,0.362,0.42,99.0,94.0,105.0,97.0,94.0,94.0,117.0,-91.0,10.0,,,,0.568,0.004,,0.054,-0.18,-2.0,,-5.68,96.5,87.6,86.1,,0.286,0.357,0.164,,,,0.176,0.235,0.3,,,,118.0,114.0,112.0,61.0,98.0,84.0,0.163,0.21,-0.59,1.64,89.7,80.3,0.222,0.444,0.167,,,,,,,,,,,,,,,,,,
5,2024-07-08,746455,Strikeout,strikeout,True,592192,668909,Mark Canha,Gavin Williams,0,1e7e95e6-e4c1-40b6-af68-dfd604847697,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.77,4.99,14.1,99.0,93.0,96.0,0.833,5.65,3.77,8.79,0.0,1.17,0.319,0.34,0.17,0.362,0.42,99.0,94.0,105.0,97.0,94.0,94.0,117.0,-91.0,10.0,,,,0.568,0.004,,0.054,-0.18,-2.0,,-5.68,96.5,87.6,86.1,,0.286,0.357,0.164,,,,0.176,0.235,0.3,,,,118.0,114.0,112.0,61.0,98.0,84.0,0.163,0.21,-0.59,1.64,89.7,80.3,0.222,0.444,0.167,,,,,,,,,,,,,,,,,,
6,2024-07-08,746455,Flyout,field_out,True,682985,668909,Riley Greene,Gavin Williams,0,b5d1f9be-f119-462f-b606-15dadcef2739,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.77,4.99,14.1,99.0,93.0,96.0,0.833,5.65,3.77,8.79,0.0,1.17,0.319,0.34,0.17,0.362,0.42,99.0,94.0,105.0,97.0,94.0,94.0,117.0,-91.0,10.0,,,,0.568,0.004,,0.054,-0.18,-2.0,,-5.68,96.5,87.6,86.1,,0.286,0.357,0.164,,,,0.176,0.235,0.3,,,,118.0,114.0,112.0,61.0,98.0,84.0,0.163,0.21,-0.59,1.64,89.7,80.3,0.222,0.444,0.167,,,,,,,,,,,,,,,,,,
7,2024-07-08,746455,Flyout,field_out,True,647304,672456,Josh Naylor,Keider Montero,0,631731ba-5022-42a7-98fe-9d0ba876ad82,672456.0,keidermontero,Montero,Right,Keider Montero,DET,5.47,4.83,26.1,98.0,96.0,99.0,0.741,7.86,3.42,8.89,1.71,1.11,0.247,0.455,0.13,0.325,0.46,80.0,86.0,85.0,93.0,103.0,99.0,106.0,94.0,100.0,93.0,100.0,109.0,0.444,0.333,0.12,0.103,-0.18,2.93,-5.91,-8.6,95.3,85.9,83.1,79.1,0.265,0.51,0.191,0.103,0.103,0.359,0.375,0.688,0.185,0.667,1.5,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-08,746455,Strikeout,strikeout,True,681807,672456,David Fry,Keider Montero,0,f74e1d87-d479-417f-8d1f-378a3b30cd9d,672456.0,keidermontero,Montero,Right,Keider Montero,DET,5.47,4.83,26.1,98.0,96.0,99.0,0.741,7.86,3.42,8.89,1.71,1.11,0.247,0.455,0.13,0.325,0.46,80.0,86.0,85.0,93.0,103.0,99.0,106.0,94.0,100.0,93.0,100.0,109.0,0.444,0.333,0.12,0.103,-0.18,2.93,-5.91,-8.6,95.3,85.9,83.1,79.1,0.265,0.51,0.191,0.103,0.103,0.359,0.375,0.688,0.185,0.667,1.5,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-08,746455,Single,single,False,665926,672456,Andrés Giménez,Keider Montero,0,5d5f236a-91b1-4829-b535-0630aa584d34,672456.0,keidermontero,Montero,Right,Keider Montero,DET,5.47,4.83,26.1,98.0,96.0,99.0,0.741,7.86,3.42,8.89,1.71,1.11,0.247,0.455,0.13,0.325,0.46,80.0,86.0,85.0,93.0,103.0,99.0,106.0,94.0,100.0,93.0,100.0,109.0,0.444,0.333,0.12,0.103,-0.18,2.93,-5.91,-8.6,95.3,85.9,83.1,79.1,0.265,0.51,0.191,0.103,0.103,0.359,0.375,0.688,0.185,0.667,1.5,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
