,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
49,2024-05-20,746390,Home Run,home_run,False,687263,606160,Zach Neto,Rafael Montero,0,41ac769a-7f5c-4f7b-9951-6d706d646389,606160.0,rafaelmontero,Montero,Right,Rafael Montero,HOU,4.84,5.5,35.1,101.0,101.0,97.0,0.826,5.86,4.08,8.41,2.04,1.21,0.255,0.409,0.155,0.345,0.351,90.0,111.0,101.0,,,,105.0,98.0,98.0,95.0,100.0,94.0,122.0,89.0,92.0,0.227,0.46,0.079,,0.235,-0.42,3.22,-9.5,,-0.86,95.4,91.0,94.8,86.2,,0.154,0.179,0.103,,,,0.273,0.409,0.123,0.714,1.714,0.235,0.233,0.605,0.254,,,,,,,,,
50,2024-05-20,746390,Flyout,field_out,True,677347,606160,Kyren Paris,Rafael Montero,0,04c8cda1-2eda-43dc-8dba-82f63a200ab2,606160.0,rafaelmontero,Montero,Right,Rafael Montero,HOU,4.84,5.5,35.1,101.0,101.0,97.0,0.826,5.86,4.08,8.41,2.04,1.21,0.255,0.409,0.155,0.345,0.351,90.0,111.0,101.0,,,,105.0,98.0,98.0,95.0,100.0,94.0,122.0,89.0,92.0,0.227,0.46,0.079,,0.235,-0.42,3.22,-9.5,,-0.86,95.4,91.0,94.8,86.2,,0.154,0.179,0.103,,,,0.273,0.409,0.123,0.714,1.714,0.235,0.233,0.605,0.254,,,,,,,,,
51,2024-05-20,746390,Lineout,field_out,True,694384,606160,Nolan Schanuel,Rafael Montero,0,ce52d73e-e12e-468e-a75f-f73f272bdd29,606160.0,rafaelmontero,Montero,Right,Rafael Montero,HOU,4.84,5.5,35.1,101.0,101.0,97.0,0.826,5.86,4.08,8.41,2.04,1.21,0.255,0.409,0.155,0.345,0.351,90.0,111.0,101.0,,,,105.0,98.0,98.0,95.0,100.0,94.0,122.0,89.0,92.0,0.227,0.46,0.079,,0.235,-0.42,3.22,-9.5,,-0.86,95.4,91.0,94.8,86.2,,0.154,0.179,0.103,,,,0.273,0.409,0.123,0.714,1.714,0.235,0.233,0.605,0.254,,,,,,,,,
52,2024-05-20,746390,Single,single,False,650859,606160,Luis Rengifo,Rafael Montero,0,022f7394-ffe0-4ee9-a3c4-88650df57870,606160.0,rafaelmontero,Montero,Right,Rafael Montero,HOU,4.84,5.5,35.1,101.0,101.0,97.0,0.826,5.86,4.08,8.41,2.04,1.21,0.255,0.409,0.155,0.345,0.351,90.0,111.0,101.0,,,,105.0,98.0,98.0,95.0,100.0,94.0,122.0,89.0,92.0,0.227,0.46,0.079,,0.235,-0.42,3.22,-9.5,,-0.86,95.4,91.0,94.8,86.2,,0.154,0.179,0.103,,,,0.273,0.409,0.123,0.714,1.714,0.235,0.233,0.605,0.254,,,,,,,,,
53,2024-05-20,746390,Walk,walk,False,621493,606160,Taylor Ward,Rafael Montero,1,f60cc09a-e3c3-499d-8ee9-00bfe4e63eca,606160.0,rafaelmontero,Montero,Right,Rafael Montero,HOU,4.84,5.5,35.1,101.0,101.0,97.0,0.826,5.86,4.08,8.41,2.04,1.21,0.255,0.409,0.155,0.345,0.351,90.0,111.0,101.0,,,,105.0,98.0,98.0,95.0,100.0,94.0,122.0,89.0,92.0,0.227,0.46,0.079,,0.235,-0.42,3.22,-9.5,,-0.86,95.4,91.0,94.8,86.2,,0.154,0.179,0.103,,,,0.273,0.409,0.123,0.714,1.714,0.235,0.233,0.605,0.254,,,,,,,,,
54,2024-05-20,746390,Pop Out,field_out,True,607680,606160,Kevin Pillar,Rafael Montero,0,903962ad-7063-4142-bb10-549882293fbc,606160.0,rafaelmontero,Montero,Right,Rafael Montero,HOU,4.84,5.5,35.1,101.0,101.0,97.0,0.826,5.86,4.08,8.41,2.04,1.21,0.255,0.409,0.155,0.345,0.351,90.0,111.0,101.0,,,,105.0,98.0,98.0,95.0,100.0,94.0,122.0,89.0,92.0,0.227,0.46,0.079,,0.235,-0.42,3.22,-9.5,,-0.86,95.4,91.0,94.8,86.2,,0.154,0.179,0.103,,,,0.273,0.409,0.123,0.714,1.714,0.235,0.233,0.605,0.254,,,,,,,,,
55,2024-05-20,746390,Flyout,field_out,True,676694,660761,Jake Meyers,José Suarez,0,db09a97b-baa2-4b48-8268-9a39114b97f6,660761.0,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.15,5.29,35.1,92.0,99.0,93.0,0.736,9.42,5.6,11.21,1.27,1.15,0.202,0.45,0.211,0.358,0.371,94.0,88.0,93.0,77.0,124.0,123.0,105.0,93.0,95.0,73.0,101.0,88.0,102.0,93.0,90.0,0.122,0.36,0.256,0.001,0.242,-1.96,-7.21,0.41,-2.43,-0.87,92.9,82.7,91.8,81.3,74.1,0.5,1.045,0.136,,,,0.255,0.431,0.329,0.286,0.5,0.212,0.36,0.76,0.311,111.0,93.0,94.0,0.02,-8.06,88.7,0.5,1.0,0.143
56,2024-05-20,746390,Groundout,field_out,True,673237,660761,Yainer Diaz,José Suarez,0,22bbc7e7-cd0d-4e6d-b495-69891ee1e6a8,660761.0,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.15,5.29,35.1,92.0,99.0,93.0,0.736,9.42,5.6,11.21,1.27,1.15,0.202,0.45,0.211,0.358,0.371,94.0,88.0,93.0,77.0,124.0,123.0,105.0,93.0,95.0,73.0,101.0,88.0,102.0,93.0,90.0,0.122,0.36,0.256,0.001,0.242,-1.96,-7.21,0.41,-2.43,-0.87,92.9,82.7,91.8,81.3,74.1,0.5,1.045,0.136,,,,0.255,0.431,0.329,0.286,0.5,0.212,0.36,0.76,0.311,111.0,93.0,94.0,0.02,-8.06,88.7,0.5,1.0,0.143
57,2024-05-20,746390,Flyout,field_out,True,643289,660761,Mauricio Dubón,José Suarez,0,e2a250ab-bfe3-4cef-9b73-1c6f92596938,660761.0,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.15,5.29,35.1,92.0,99.0,93.0,0.736,9.42,5.6,11.21,1.27,1.15,0.202,0.45,0.211,0.358,0.371,94.0,88.0,93.0,77.0,124.0,123.0,105.0,93.0,95.0,73.0,101.0,88.0,102.0,93.0,90.0,0.122,0.36,0.256,0.001,0.242,-1.96,-7.21,0.41,-2.43,-0.87,92.9,82.7,91.8,81.3,74.1,0.5,1.045,0.136,,,,0.255,0.431,0.329,0.286,0.5,0.212,0.36,0.76,0.311,111.0,93.0,94.0,0.02,-8.06,88.7,0.5,1.0,0.143
58,2024-05-20,746390,Flyout,field_out,True,681351,661527,Logan O'Hoppe,Seth Martinez,0,c54a320a-79e0-407a-9061-9d779ac258db,661527.0,sethmartinez,"Martinez, S",Right,Seth Martinez,HOU,2.42,3.22,44.2,101.0,96.0,97.0,0.796,6.04,3.02,6.65,0.81,1.14,0.244,0.42,0.221,0.305,0.393,47.0,99.0,89.0,,,,73.0,100.0,94.0,103.0,103.0,93.0,135.0,100.0,108.0,0.212,0.306,0.327,,0.155,1.96,2.47,0.1,,-0.57,90.9,84.9,89.8,79.2,,0.179,0.256,0.13,,,,0.259,0.37,0.292,0.191,0.426,0.337,0.213,0.298,0.191,,,,,,,,,
