,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,KN%,wFS/C,wKC/C,wKN/C,vFS,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,vSC (sc),SC%,wSC/C
0,2024-08-18,745464,Bunt Groundout,field_out,True,645302,663765,Victor Robles,Jake Woodford,0,5fa11274-560a-44fc-a48a-fb6b23dd0ff2,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-18,745464,Single,single,False,677594,663765,Julio Rodríguez,Jake Woodford,0,d8e8c8f1-4397-4491-84e4-251b6f332dd9,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-18,745464,Home Run,home_run,False,663728,663765,Cal Raleigh,Jake Woodford,1,e6ab126d-04e6-44f2-8779-c9bb5461cb96,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-18,745464,Single,single,False,670042,663765,Luke Raley,Jake Woodford,0,a8efbac5-ff35-4f23-90b0-6ef2e6e79943,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-18,745464,Strikeout,strikeout,True,593871,663765,Jorge Polanco,Jake Woodford,0,f26aa67d-0e7e-49d8-986e-fff575af5d3e,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-08-18,745464,Single,single,False,457759,663765,Justin Turner,Jake Woodford,1,b2ef9fe3-3a24-4cf3-9f42-a42024f1f565,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-08-18,745464,Groundout,field_out,True,686527,663765,Dominic Canzone,Jake Woodford,1,3edf7c74-7c74-404c-ba5b-f3537901d6b1,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-18,745464,Lineout,field_out,True,643396,669923,Isiah Kiner-Falefa,George Kirby,0,4679f03c-3de7-4687-b7d3-cb646ca05983,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.48,3.57,155.1,106.0,106.0,107.0,0.785,8.75,1.16,8.86,0.98,1.01,0.286,0.353,0.187,0.277,0.442,,,,103.0,106.0,101.0,105.0,109.0,108.0,111.0,104.0,110.0,97.0,99.0,93.0,0.235,0.336,0.005,0.232,,0.42,0.79,1.58,0.92,,95.9,92.3,,95.9,87.3,0.265,0.346,0.109,,,,,,,,,,73.9,115.0,112.0,116.0,108.0,100.0,108.0,0.111,0.08,0.0,-1.5,-2.33,-3.49,85.9,83.4,0.232,0.449,0.296,0.248,0.352,0.267,0.235,0.382,0.277,0.326,0.457,0.305,,,,,,,,,
8,2024-08-18,745464,Strikeout,strikeout,True,668804,669923,Bryan Reynolds,George Kirby,0,9124d8a1-b92c-4270-ab75-26d0f9e3f94a,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.48,3.57,155.1,106.0,106.0,107.0,0.785,8.75,1.16,8.86,0.98,1.01,0.286,0.353,0.187,0.277,0.442,,,,103.0,106.0,101.0,105.0,109.0,108.0,111.0,104.0,110.0,97.0,99.0,93.0,0.235,0.336,0.005,0.232,,0.42,0.79,1.58,0.92,,95.9,92.3,,95.9,87.3,0.265,0.346,0.109,,,,,,,,,,73.9,115.0,112.0,116.0,108.0,100.0,108.0,0.111,0.08,0.0,-1.5,-2.33,-3.49,85.9,83.4,0.232,0.449,0.296,0.248,0.352,0.267,0.235,0.382,0.277,0.326,0.457,0.305,,,,,,,,,
9,2024-08-18,745464,Strikeout,strikeout,True,665833,669923,Oneil Cruz,George Kirby,0,90ab21bd-3f7a-4cb7-a2f0-c445e27d7de7,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.48,3.57,155.1,106.0,106.0,107.0,0.785,8.75,1.16,8.86,0.98,1.01,0.286,0.353,0.187,0.277,0.442,,,,103.0,106.0,101.0,105.0,109.0,108.0,111.0,104.0,110.0,97.0,99.0,93.0,0.235,0.336,0.005,0.232,,0.42,0.79,1.58,0.92,,95.9,92.3,,95.9,87.3,0.265,0.346,0.109,,,,,,,,,,73.9,115.0,112.0,116.0,108.0,100.0,108.0,0.111,0.08,0.0,-1.5,-2.33,-3.49,85.9,83.4,0.232,0.449,0.296,0.248,0.352,0.267,0.235,0.382,0.277,0.326,0.457,0.305,,,,,,,,,
